CU,Name,StageIn,Allocate,Exec,StageOut,Done
unit.000016,Euclidean_dist_1_1,259.568054199,259.570796013,259.579913139,263.668730021,264.628776073
unit.000017,Euclidean_dist_1_16385,285.735143185,285.737572193,285.746592045,289.946138144,290.325330973
unit.000018,Euclidean_dist_1_32769,296.417577982,296.420459986,296.428435087,300.516625166,301.003180981
unit.000019,Euclidean_dist_1_49153,57.0864021778,57.0900239944,57.0920190811,61.6196370125,63.6704120636
unit.000020,Euclidean_dist_1_65537,301.547063112,301.550681114,301.552702188,305.647243977,305.542730093
unit.000021,Euclidean_dist_1_81921,57.8360641003,57.8387920856,57.8478991985,62.0247871876,63.7565250397
unit.000022,Euclidean_dist_1_98305,319.147718191,319.150393009,319.159126043,323.471708059,323.544124126
unit.000023,Euclidean_dist_1_114689,327.222232103,327.224935055,327.233249187,331.324581146,331.327352047
unit.000024,Euclidean_dist_1_131073,61.4041380882,61.4068660736,61.415954113,65.5482361317,66.0710179806
unit.000025,Euclidean_dist_1_147457,344.209285975,344.212995052,344.214915991,348.632583141,349.189242125
unit.000026,Euclidean_dist_1_163841,64.5251231194,64.5281090736,64.5368590355,68.768253088,69.3922011852
unit.000027,Euclidean_dist_1_180225,363.19929409,363.203243017,363.205417156,367.958307028,368.133049965
unit.000028,Euclidean_dist_1_196609,372.679152966,372.682357073,372.690518141,376.82190299,377.070510149
unit.000029,Euclidean_dist_1_212993,380.682439089,380.685162067,380.694503069,384.567492008,384.921580076
unit.000030,Euclidean_dist_1_229377,14.1118731499,14.1144661903,14.1234951019,18.2498731613,19.8489379883
unit.000031,Euclidean_dist_1_245761,71.6425800323,71.6452531815,71.6542520523,75.8105990887,77.1026060581
unit.000032,Euclidean_dist_1_262145,40.2639381886,40.2664921284,40.274312973,44.7213420868,45.3987531662
unit.000033,Euclidean_dist_1_278529,78.9563810825,78.9591751099,78.9678690434,83.3632659912,83.6310310364
unit.000034,Euclidean_dist_1_294913,59.3180370331,59.3209211826,59.3302559853,63.4341471195,63.8592431545
unit.000035,Euclidean_dist_1_311297,79.6969201565,79.6998710632,79.7080020905,83.7706840038,84.7113521099
unit.000036,Euclidean_dist_1_327681,81.1810929775,81.1840181351,81.1920959949,85.474476099,85.7924370766
unit.000037,Euclidean_dist_1_344065,82.6662521362,82.6688821316,82.6774861813,87.0830481052,87.901774168
unit.000038,Euclidean_dist_1_360449,84.7394080162,84.7435510159,84.7456071377,89.1946120262,90.1131250858
