CU,Name,Scheduling,StagingInput,AgentStagingInputPending,AgentStagingInput,AllocatingPending,Allocating,ExecutingPending,Executing,AgentStagingOutputPending,AgentStagingOutput,PendingOutputStaging,StagingOutput,Done
unit.000032,Euclidean_dist_1_1,N/A,236.665862083,236.665862083,306.074013948,306.076693058,306.07784009,306.078096151,306.09207201,306.821123123,306.835026026,306.838366032,238.782508135,238.808920145
unit.000033,Euclidean_dist_1_4097,N/A,86.5307700634,86.5307700634,155.704604149,155.707460165,155.708629131,155.708886147,155.710122108,156.43453002,156.435999155,156.439605951,89.1714611053,89.1977231503
unit.000034,Euclidean_dist_1_8193,N/A,88.6415469646,88.6415469646,157.847584009,157.849928141,157.851250172,157.851536989,157.85277009,158.546782017,158.548243046,158.551226139,91.3820490837,91.4082400799
unit.000035,Euclidean_dist_1_12289,N/A,87.6856520176,87.6856520176,156.800153971,156.802917004,156.804367065,156.804712057,156.806209087,157.741374016,157.742933035,157.747102022,90.3015739918,90.3280010223
unit.000036,Euclidean_dist_1_16385,N/A,89.7896440029,89.7896440029,158.891863108,158.894844055,158.896307945,158.896650076,158.898067951,159.653306961,159.65624404,159.659647942,92.511329174,92.5379431248
unit.000037,Euclidean_dist_1_20481,N/A,91.1530311108,91.1530311108,160.239825964,160.242306948,160.243883133,160.244256973,160.245779037,160.963860989,160.965214014,160.968611002,93.645840168,93.6727819443
unit.000038,Euclidean_dist_1_24577,N/A,93.2133660316,93.2133660316,162.334562063,162.336975098,162.338372946,162.338690996,162.340084076,163.076323986,163.077738047,163.081608057,95.8587200642,95.8859620094
unit.000039,Euclidean_dist_1_28673,N/A,94.5865371227,94.5865371227,163.832927942,163.835548162,163.836814165,163.837142944,163.838385105,164.585302114,164.586749077,164.590727091,98.0923330784,98.1192200184
unit.000040,Euclidean_dist_1_32769,N/A,96.3189041615,96.3189041615,165.480381012,165.484158039,165.485641956,165.485938072,165.487404108,166.195412159,166.197168112,166.201745033,99.2259001732,99.2541100979
unit.000041,Euclidean_dist_1_36865,N/A,97.6942501068,97.6942501068,166.72478199,166.727921963,166.729321003,166.729640961,166.731155157,167.403120041,167.404505968,167.408900976,100.36036396,100.387099028
unit.000042,Euclidean_dist_1_40961,N/A,98.8572821617,98.8572821617,167.921324015,167.966339111,167.967816114,167.968184948,167.969768047,168.71014595,168.711522102,168.714468956,101.49440217,101.521929026
unit.000043,Euclidean_dist_1_45057,N/A,100.261506081,100.261506081,169.424782991,169.428358078,169.429651976,169.429940939,169.43125701,170.118353128,170.119807005,170.124577999,102.628335953,102.65510416
unit.000044,Euclidean_dist_1_49153,N/A,101.168730974,101.168730974,170.320873976,170.324043036,170.326647043,170.326961994,170.328392029,171.024065971,171.025470972,171.029032946,103.851506948,103.879404068
unit.000045,Euclidean_dist_1_53249,N/A,102.312525034,102.312525034,171.375803947,171.378664017,171.37996316,171.38026309,171.381670952,172.030070066,172.031461954,172.03482008,104.985639095,105.01494813
unit.000046,Euclidean_dist_1_57345,N/A,103.687323093,103.687323093,172.869801044,172.872864008,172.874159098,172.874469042,172.875756025,173.540923119,173.542336941,173.545789003,106.123461962,106.15025115
unit.000047,Euclidean_dist_1_61441,N/A,104.714231014,104.714231014,173.768954992,173.772674084,173.774095058,173.774386168,173.775838137,174.747481108,174.748820066,174.753015041,107.203488111,107.231119156
unit.000048,Euclidean_dist_1_65537,N/A,210.723922014,210.723922014,279.771698952,279.774497986,279.777233124,279.777529001,279.778764963,280.473957062,280.475461006,280.47922802,213.498996973,213.525706053
unit.000049,Euclidean_dist_1_69633,N/A,106.698518991,106.698518991,175.730548143,175.733144999,175.734400988,175.734694958,175.736094952,176.457402945,176.458831072,176.463031054,109.417909145,109.445608139
unit.000050,Euclidean_dist_1_73729,N/A,108.096815109,108.096815109,177.13242507,177.135317087,177.136724949,177.13706398,177.138430119,177.865476131,177.866834164,177.870334148,110.552078962,110.579029083
unit.000051,Euclidean_dist_1_77825,N/A,110.151276112,110.151276112,179.231081963,179.23405695,179.235306025,179.23563695,179.237064123,179.877288103,179.87864995,179.882295132,112.767096043,112.793687105
unit.000052,Euclidean_dist_1_81921,N/A,111.552687168,111.552687168,180.599616051,180.603249073,180.6048491,180.605226994,180.606718063,181.385499001,181.387089968,181.390244007,114.93234396,114.974642992
unit.000053,Euclidean_dist_1_86017,N/A,112.917649984,112.917649984,181.950037003,181.953058004,181.954482079,181.95482707,181.956526995,182.693294048,182.694721937,182.698219061,116.0799191,116.106914043
unit.000054,Euclidean_dist_1_90113,N/A,113.765290022,113.765290022,182.84791398,182.850828171,182.851953983,182.852247953,182.853477001,183.599020004,183.600389957,183.638143063,116.133157015,116.160002947
unit.000055,Euclidean_dist_1_94209,N/A,114.972866058,114.972866058,184.198678017,184.201622963,184.202936172,184.203289986,184.204622984,184.906250954,184.907672167,184.912163019,117.263672113,117.290882111
unit.000056,Euclidean_dist_1_98305,N/A,118.542896032,118.542896032,187.641312122,187.644221067,187.645521164,187.645812035,187.647221088,188.326387167,188.327981949,188.331696987,120.613660097,120.640681982
unit.000057,Euclidean_dist_1_102401,N/A,-15.1777088642,-15.1777088642,53.5383710861,53.5413961411,53.5426270962,53.5429410934,53.5444731712,54.2802591324,54.2818241119,54.2859590054,-12.1397459507,-12.1137678623
unit.000058,Euclidean_dist_1_106497,N/A,223.349888086,223.349888086,292.368268967,292.370560169,292.371703148,292.371951103,292.384457111,293.042538166,293.044129133,293.047893047,225.830641031,225.859524012
unit.000059,Euclidean_dist_1_110593,N/A,218.299422026,218.299422026,287.461740017,287.464876175,287.466145039,287.466480017,287.467805147,288.214933157,288.216398001,288.220476151,221.338781118,221.367208958
unit.000060,Euclidean_dist_1_114689,N/A,50.7846641541,50.7846641541,119.919594049,119.922157049,119.923655033,119.924031019,119.925577164,120.625664949,120.62710309,120.631272078,53.6226489544,53.6497080326
unit.000061,Euclidean_dist_1_118785,N/A,234.617844105,234.617844105,304.117659092,304.119585991,304.120615005,304.120876074,304.135396004,304.810466051,304.818993092,304.822538137,237.598515034,237.625393152
