Executable,Number_Messages,Nodes,TTC,Throughput,System,parallel_tasks,Partitions,Dask-Config,Dask_Nodes
PeakFinder,500,1.0,95.3795940876,5.24221144767,Wrangler,1,12,dask-distributed,1.0
PeakFinder,500,1.0,56.7776861191,8.80627644725,Wrangler,2,12,dask-distributed,1.0
PeakFinder,500,1.0,48.2084639072,10.3716227292,Wrangler,3,12,dask-distributed,1.0
PeakFinder,500,1.0,61.3770880699,8.14636235969,Wrangler,4,12,dask-distributed,1.0
PeakFinder,500,1.0,66.7915589809,7.4859758872,Wrangler,5,12,dask-distributed,1.0
PeakFinder,500,1.0,84.7887849808,5.89700630942,Wrangler,6,12,dask-distributed,1.0
PeakFinder,500,1.0,76.1459619999,6.56633637383,Wrangler,7,12,dask-distributed,1.0
PeakFinder,500,1.0,93.9836161137,5.3200762077,Wrangler,8,12,dask-distributed,1.0
PeakFinder,500,1.0,71.6914889812,6.9743285724,Wrangler,9,12,dask-distributed,1.0
PeakFinder,500,1.0,62.8806900978,7.95156667686,Wrangler,10,12,dask-distributed,1.0
PeakFinder,500,1.0,67.7900400162,7.37571477876,Wrangler,11,12,dask-distributed,1.0
PeakFinder,500,1.0,93.4939389229,5.34794025966,Wrangler,12,12,dask-distributed,1.0
PeakFinder,500,1.0,59.7773211002,8.36437616804,Wrangler,13,12,dask-distributed,1.0
PeakFinder,500,1.0,89.578815937,5.58167681465,Wrangler,14,12,dask-distributed,1.0
PeakFinder,500,1.0,50.1594388485,9.96821359007,Wrangler,15,12,dask-distributed,1.0
PeakFinder,500,1.0,72.3264870644,6.91309671317,Wrangler,16,12,dask-distributed,1.0
PeakFinder,500,1.0,108.353290081,4.61453454368,Wrangler,17,12,dask-distributed,1.0
PeakFinder,500,1.0,84.2648639679,5.93367124156,Wrangler,18,12,dask-distributed,1.0
PeakFinder,500,1.0,35.5424010754,14.0677046252,Wrangler,19,12,dask-distributed,1.0
PeakFinder,500,1.0,81.5615501404,6.13033959187,Wrangler,20,12,dask-distributed,1.0
PeakFinder,500,1.0,63.2837979794,7.90091644252,Wrangler,21,12,dask-distributed,1.0
PeakFinder,500,1.0,111.00952816,4.50411787427,Wrangler,22,12,dask-distributed,1.0
PeakFinder,500,1.0,71.0667078495,7.03564320242,Wrangler,23,12,dask-distributed,1.0
PeakFinder,500,1.0,65.2867012024,7.65852755295,Wrangler,24,12,dask-distributed,1.0
PeakFinder,500,1.0,101.048243999,4.94813150838,Wrangler,1,12,dask-distributed,1.0
PeakFinder,500,1.0,56.9039008617,8.78674383352,Wrangler,2,12,dask-distributed,1.0
PeakFinder,500,1.0,90.6821138859,5.51376648133,Wrangler,1,12,dask-distributed,1.0
PeakFinder,500,1.0,54.5430529118,9.16707029232,Wrangler,2,12,dask-distributed,1.0
PeakFinder,500,1.0,49.7055158615,10.0592457665,Wrangler,3,12,dask-distributed,1.0
