t,value
1501941350,0
1501941360,0
1501941370,229
1501941380,229
1501941390,229
1501941400,229
1501941410,229
1501941420,229
1501941430,229
1501941440,1073
1501941450,1073
1501941460,1073
1501941470,1073
1501941480,1073
1501941490,1073
1501941500,1964
1501941510,1964
1501941520,1964
1501941530,1964
1501941540,1964
1501941550,2594
1501941560,2594
1501941570,2594
1501941580,2594
1501941590,2594
1501941600,2594
1501941610,2594
1501941620,3458
1501941630,3458
1501941640,3458
1501941650,3458
1501941660,3458
1501941670,3458
1501941680,4321
1501941690,4321
1501941700,4321
1501941710,4321
1501941720,4321
1501941730,4321
1501941740,5157
1501941750,5157
1501941760,5157
1501941770,5157
1501941780,5157
1501941790,5157
1501941800,5954
1501941810,5954
1501941820,5954
1501941830,5954
1501941840,5954
1501941850,5954
1501941860,6830
1501941870,6830
1501941880,6830
1501941890,6830
1501941900,6830
1501941910,6830
1501941920,7630
1501941930,7630
1501941940,7630
1501941950,7630
1501941960,7630
1501941970,7630
1501941980,8444
1501941990,8444
1501942000,8444
1501942010,8444
1501942020,8444
1501942030,8444
1501942040,9286
1501942050,9286
1501942060,9286
1501942070,9286
1501942080,9286
1501942090,9286
1501942100,10092
1501942110,10092
1501942120,10092
1501942130,10092
1501942140,10092
1501942150,10092
1501942160,10940
1501942170,10940
1501942180,10940
1501942190,10940
1501942200,10940
1501942210,10940
1501942220,11761
1501942230,11761
1501942240,11761
1501942250,11761
1501942260,11761
1501942270,11761
1501942280,12549
1501942290,12549
1501942300,12549
1501942310,12549
1501942320,12549
1501942330,12549
1501942340,13386
1501942350,13386
1501942360,13386
1501942370,13386
1501942380,13386
1501942390,13386
1501942400,14254
1501942410,14254
1501942420,14254
1501942430,14254
1501942440,14254
1501942450,14254
1501942460,15106
1501942470,15106
1501942480,15106
1501942490,15106
1501942500,15106
1501942510,15106
1501942520,15913
1501942530,15913
1501942540,15913
1501942550,15913
1501942560,15913
1501942570,15913
1501942580,16741
1501942590,16741
1501942600,16741
1501942610,16741
1501942620,16741
1501942630,16741
1501942640,17513
1501942650,17513
1501942660,17513
1501942670,17513
1501942680,17513
1501942690,17513
1501942700,18390
1501942710,18390
1501942720,18390
1501942730,18390
1501942740,18390
1501942750,18390
1501942760,19256
1501942770,19256
1501942780,19256
1501942790,19256
1501942800,19256
1501942810,19256
1501942820,20054
1501942830,20054
1501942840,20054
1501942850,20054
1501942860,20054
1501942870,20054
1501942880,20885
1501942890,20885
1501942900,20885
1501942910,20885
1501942920,20885
1501942930,20885
1501942940,21711
1501942950,21711
1501942960,21711
1501942970,21711
1501942980,21711
1501942990,22187
1501943000,22187
