Produce_batch_Start,Produce_batch_Stop,Num_Messages,Number_APoints/Msg,KB_Transfered,KB/sec
0,8000,0,8000,0.0,0.0
0,8000,1,8000,498.0,4.1403571418
8000,16000,2,8000,996.0,4.13950948337
16000,24000,3,8000,1495.0,4.14310709903
24000,32000,4,8000,1995.0,4.14807178341
32000,40000,5,8000,2492.0,4.14537313174
40000,48000,6,8000,2988.0,4.14229126429
48000,56000,7,8000,3480.0,4.13548032653
56000,64000,8,8000,3974.0,4.13227830405
64000,72000,9,8000,4469.0,4.13068321891
72000,80000,10,8000,4966.0,4.13111947596
80000,88000,11,8000,5459.0,4.12821235694
88000,96000,12,8000,5959.0,4.13101996717
0,8000,13,8000,6454.0,4.12935064831
8000,16000,14,8000,6939.0,4.12242175836
16000,24000,15,8000,7452.0,4.13217655253
24000,32000,16,8000,7964.0,4.14022474157
32000,40000,17,8000,8462.0,4.14038055073
40000,48000,18,8000,8943.0,4.13262069755
48000,56000,19,8000,9438.0,4.13203979834
56000,64000,20,8000,9925.0,4.12810645232
64000,72000,21,8000,10419.0,4.12737802109
72000,80000,22,8000,10922.0,4.13002042568
80000,88000,23,8000,11427.0,4.13307551008
88000,96000,24,8000,11934.0,4.13660560252
96000,104000,25,8000,12434.0,4.13758717492
104000,112000,26,8000,12935.0,4.13868816541
112000,120000,27,8000,13435.0,4.13947597245
120000,128000,28,8000,13927.0,4.13775038495
128000,136000,29,8000,14417.0,4.13561508049
136000,144000,30,8000,14915.0,4.13600135371
144000,152000,31,8000,15412.0,4.1359633158
152000,160000,32,8000,15906.0,4.13518684194
160000,168000,33,8000,16402.0,4.1348912874
