t,count
1504210831,0
1504210841,0
1504210851,0
1504210861,0
1504210871,0
1504210881,0
1504210891,0
1504210901,0
1504210911,0
1504210921,0
1504210931,0
1504210941,0
1504210951,0
1504210961,0
1504210971,0
1504210981,0
1504210991,0
1504211001,0
1504211011,0
1504211021,0
1504211031,0
1504211041,0
1504211051,0
1504211061,0
1504211071,0
1504211081,0
1504211091,0
1504211101,0
1504211111,0
1504211121,0
1504211131,0
1504211141,0
1504211151,0
1504211161,0
1504211171,0
1504211181,0
1504211191,0
1504211201,0
1504211211,0
1504211221,0
1504211231,0
1504211241,0
1504211251,0
1504211261,0
1504211271,0
1504211281,0
1504211291,0
1504211301,0
1504211311,0
1504211321,0
1504211331,0
1504211341,0
1504211351,0
1504211361,0
1504211371,0
1504211381,0
1504211391,0
1504211401,0
1504211411,0
1504211421,0
1504211431,0
1504211441,0
1504211451,0
1504211461,0
1504211471,0
1504211481,0
1504211491,0
1504211501,0
1504211511,0
1504211521,0
1504211531,0
1504211541,0
1504211551,0
1504211561,0
1504211571,0
1504211581,0
1504211591,0
1504211601,0
1504211611,0
1504211621,0
1504211631,0
1504211641,0
1504211651,0
1504211661,0
1504211671,0
1504211681,0
1504211691,0
1504211701,0
1504211711,0
1504211721,0
1504211731,0
1504211741,0
1504211751,0
1504211761,0
1504211771,0
1504211781,0
1504211791,0
1504211801,0
1504211811,0
1504211821,0
1504211831,0
1504211841,0
1504211851,0
1504211861,0
1504211871,0
1504211881,0
1504211891,0
1504211901,0
1504211911,0
1504211921,0
1504211931,0
1504211941,0
1504211951,0
1504211961,0
1504211971,0
1504211981,0
1504211991,0
1504212001,0
1504212011,0
1504212021,0
1504212031,0
1504212041,0
1504212051,0
1504212061,0
1504212071,0
1504212081,0
1504212091,0
1504212101,0
1504212111,0
1504212121,0
1504212131,0
1504212141,0
1504212151,0
1504212161,0
1504212171,0
1504212181,0
1504212191,0
1504212201,0
1504212211,0
1504212221,0
1504212231,0
1504212241,0
1504212251,0
1504212261,0
1504212271,0
1504212281,0
1504212291,0
1504212301,0
1504212311,0
1504212321,0
1504212331,0
1504212341,0
1504212351,0
1504212361,0
1504212371,0
1504212381,0
1504212391,0
1504212401,0
1504212411,0
1504212421,0
1504212431,0
1504212441,0
1504212451,0
1504212461,0
1504212471,0
1504212481,0
1504212491,0
1504212501,0
1504212511,0
1504212521,0
1504212531,0
1504212541,0
1504212551,0
1504212561,0
1504212571,0
1504212581,0
1504212591,0
1504212601,0
1504212611,0
1504212621,0
1504212631,0
1504212641,0
1504212651,0
1504212661,0
1504212671,0
1504212681,0
1504212691,0
1504212701,0
1504212711,0
1504212721,0
1504212731,0
1504212741,0
1504212751,0
1504212761,0
1504212771,0
1504212781,0
1504212791,0
1504212801,0
1504212811,0
1504212821,0
1504212831,0
1504212841,0
1504212851,0
1504212861,0
1504212871,0
1504212881,0
1504212891,0
1504212901,0
1504212911,0
1504212921,0
1504212931,0
1504212941,0
1504212951,0
1504212961,0
1504212971,0
1504212981,0
1504212991,0
1504213001,0
1504213011,0
1504213021,0
1504213031,0
1504213041,0
1504213051,0
1504213061,0
1504213071,0
1504213081,0
1504213091,0
1504213101,0
1504213111,0
1504213121,0
1504213131,0
1504213141,0
1504213151,0
1504213161,0
1504213171,0
1504213181,0
1504213191,0
1504213201,0
1504213211,0
1504213221,0
1504213231,0
1504213241,0
1504213251,0
1504213261,0
1504213271,0
1504213281,0
1504213291,0
1504213301,0
1504213311,0
1504213321,0
1504213331,0
1504213341,0
1504213351,0
1504213361,0
1504213371,0
1504213381,0
1504213391,0
1504213401,0
1504213411,0
1504213421,0
1504213431,0
1504213441,0
1504213451,0
1504213461,0
1504213471,0
1504213481,0
1504213491,0
1504213501,0
1504213511,0
1504213521,0
1504213531,0
1504213541,0
1504213551,0
1504213561,0
1504213571,0
1504213581,0
1504213591,0
1504213601,0
1504213611,0
1504213621,0
1504213631,0
1504213641,0
1504213651,0
1504213661,0
1504213671,0
1504213681,0
1504213691,0
1504213701,0
1504213711,0
1504213721,0
1504213731,0
1504213741,0
1504213751,0
1504213761,0
1504213771,0
1504213781,0
1504213791,0
1504213801,0
1504213811,0
1504213821,0
1504213831,0
1504213841,0
1504213851,0
1504213861,0
1504213871,0
1504213881,0
1504213891,0
1504213901,0
1504213911,0
1504213921,0
1504213931,0
1504213941,0
1504213951,0
1504213961,0
1504213971,0
1504213981,0
1504213991,0
1504214001,0
1504214011,0
1504214021,0
1504214031,0
1504214041,0
1504214051,0
1504214061,0
1504214071,0
1504214081,0
1504214091,0
1504214101,0
1504214111,0
1504214121,0
1504214131,0
1504214141,0
1504214151,0
1504214161,0
1504214171,0
1504214181,0
1504214191,0
1504214201,0
1504214211,0
1504214221,0
1504214231,0
1504214241,0
1504214251,0
1504214261,0
1504214271,0
1504214281,0
1504214291,0
1504214301,0
1504214311,0
1504214321,0
1504214331,0
1504214341,0
1504214351,0
1504214361,0
1504214371,0
1504214381,0
1504214391,0
1504214401,0
1504214411,0
1504214421,0
1504214431,0
1504214441,0
1504214451,0
1504214461,0
1504214471,0
1504214481,0
1504214491,0
1504214501,0
1504214511,0
1504214521,0
1504214531,0
1504214541,0
1504214551,0
1504214561,0
1504214571,0
1504214581,0
1504214591,0
1504214601,0
1504214611,0
1504214621,0
1504214631,0
1504214641,0
1504214651,0
1504214661,0
1504214671,0
1504214678,0
