t,value
1504210831,-1
1504210841,-1
1504210851,-1
1504210861,-1
1504210871,1504210865369
1504210881,1504210865369
1504210891,1504210865369
1504210901,1504210865369
1504210911,1504210865369
1504210921,-1
1504210931,1504210922064
1504210941,1504210922064
1504210951,1504210922064
1504210961,1504210922064
1504210971,1504210922064
1504210981,-1
1504210991,1504210981881
1504211001,1504210981881
1504211011,1504210981881
1504211021,1504210981881
1504211031,1504210981881
1504211041,1504211041529
1504211051,1504211041529
1504211061,1504211041529
1504211071,1504211041529
1504211081,1504211041529
1504211091,1504211041529
1504211101,-1
1504211111,1504211101861
1504211121,1504211101861
1504211131,1504211101861
1504211141,1504211101861
1504211151,1504211101861
1504211161,1504211161546
1504211171,1504211161546
1504211181,1504211161546
1504211191,1504211161546
1504211201,1504211161546
1504211211,1504211161546
1504211221,1504211221502
1504211231,1504211221502
1504211241,1504211221502
1504211251,1504211221502
1504211261,1504211221502
1504211271,1504211221502
1504211281,1504211281523
1504211291,1504211281523
1504211301,1504211281523
1504211311,1504211281523
1504211321,1504211281523
1504211331,1504211281523
1504211341,1504211341814
1504211351,1504211341814
1504211361,1504211341814
1504211371,1504211341814
1504211381,1504211341814
1504211391,1504211341814
1504211401,1504211401520
1504211411,1504211401520
1504211421,1504211401520
1504211431,1504211401520
1504211441,1504211401520
1504211451,1504211401520
1504211461,1504211461737
1504211471,1504211461737
1504211481,1504211461737
1504211491,1504211461737
1504211501,1504211461737
1504211511,1504211461737
1504211521,1504211521493
1504211531,1504211521493
1504211541,1504211521493
1504211551,1504211521493
1504211561,1504211521493
1504211571,1504211521493
1504211581,1504211581487
1504211591,1504211581487
1504211601,1504211581487
1504211611,1504211581487
1504211621,1504211581487
1504211631,1504211581487
1504211641,1504211641479
1504211651,1504211641479
1504211661,1504211641479
1504211671,1504211641479
1504211681,1504211641479
1504211691,1504211641479
1504211701,1504211701702
1504211711,1504211701702
1504211721,1504211701702
1504211731,1504211701702
1504211741,1504211701702
1504211751,1504211701702
1504211761,1504211761477
1504211771,1504211761477
1504211781,1504211761477
1504211791,1504211761477
1504211801,1504211761477
1504211811,1504211761477
1504211821,1504211821358
1504211831,1504211821358
1504211841,1504211821358
1504211851,1504211821358
1504211861,1504211821358
1504211871,1504211821358
1504211881,1504211881470
1504211891,1504211881470
1504211901,1504211881470
1504211911,1504211881470
1504211921,1504211881470
1504211931,1504211881470
1504211941,1504211941522
1504211951,1504211941522
1504211961,1504211941522
1504211971,1504211941522
1504211981,1504211941522
1504211991,1504211941522
1504212001,1504212001459
1504212011,1504212001459
1504212021,1504212001459
1504212031,1504212001459
1504212041,1504212001459
1504212051,1504212001459
1504212061,1504212061314
1504212071,1504212061314
1504212081,1504212061314
1504212091,1504212061314
1504212101,1504212061314
1504212111,1504212061314
1504212121,1504212121502
1504212131,1504212121502
1504212141,1504212121502
1504212151,1504212121502
1504212161,1504212121502
1504212171,1504212121502
1504212181,1504212181599
1504212191,1504212181599
1504212201,1504212181599
1504212211,1504212181599
1504212221,1504212181599
1504212231,1504212181599
1504212241,1504212241445
1504212251,1504212241445
1504212261,1504212241445
1504212271,1504212241445
1504212281,1504212241445
1504212291,1504212241445
1504212301,1504212301441
1504212311,1504212301441
1504212321,1504212301441
1504212331,1504212301441
1504212341,1504212301441
1504212351,1504212301441
1504212361,1504212361437
1504212371,1504212361437
1504212381,1504212361437
1504212391,1504212361437
1504212401,1504212361437
1504212411,1504212361437
1504212421,1504212421390
1504212431,1504212421390
1504212441,1504212421390
1504212451,1504212421390
1504212461,1504212421390
1504212471,1504212421390
1504212481,1504212481536
1504212491,1504212481536
1504212501,1504212481536
1504212511,1504212481536
1504212521,1504212481536
1504212531,1504212481536
1504212541,1504212541643
1504212551,1504212541643
1504212561,1504212541643
1504212571,1504212541643
1504212581,1504212541643
1504212591,1504212541643
1504212601,1504212601479
1504212611,1504212601479
1504212621,1504212601479
1504212631,1504212601479
1504212641,1504212601479
1504212651,1504212601479
1504212661,1504212661451
1504212671,1504212661451
1504212681,1504212661451
1504212691,1504212661451
1504212701,1504212661451
1504212711,1504212661451
1504212721,1504212721419
1504212731,1504212721419
1504212741,1504212721419
1504212751,1504212721419
1504212761,1504212721419
1504212771,1504212721419
1504212781,1504212781633
1504212791,1504212781633
1504212801,1504212781633
1504212811,1504212781633
1504212821,1504212781633
1504212831,1504212781633
1504212841,1504212841529
1504212851,1504212841529
1504212861,1504212841529
1504212871,1504212841529
1504212881,1504212841529
1504212891,1504212841529
1504212901,1504212901226
1504212911,1504212901226
1504212921,1504212901226
1504212931,1504212901226
1504212941,1504212901226
1504212951,1504212901226
1504212961,1504212961517
1504212971,1504212961517
1504212981,1504212961517
1504212991,1504212961517
1504213001,1504212961517
1504213011,1504212961517
1504213021,1504213021590
1504213031,1504213021590
1504213041,1504213021590
1504213051,1504213021590
1504213061,1504213021590
1504213071,1504213021590
1504213081,1504213081406
1504213091,1504213081406
1504213101,1504213081406
1504213111,1504213081406
1504213121,1504213081406
1504213131,1504213081406
1504213141,1504213141511
1504213151,1504213141511
1504213161,1504213141511
1504213171,1504213141511
1504213181,1504213141511
1504213191,1504213141511
1504213201,1504213201482
1504213211,1504213201482
1504213221,1504213201482
1504213231,1504213201482
1504213241,1504213201482
1504213251,1504213201482
1504213261,1504213261426
1504213271,1504213261426
1504213281,1504213261426
1504213291,1504213261426
1504213301,1504213261426
1504213311,1504213261426
1504213321,1504213321444
1504213331,1504213321444
1504213341,1504213321444
1504213351,1504213321444
1504213361,1504213321444
1504213371,1504213321444
1504213381,1504213381559
1504213391,1504213381559
1504213401,1504213381559
1504213411,1504213381559
1504213421,1504213381559
1504213431,1504213381559
1504213441,1504213441537
1504213451,1504213441537
1504213461,1504213441537
1504213471,1504213441537
1504213481,1504213441537
1504213491,1504213441537
1504213501,1504213501578
1504213511,1504213501578
1504213521,1504213501578
1504213531,1504213501578
1504213541,1504213501578
1504213551,1504213501578
1504213561,1504213561421
1504213571,1504213561421
1504213581,1504213561421
1504213591,1504213561421
1504213601,1504213561421
1504213611,1504213561421
1504213621,1504213621412
1504213631,1504213621412
1504213641,1504213621412
1504213651,1504213621412
1504213661,1504213621412
1504213671,1504213621412
