t,value
1509136595,-1
1509136605,-1
1509136615,-1
1509136625,-1
1509136635,1509136623919
1509136645,1509136623919
1509136655,1509136623919
1509136665,1509136623919
1509136675,1509136623919
1509136685,1509136623919
1509136695,1509136623919
1509136705,1509136623919
1509136715,1509136623919
1509136725,1509136623919
1509136735,1509136693791
1509136745,1509136693791
1509136755,1509136693791
1509136765,1509136693791
1509136775,1509136693791
1509136785,1509136693791
1509136795,1509136693791
1509136805,1509136693791
1509136815,1509136693791
1509136825,1509136693791
1509136835,1509136693791
1509136845,1509136693791
1509136855,1509136693791
1509136865,1509136765217
1509136875,1509136765217
1509136885,1509136765217
1509136895,1509136765217
1509136905,1509136765217
1509136915,1509136765217
1509136925,1509136765217
1509136935,1509136765217
1509136945,1509136765217
1509136955,1509136765217
1509136965,1509136765217
1509136975,1509136842218
1509136985,1509136842218
1509136995,1509136842218
1509137005,1509136842218
1509137015,1509136842218
1509137025,1509136842218
1509137035,1509136842218
1509137045,1509136842218
1509137055,1509136842218
1509137065,1509136842218
1509137075,1509136842218
1509137085,1509136899465
1509137095,1509136899465
1509137105,1509136899465
1509137115,1509136899465
1509137125,1509136899465
1509137135,1509136899465
1509137145,1509136899465
1509137155,1509136899465
1509137165,1509136899465
1509137175,1509136899465
1509137185,1509136899465
1509137195,1509136988224
1509137205,1509136988224
1509137215,1509136988224
1509137225,1509136988224
1509137235,1509136988224
1509137245,1509136988224
1509137255,1509136988224
1509137265,1509136988224
1509137275,1509136988224
1509137285,1509136988224
1509137295,1509136988224
1509137305,1509136988224
1509137315,1509137052401
1509137325,1509137052401
1509137335,1509137052401
1509137345,1509137052401
1509137355,1509137052401
1509137365,1509137052401
1509137375,1509137052401
1509137385,1509137052401
1509137395,1509137052401
1509137405,1509137052401
1509137415,1509137052401
1509137425,1509137101862
1509137435,1509137101862
1509137445,1509137101862
1509137455,1509137101862
1509137465,1509137101862
1509137475,1509137101862
1509137485,1509137101862
1509137495,1509137150246
1509137505,1509137150246
1509137515,1509137150246
1509137525,1509137150246
1509137535,1509137150246
1509137545,1509137150246
1509137555,1509137150246
1509137565,1509137150246
1509137575,1509137205850
1509137585,1509137205850
1509137595,1509137205850
1509137605,1509137205850
1509137615,1509137205850
1509137625,1509137205850
1509137635,1509137205850
1509137645,1509137205850
1509137655,1509137271071
1509137665,1509137271071
1509137675,1509137271071
1509137685,1509137271071
1509137695,1509137271071
1509137705,1509137271071
1509137715,1509137271071
1509137725,1509137271071
1509137735,1509137331009
1509137745,1509137331009
1509137755,1509137331009
1509137765,1509137331009
1509137775,1509137331009
1509137785,1509137331009
1509137795,1509137331009
1509137805,1509137331009
1509137815,1509137384305
1509137825,1509137384305
1509137835,1509137384305
1509137845,1509137384305
1509137855,1509137384305
1509137865,1509137422797
1509137875,1509137422797
1509137885,1509137485885
1509137895,1509137485885
1509137905,1509137526761
1509137915,1509137880236
1509137925,1509137880236
1509137935,1509137880236
1509137945,1509137940182
1509137955,1509137940182
1509137965,1509137940182
1509137975,1509137940182
1509137985,1509137940182
1509137995,1509137940182
1509138005,1509138000190
1509138015,1509138000190
1509138025,1509138000190
1509138035,1509138000190
1509138045,1509138000190
1509138055,1509138000190
1509138065,1509138060179
1509138075,1509138060179
1509138085,1509138060179
1509138095,1509138060179
1509138105,1509138060179
1509138115,1509138060179
1509138125,1509138120198
1509138135,1509138120198
1509138145,1509138120198
1509138155,1509138120198
1509138165,1509138120198
1509138175,1509138120198
1509138185,1509138180189
1509138195,1509138180189
1509138205,1509138180189
1509138215,1509138180189
1509138225,1509138180189
1509138235,1509138180189
1509138245,1509138240184
1509138255,1509138240184
1509138265,1509138240184
1509138275,1509138240184
1509138285,1509138240184
1509138295,1509138240184
1509138305,1509138300188
1509138315,1509138300188
1509138325,1509138300188
1509138335,1509138300188
1509138345,1509138300188
1509138355,1509138300188
1509138365,1509138360170
1509138375,1509138360170
1509138385,1509138360170
1509138395,1509138360170
1509138405,1509138360170
1509138415,1509138360170
1509138425,1509138420176
1509138435,1509138420176
1509138445,1509138420176
1509138455,1509138420176
1509138465,1509138420176
1509138475,1509138420176
1509138485,1509138480179
1509138495,1509138480179
1509138505,1509138480179
1509138515,1509138480179
1509138525,1509138480179
1509138535,1509138480179
1509138545,1509138540183
1509138555,1509138540183
1509138565,1509138540183
1509138575,1509138540183
1509138585,1509138540183
1509138595,1509138540183
1509138605,1509138600177
1509138615,1509138600177
1509138625,1509138600177
1509138635,1509138600177
1509138645,1509138600177
1509138655,1509138600177
1509138665,1509138660193
1509138675,1509138660193
1509138685,1509138660193
1509138695,1509138660193
1509138705,1509138660193
1509138715,1509138660193
1509138725,1509138720178
1509138735,1509138720178
1509138745,1509138720178
1509138755,1509138720178
1509138765,1509138720178
1509138775,1509138720178
1509138785,1509138780169
1509138795,1509138780169
1509138805,1509138780169
1509138815,1509138780169
1509138825,1509138780169
1509138835,1509138780169
1509138845,1509138840177
1509138855,1509138840177
1509138865,1509138840177
1509138875,1509138840177
1509138885,1509138840177
1509138895,1509138840177
1509138905,1509138900191
1509138915,1509138900191
1509138925,1509138900191
1509138935,1509138900191
1509138945,1509138900191
1509138955,1509138900191
1509138965,1509138960187
1509138975,1509138960187
1509138985,1509138960187
1509138995,1509138960187
1509139005,1509138960187
1509139015,1509138960187
1509139025,1509139020172
1509139035,1509139020172
1509139045,1509139020172
1509139055,1509139020172
1509139065,1509139020172
1509139075,1509139020172
1509139085,1509139080184
1509139095,1509139080184
1509139105,1509139080184
1509139115,1509139080184
1509139125,1509139080184
1509139135,1509139080184
1509139145,1509139140182
1509139155,1509139140182
1509139165,1509139140182
1509139175,1509139140182
1509139185,1509139140182
1509139195,1509139140182
1509139205,1509139200177
1509139215,1509139200177
1509139225,1509139200177
1509139235,1509139200177
1509139245,1509139200177
1509139255,1509139200177
1509139265,1509139260179
1509139275,1509139260179
1509139285,1509139260179
1509139295,1509139260179
1509139305,1509139260179
1509139315,1509139260179
1509139325,1509139320185
1509139335,1509139320185
1509139345,1509139320185
1509139355,1509139320185
1509139365,1509139320185
1509139375,1509139320185
1509139385,1509139380193
1509139395,1509139380193
