t,value
1509136595,-1
1509136605,-1
1509136615,-1
1509136625,-1
1509136635,2882
1509136645,2882
1509136655,2882
1509136665,2882
1509136675,2882
1509136685,2882
1509136695,2882
1509136705,2882
1509136715,2882
1509136725,2882
1509136735,41118
1509136745,41118
1509136755,41118
1509136765,41118
1509136775,41118
1509136785,41118
1509136795,41118
1509136805,41118
1509136815,41118
1509136825,41118
1509136835,41118
1509136845,41118
1509136855,41118
1509136865,94009
1509136875,94009
1509136885,94009
1509136895,94009
1509136905,94009
1509136915,94009
1509136925,94009
1509136935,94009
1509136945,94009
1509136955,94009
1509136965,94009
1509136975,127391
1509136985,127391
1509136995,127391
1509137005,127391
1509137015,127391
1509137025,127391
1509137035,127391
1509137045,127391
1509137055,127391
1509137065,127391
1509137075,127391
1509137085,185662
1509137095,185662
1509137105,185662
1509137115,185662
1509137125,185662
1509137135,185662
1509137145,185662
1509137155,185662
1509137165,185662
1509137175,185662
1509137185,185662
1509137195,201509
1509137205,201509
1509137215,201509
1509137225,201509
1509137235,201509
1509137245,201509
1509137255,201509
1509137265,201509
1509137275,201509
1509137285,201509
1509137295,201509
1509137305,201509
1509137315,255719
1509137325,255719
1509137335,255719
1509137345,255719
1509137355,255719
1509137365,255719
1509137375,255719
1509137385,255719
1509137395,255719
1509137405,255719
1509137415,255719
1509137425,314410
1509137435,314410
1509137445,314410
1509137455,314410
1509137465,314410
1509137475,314410
1509137485,314410
1509137495,339065
1509137505,339065
1509137515,339065
1509137525,339065
1509137535,339065
1509137545,339065
1509137555,339065
1509137565,339065
1509137575,361810
1509137585,361810
1509137595,361810
1509137605,361810
1509137615,361810
1509137625,361810
1509137635,361810
1509137645,361810
1509137655,377176
1509137665,377176
1509137675,377176
1509137685,377176
1509137695,377176
1509137705,377176
1509137715,377176
1509137725,377176
1509137735,396016
1509137745,396016
1509137755,396016
1509137765,396016
1509137775,396016
1509137785,396016
1509137795,396016
1509137805,396016
1509137815,422851
1509137825,422851
1509137835,422851
1509137845,422851
1509137855,422851
1509137865,436045
1509137875,436045
1509137885,395949
1509137895,395949
1509137905,371388
1509137915,33203
1509137925,33203
1509137935,33203
1509137945,1496
1509137955,1496
1509137965,1496
1509137975,1496
1509137985,1496
1509137995,1496
1509138005,1495
1509138015,1495
1509138025,1495
1509138035,1495
1509138045,1495
1509138055,1495
1509138065,1480
1509138075,1480
1509138085,1480
1509138095,1480
1509138105,1480
1509138115,1480
1509138125,1507
1509138135,1507
1509138145,1507
1509138155,1507
1509138165,1507
1509138175,1507
1509138185,1538
1509138195,1538
1509138205,1538
1509138215,1538
1509138225,1538
1509138235,1538
1509138245,1464
1509138255,1464
1509138265,1464
1509138275,1464
1509138285,1464
1509138295,1464
1509138305,1479
1509138315,1479
1509138325,1479
1509138335,1479
1509138345,1479
1509138355,1479
1509138365,1474
1509138375,1474
1509138385,1474
1509138395,1474
1509138405,1474
1509138415,1474
1509138425,1473
1509138435,1473
1509138445,1473
1509138455,1473
1509138465,1473
1509138475,1473
1509138485,1480
1509138495,1480
1509138505,1480
1509138515,1480
1509138525,1480
1509138535,1480
1509138545,1487
1509138555,1487
1509138565,1487
1509138575,1487
1509138585,1487
1509138595,1487
1509138605,1482
1509138615,1482
1509138625,1482
1509138635,1482
1509138645,1482
1509138655,1482
1509138665,1475
1509138675,1475
1509138685,1475
1509138695,1475
1509138705,1475
1509138715,1475
1509138725,1496
1509138735,1496
1509138745,1496
1509138755,1496
1509138765,1496
1509138775,1496
1509138785,1537
1509138795,1537
1509138805,1537
1509138815,1537
1509138825,1537
1509138835,1537
1509138845,1471
1509138855,1471
1509138865,1471
1509138875,1471
1509138885,1471
1509138895,1471
1509138905,1509
1509138915,1509
1509138925,1509
1509138935,1509
1509138945,1509
1509138955,1509
1509138965,1493
1509138975,1493
1509138985,1493
1509138995,1493
1509139005,1493
1509139015,1493
1509139025,1534
1509139035,1534
1509139045,1534
1509139055,1534
1509139065,1534
1509139075,1534
1509139085,1491
1509139095,1491
1509139105,1491
1509139115,1491
1509139125,1491
1509139135,1491
1509139145,1463
1509139155,1463
1509139165,1463
1509139175,1463
1509139185,1463
1509139195,1463
1509139205,1492
1509139215,1492
1509139225,1492
1509139235,1492
1509139245,1492
1509139255,1492
1509139265,1609
1509139275,1609
1509139285,1609
1509139295,1609
1509139305,1609
1509139315,1609
1509139325,1522
1509139335,1522
1509139345,1522
1509139355,1522
1509139365,1522
1509139375,1522
1509139385,1493
1509139395,1493
1509139405,1493
1509139415,1493
1509139425,1493
1509139435,1493
1509139445,1469
1509139455,1469
1509139465,1469
1509139475,1469
1509139485,1469
1509139495,1469
1509139505,1462
1509139515,1462
1509139525,1462
1509139535,1462
1509139545,1462
1509139555,1462
1509139565,1487
1509139575,1487
1509139585,1487
1509139595,1487
1509139605,1487
1509139615,1487
1509139625,1494
1509139635,1494
1509139645,1494
1509139655,1494
1509139665,1494
1509139675,1494
1509139685,1470
1509139695,1470
1509139705,1470
1509139715,1470
1509139725,1470
1509139735,1470
1509139745,1512
1509139755,1512
1509139765,1512
1509139775,1512
1509139785,1512
1509139795,1512
1509139805,1491
1509139815,1491
1509139825,1491
1509139835,1491
1509139845,1491
1509139855,1491
1509139865,1481
1509139875,1481
1509139885,1481
1509139895,1481
1509139905,1481
1509139915,1481
1509139925,1558
1509139935,1558
1509139945,1558
1509139955,1558
1509139965,1558
1509139975,1558
1509139985,1494
1509139995,1494
1509140005,1494
1509140015,1494
1509140025,1494
1509140035,1494
1509140045,1462
1509140055,1462
1509140065,1462
1509140075,1462
1509140085,1462
1509140095,1462
1509140105,1480
1509140115,1480
1509140125,1480
1509140135,1480
1509140145,1480
1509140155,1480
1509140165,1440
1509140175,1440
1509140185,1440
1509140195,1440
1509140205,1440
1509140215,1440
1509140225,1461
1509140235,1461
1509140245,1461
1509140255,1461
1509140265,1461
1509140275,1461
1509140285,1451
1509140295,1451
1509140305,1451
1509140315,1451
1509140325,1451
1509140335,1451
1509140345,1467
1509140355,1467
1509140365,1467
1509140375,1467
1509140385,1467
1509140395,1467
1509140405,1530
1509140415,1530
1509140425,1530
1509140435,1530
