Produce_batch,Num_Messages,Number_APoints/Msg,KB_Transfered,KB/sec,TimeStamp
0,5000,0,5000,0.0,0.0,20171108-153140
5000,10000,1,5000,310.0,3679.08910846,20171108-153140
0,5000,2,5000,621.0,4822.40474564,20171108-153141
5000,10000,3,5000,932.0,3566.63059183,20171108-153141
10000,15000,4,5000,1245.0,3184.08665355,20171108-153141
15000,20000,5,5000,1556.0,2979.07906385,20171108-153141
20000,25000,6,5000,1866.0,3097.21329085,20171108-153141
25000,30000,7,5000,2180.0,3190.74012218,20171108-153141
30000,35000,8,5000,2495.0,3267.20381645,20171108-153141
35000,40000,9,5000,2801.0,3287.80526346,20171108-153141
40000,45000,10,5000,3113.0,3168.55754362,20171108-153141
45000,50000,11,5000,3426.0,3413.83674804,20171108-153141
50000,55000,12,5000,3736.0,3635.7156118,20171108-153141
55000,60000,13,5000,4049.0,3821.83077059,20171108-153141
60000,65000,14,5000,4360.0,4024.50142365,20171108-153141
65000,70000,15,5000,4672.0,4234.92556556,20171108-153141
70000,75000,16,5000,4985.0,4390.80139045,20171108-153142
75000,80000,17,5000,5297.0,4581.52172679,20171108-153142
80000,85000,18,5000,5610.0,4765.98616429,20171108-153142
85000,90000,19,5000,5917.0,4926.79335802,20171108-153142
90000,95000,20,5000,6230.0,5053.78684618,20171108-153142
95000,100000,21,5000,6540.0,5205.37384875,20171108-153142
0,5000,22,5000,6854.0,4734.67445399,20171108-153142
5000,10000,23,5000,7168.0,4541.33607563,20171108-153142
10000,15000,24,5000,7482.0,4502.94274958,20171108-153142
15000,20000,25,5000,7793.0,4598.48375551,20171108-153142
20000,25000,26,5000,8105.0,4693.78076464,20171108-153142
25000,30000,27,5000,8418.0,4787.50797252,20171108-153142
30000,35000,28,5000,8732.0,4856.92559254,20171108-153142
35000,40000,29,5000,9045.0,4964.85108383,20171108-153142
40000,45000,30,5000,9357.0,5047.58999981,20171108-153142
45000,50000,31,5000,9658.0,5122.59670354,20171108-153142
50000,55000,32,5000,9959.0,5195.65466066,20171108-153142
55000,60000,33,5000,10286.0,5278.37148041,20171108-153142
60000,65000,34,5000,10613.0,5357.6384912,20171108-153142
65000,70000,35,5000,10912.0,5422.83120178,20171108-153142
70000,75000,36,5000,11211.0,5506.18515013,20171108-153142
75000,80000,37,5000,11515.0,5590.218117,20171108-153142
80000,85000,38,5000,11819.0,5671.79802864,20171108-153142
85000,90000,39,5000,12126.0,5753.42532727,20171108-153142
90000,95000,40,5000,12433.0,5811.04029089,20171108-153143
95000,100000,41,5000,12737.0,5897.18798486,20171108-153143
100000,105000,42,5000,13042.0,5951.0611864,20171108-153143
105000,110000,43,5000,13342.0,6001.21095413,20171108-153143
110000,115000,44,5000,13643.0,6050.92624852,20171108-153143
115000,120000,45,5000,13956.0,6124.84302228,20171108-153143
120000,125000,46,5000,14269.0,6174.99530297,20171108-153143
125000,130000,47,5000,14587.0,6208.30946938,20171108-153143
130000,135000,48,5000,14905.0,6279.42987015,20171108-153143
135000,140000,49,5000,15204.0,6343.29630114,20171108-153143
140000,145000,50,5000,15503.0,6405.83589179,20171108-153143
145000,150000,51,5000,15807.0,6447.65217899,20171108-153143
150000,155000,52,5000,16110.0,6487.36412803,20171108-153143
155000,160000,53,5000,16417.0,6526.54437864,20171108-153143
160000,165000,54,5000,16724.0,6564.91141027,20171108-153143
165000,170000,55,5000,17033.0,6603.29163037,20171108-153143
170000,175000,56,5000,17343.0,6641.41284838,20171108-153143
175000,180000,57,5000,17647.0,6696.69382624,20171108-153143
180000,185000,58,5000,17952.0,6731.37569972,20171108-153143
185000,190000,59,5000,18263.0,6799.6893073,20171108-153143
190000,195000,60,5000,18574.0,6853.57597739,20171108-153143
195000,200000,61,5000,18886.0,6886.20900413,20171108-153143
200000,205000,62,5000,19198.0,6878.72058959,20171108-153143
205000,210000,63,5000,19515.0,6874.04938572,20171108-153143
210000,215000,64,5000,19833.0,6908.3154885,20171108-153143
215000,220000,65,5000,20149.0,6940.49017412,20171108-153143
220000,225000,66,5000,20466.0,6919.17263162,20171108-153143
225000,230000,67,5000,20783.0,6914.1032146,20171108-153143
230000,235000,68,5000,21101.0,6909.86051802,20171108-153143
235000,240000,69,5000,21401.0,6900.61689627,20171108-153143
240000,245000,70,5000,21701.0,6953.74802858,20171108-153143
245000,250000,71,5000,22014.0,6982.94080964,20171108-153144
