t,value
1510176556,-1
1510176566,-1
1510176576,-1
1510176586,-1
1510176596,-1
1510176606,1510176602198
1510176616,1510176602198
1510176626,1510176602198
1510176636,1510176602198
1510176646,1510176602198
1510176656,1510176602198
1510176666,1510176602198
1510176676,1510176602198
1510176686,1510176676719
1510176696,1510176676719
1510176706,1510176676719
1510176716,1510176676719
1510176726,1510176676719
1510176736,1510176732901
1510176746,1510176732901
1510176756,1510176732901
1510176766,1510176732901
1510176776,1510176732901
1510176786,1510176732901
1510176796,1510176794672
1510176806,1510176794672
1510176816,1510176794672
1510176826,1510176794672
1510176836,1510176794672
1510176846,1510176794672
1510176856,1510176853894
1510176866,1510176853894
1510176876,1510176853894
1510176886,1510176853894
1510176896,1510176853894
1510176906,1510176853894
1510176916,1510176913637
1510176926,1510176913637
1510176936,1510176913637
1510176946,1510176913637
1510176956,1510176913637
1510176966,1510176913637
1510176976,1510176973459
1510176986,1510176973459
1510176996,1510176973459
1510177006,1510176973459
1510177016,1510176973459
1510177026,1510176973459
1510177036,1510177033828
1510177046,1510177033828
1510177056,1510177033828
1510177066,1510177033828
1510177076,1510177033828
1510177086,1510177033828
1510177096,1510177094301
1510177106,1510177094301
1510177116,1510177094301
1510177126,1510177094301
1510177136,1510177094301
1510177146,1510177094301
1510177156,1510177153862
1510177166,1510177153862
1510177176,1510177153862
1510177186,1510177153862
1510177196,1510177153862
1510177206,1510177153862
1510177216,1510177214298
1510177226,1510177214298
1510177236,1510177214298
1510177246,1510177214298
1510177256,1510177214298
1510177266,1510177214298
1510177276,1510177274478
1510177286,1510177274478
1510177296,1510177274478
1510177306,1510177274478
1510177316,1510177274478
1510177326,1510177274478
1510177336,1510177326809
1510177346,1510177326809
1510177356,1510177326809
1510177366,1510177326809
1510177376,1510177326809
1510177386,1510177385932
1510177396,1510177385932
1510177406,1510177385932
1510177416,1510177385932
1510177426,1510177385932
1510177436,1510177385932
1510177446,1510177445296
1510177456,1510177445296
1510177466,1510177445296
1510177476,1510177445296
1510177486,1510177445296
1510177496,1510177445296
1510177506,1510177505529
1510177516,1510177505529
1510177526,1510177505529
1510177536,1510177505529
1510177546,1510177505529
1510177556,1510177505529
1510177566,1510177563140
1510177576,1510177563140
1510177586,1510177563140
1510177596,1510177563140
1510177606,1510177563140
1510177616,1510177563140
1510177626,1510177620465
1510177636,1510177620465
1510177646,1510177620465
1510177656,1510177620465
1510177666,1510177620465
1510177676,1510177620465
1510177686,1510177680218
1510177696,1510177680218
1510177706,1510177680218
1510177716,1510177680218
1510177726,1510177680218
1510177736,1510177680218
1510177746,1510177740220
1510177756,1510177740220
1510177766,1510177740220
1510177776,1510177740220
1510177786,1510177740220
1510177796,1510177740220
1510177806,1510177800218
1510177816,1510177800218
1510177826,1510177800218
1510177836,1510177800218
1510177846,1510177800218
1510177856,1510177800218
1510177866,1510177860206
1510177876,1510177860206
1510177886,1510177860206
1510177896,1510177860206
1510177906,1510177860206
1510177916,1510177860206
1510177926,1510177920213
1510177936,1510177920213
1510177946,1510177920213
1510177956,1510177920213
1510177966,1510177920213
1510177976,1510177920213
1510177986,1510177980227
1510177996,1510177980227
1510178006,1510177980227
1510178016,1510177980227
1510178026,1510177980227
1510178036,1510177980227
1510178046,1510178040208
1510178056,1510178040208
1510178066,1510178040208
1510178076,1510178040208
1510178086,1510178040208
1510178096,1510178040208
1510178106,1510178100214
1510178116,1510178100214
1510178126,1510178100214
1510178136,1510178100214
1510178146,1510178100214
1510178156,1510178100214
1510178166,1510178160225
1510178176,1510178160225
1510178186,1510178160225
1510178196,1510178160225
1510178206,1510178160225
1510178216,1510178160225
1510178226,1510178220217
1510178236,1510178220217
1510178246,1510178220217
1510178256,1510178220217
1510178266,1510178220217
1510178276,1510178220217
1510178286,1510178280198
1510178296,1510178280198
1510178306,1510178280198
1510178316,1510178280198
1510178326,1510178280198
1510178336,1510178280198
1510178346,1510178340210
1510178356,1510178340210
1510178366,1510178340210
1510178376,1510178340210
1510178386,1510178340210
1510178396,1510178340210
1510178406,1510178400223
1510178416,1510178400223
1510178426,1510178400223
1510178436,1510178400223
1510178446,1510178400223
1510178456,1510178400223
1510178466,1510178460203
1510178476,1510178460203
1510178486,1510178460203
1510178496,1510178460203
1510178506,1510178460203
1510178516,1510178460203
1510178526,1510178520207
1510178536,1510178520207
1510178546,1510178520207
1510178556,1510178520207
1510178566,1510178520207
1510178576,1510178520207
1510178586,1510178580222
1510178596,1510178580222
1510178606,1510178580222
1510178616,1510178580222
1510178626,1510178580222
1510178636,1510178580222
1510178646,1510178640206
1510178656,1510178640206
1510178666,1510178640206
1510178676,1510178640206
1510178686,1510178640206
1510178696,1510178640206
1510178706,1510178700204
1510178716,1510178700204
1510178726,1510178700204
1510178736,1510178700204
1510178746,1510178700204
1510178756,1510178700204
1510178766,1510178760212
1510178776,1510178760212
1510178786,1510178760212
1510178796,1510178760212
1510178806,1510178760212
1510178816,1510178760212
1510178826,1510178820213
1510178836,1510178820213
1510178846,1510178820213
1510178856,1510178820213
1510178866,1510178820213
1510178876,1510178820213
1510178886,1510178880225
1510178896,1510178880225
1510178906,1510178880225
1510178916,1510178880225
1510178926,1510178880225
1510178936,1510178880225
1510178946,1510178940203
1510178956,1510178940203
1510178966,1510178940203
1510178976,1510178940203
1510178986,1510178940203
1510178996,1510178940203
1510179006,1510179000203
1510179016,1510179000203
1510179026,1510179000203
1510179036,1510179000203
1510179046,1510179000203
1510179056,1510179000203
1510179066,1510179060204
1510179076,1510179060204
1510179086,1510179060204
1510179096,1510179060204
1510179106,1510179060204
1510179116,1510179060204
1510179126,1510179120215
1510179136,1510179120215
1510179146,1510179120215
1510179156,1510179120215
1510179166,1510179120215
1510179176,1510179120215
1510179186,1510179180208
1510179196,1510179180208
1510179206,1510179180208
1510179216,1510179180208
1510179226,1510179180208
1510179236,1510179180208
1510179246,1510179240201
1510179256,1510179240201
1510179266,1510179240201
1510179276,1510179240201
1510179286,1510179240201
1510179296,1510179240201
1510179306,1510179300221
1510179316,1510179300221
1510179326,1510179300221
1510179336,1510179300221
1510179346,1510179300221
1510179356,1510179300221
1510179366,1510179360215
1510179376,1510179360215
1510179386,1510179360215
1510179396,1510179360215
1510179406,1510179360215
1510179416,1510179360215
1510179426,1510179420196
1510179436,1510179420196
1510179446,1510179420196
1510179456,1510179420196
1510179466,1510179420196
1510179476,1510179420196
1510179486,1510179480222
1510179496,1510179480222
1510179506,1510179480222
1510179516,1510179480222
1510179526,1510179480222
1510179536,1510179480222
1510179546,1510179540203
1510179556,1510179540203
1510179566,1510179540203
1510179576,1510179540203
1510179586,1510179540203
1510179596,1510179540203
1510179606,1510179600234
1510179616,1510179600234
1510179626,1510179600234
1510179636,1510179600234
1510179646,1510179600234
1510179656,1510179600234
1510179666,1510179660216
1510179676,1510179660216
1510179686,1510179660216
1510179696,1510179660216
1510179706,1510179660216
1510179716,1510179660216
1510179726,1510179720225
1510179736,1510179720225
1510179746,1510179720225
1510179756,1510179720225
