Produce_batch,Num_Messages,Number_APoints/Msg,KB_Transfered,KB/sec
0,5000,0,5000,0.0,0.0
5000,10000,1,5000,311.0,3694.99284472
0,5000,2,5000,621.0,3394.20159346
5000,10000,3,5000,935.0,3550.85169571
10000,15000,4,5000,1247.0,4002.09128994
15000,20000,5,5000,1557.0,4295.04303441
20000,25000,6,5000,1868.0,4542.59033452
25000,30000,7,5000,2174.0,5038.87954766
30000,35000,8,5000,2487.0,5457.41888242
35000,40000,9,5000,2793.0,5682.20023699
40000,45000,10,5000,3106.0,6030.80987279
45000,50000,11,5000,3417.0,6252.06906272
50000,55000,12,5000,3730.0,6270.33941326
55000,60000,13,5000,4045.0,6574.70213227
60000,65000,14,5000,4357.0,6818.15664471
65000,70000,15,5000,4669.0,6961.4348361
70000,75000,16,5000,4978.0,7167.81825491
75000,80000,17,5000,5290.0,7408.5060626
80000,85000,18,5000,5603.0,7516.57766829
85000,90000,19,5000,5911.0,7723.28447632
90000,95000,20,5000,6222.0,7886.85114418
95000,100000,21,5000,6532.0,7956.75084106
0,5000,22,5000,6838.0,6665.67290091
5000,10000,23,5000,7152.0,6169.46923786
10000,15000,24,5000,7466.0,6021.26870482
15000,20000,25,5000,7776.0,5888.79488248
20000,25000,26,5000,8086.0,6030.05326551
25000,30000,27,5000,8400.0,6117.83830377
30000,35000,28,5000,8713.0,6120.87583816
35000,40000,29,5000,9037.0,6207.74588284
40000,45000,30,5000,9362.0,6291.96644099
45000,50000,31,5000,9680.0,6419.33201155
50000,55000,32,5000,9997.0,6539.856048
55000,60000,33,5000,10296.0,6631.61515381
60000,65000,34,5000,10594.0,6721.79964844
65000,70000,35,5000,10911.0,6770.64329976
70000,75000,36,5000,11227.0,6831.6640378
75000,80000,37,5000,11544.0,6886.3984089
80000,85000,38,5000,11861.0,6917.22102036
85000,90000,39,5000,12186.0,6967.01552468
90000,95000,40,5000,12511.0,7033.92687066
95000,100000,41,5000,12817.0,7077.49687263
100000,105000,42,5000,13123.0,7167.02811701
105000,110000,43,5000,13436.0,7262.12187988
110000,115000,44,5000,13750.0,7359.21023568
115000,120000,45,5000,14066.0,7401.72810853
120000,125000,46,5000,14383.0,7443.39927704
125000,130000,47,5000,14696.0,7394.61584798
130000,135000,48,5000,15010.0,7385.65477889
135000,140000,49,5000,15325.0,7377.8582673
140000,145000,50,5000,15640.0,7384.26903589
145000,150000,51,5000,15953.0,7395.08710935
150000,155000,52,5000,16266.0,7423.22138973
155000,160000,53,5000,16592.0,7423.36794007
160000,165000,54,5000,16918.0,7452.74843247
165000,170000,55,5000,17223.0,7496.9836355
170000,175000,56,5000,17528.0,7492.82014839
175000,180000,57,5000,17846.0,7528.9159897
180000,185000,58,5000,18164.0,7561.49666014
