t,value
1507170875,732
1507170885,732
1507170895,732
1507170905,732
1507170915,732
1507170925,732
1507170935,732
1507170945,732
1507170955,732
1507170965,732
1507170975,732
1507170985,732
1507170995,732
1507171005,732
1507171015,732
1507171025,732
1507171035,732
1507171045,732
1507171055,732
1507171065,732
1507171075,732
1507171085,732
1507171095,732
1507171105,732
1507171115,732
1507171125,732
1507171135,732
1507171145,732
1507171155,732
1507171165,732
1507171175,732
1507171185,732
1507171195,732
1507171205,732
1507171215,732
1507171225,732
1507171235,732
1507171245,732
1507171255,732
1507171265,732
1507171275,732
1507171285,732
1507171295,732
1507171305,732
1507171315,732
1507171325,732
1507171335,732
1507171345,732
1507171355,732
1507171365,732
1507171375,732
1507171385,732
1507171395,732
1507171405,732
1507171415,732
1507171425,732
1507171435,732
1507171445,732
1507171455,732
1507171465,732
1507171475,732
1507171485,732
1507171495,732
1507171505,732
1507171515,732
1507171525,732
1507171535,732
1507171545,732
1507171555,732
1507171565,732
1507171575,732
1507171585,732
1507171595,732
1507171605,732
1507171615,732
1507171625,732
1507171635,732
1507171645,732
1507171655,732
1507171665,732
1507171675,732
1507171685,732
1507171695,732
1507171705,732
1507171715,732
1507171725,732
1507171735,732
1507171745,732
1507171755,732
1507171765,732
1507171775,732
1507171785,732
1507171795,732
1507171805,732
1507171815,732
1507171825,732
1507171835,732
1507171845,732
1507171855,732
1507171865,732
1507171875,732
1507171885,732
1507171895,732
1507171905,732
1507171915,732
1507171925,732
1507171935,732
1507171945,732
1507171955,732
1507171965,732
1507171975,732
1507171985,732
1507171995,732
1507172005,732
1507172015,732
1507172025,732
1507172035,732
1507172045,732
1507172055,732
1507172065,732
1507172075,732
1507172085,732
1507172095,732
1507172105,732
1507172115,732
1507172125,732
1507172135,732
1507172145,732
1507172155,732
1507172165,732
1507172175,732
1507172185,732
1507172195,732
1507172205,732
1507172215,732
1507172225,732
1507172235,732
1507172245,732
1507172255,732
1507172265,732
1507172275,732
1507172285,732
1507172295,732
1507172305,732
1507172315,732
1507172325,732
1507172335,732
1507172345,732
1507172355,732
1507172365,732
1507172375,732
1507172385,732
1507172395,732
1507172405,732
1507172415,732
1507172425,732
1507172435,732
1507172445,732
1507172455,732
1507172465,732
1507172475,732
1507172485,732
1507172495,732
1507172505,732
1507172515,732
1507172525,732
1507172535,732
1507172545,732
1507172555,732
1507172565,732
1507172575,732
1507172585,732
1507172595,732
1507172605,732
1507172615,732
1507172625,732
1507172635,732
1507172645,732
1507172655,732
1507172665,732
1507172675,732
1507172685,732
1507172695,732
1507172705,732
1507172715,732
1507172725,732
1507172735,732
1507172745,732
1507172755,732
1507172765,732
1507172775,732
1507172785,732
1507172795,732
1507172805,732
1507172815,732
1507172825,732
1507172835,732
1507172845,732
1507172855,732
1507172865,732
1507172875,732
1507172885,732
1507172895,732
1507172905,732
1507172915,732
1507172925,732
1507172935,732
1507172945,732
1507172955,732
1507172965,732
1507172975,732
1507172985,732
1507172995,732
1507173005,732
1507173015,732
1507173025,732
1507173035,732
1507173045,732
1507173055,732
1507173065,732
1507173075,732
1507173085,732
1507173095,732
1507173105,732
1507173115,732
1507173125,732
1507173135,732
1507173145,732
1507173155,732
1507173165,732
1507173175,732
1507173185,732
1507173195,732
1507173205,732
1507173215,732
1507173225,732
1507173235,732
1507173245,732
1507173255,732
1507173265,732
1507173275,732
1507173285,732
1507173295,732
1507173305,732
1507173315,732
1507173325,732
1507173335,732
1507173345,732
1507173355,732
1507173365,732
1507173375,732
1507173385,732
1507173395,732
1507173405,732
1507173415,732
1507173425,732
1507173435,732
1507173445,732
1507173455,732
1507173465,732
1507173475,732
1507173485,732
1507173495,732
1507173505,732
1507173515,732
1507173525,732
1507173535,732
1507173545,732
1507173555,732
1507173565,732
1507173575,732
1507173585,732
1507173595,732
1507173605,732
