Produce_batch,Num_Messages,Number_APoints/Msg,KB_Transfered,KB/sec
0,5000,0,5000,0.0,0.0
5000,10000,1,5000,311.0,2085.33065612
0,5000,2,5000,620.0,3205.74128658
5000,10000,3,5000,931.0,3399.68363738
10000,15000,4,5000,1245.0,3513.4650289
15000,20000,5,5000,1554.0,3575.33995126
20000,25000,6,5000,1862.0,4090.33866279
25000,30000,7,5000,2171.0,4457.10920117
30000,35000,8,5000,2477.0,4771.49939468
35000,40000,9,5000,2788.0,4947.66600803
40000,45000,10,5000,3103.0,5104.79312506
45000,50000,11,5000,3416.0,5207.99171533
50000,55000,12,5000,3729.0,5412.60073981
55000,60000,13,5000,4036.0,5641.68574722
60000,65000,14,5000,4352.0,5821.77692302
65000,70000,15,5000,4666.0,6043.03120909
70000,75000,16,5000,4973.0,5974.07671739
75000,80000,17,5000,5290.0,6118.45691975
80000,85000,18,5000,5598.0,6244.29085666
85000,90000,19,5000,5915.0,6373.19396346
90000,95000,20,5000,6220.0,6451.62644298
95000,100000,21,5000,6529.0,6559.32333361
0,5000,22,5000,6837.0,5503.23632355
5000,10000,23,5000,7143.0,5144.3669572
10000,15000,24,5000,7449.0,5244.65162769
15000,20000,25,5000,7761.0,5387.40935167
20000,25000,26,5000,8072.0,5509.68363132
25000,30000,27,5000,8373.0,5587.2671562
30000,35000,28,5000,8674.0,5607.30384181
35000,40000,29,5000,8987.0,5598.00645429
40000,45000,30,5000,9300.0,5599.76169411
45000,50000,31,5000,9605.0,5680.40018291
50000,55000,32,5000,9910.0,5752.30430109
55000,60000,33,5000,10223.0,5788.75919979
60000,65000,34,5000,10536.0,5869.89959992
65000,70000,35,5000,10850.0,5952.41702419
70000,75000,36,5000,11165.0,6019.77309936
75000,80000,37,5000,11465.0,6096.63410873
80000,85000,38,5000,11765.0,6162.34479369
85000,90000,39,5000,12083.0,6187.5481551
90000,95000,40,5000,12401.0,6251.07128689
95000,100000,41,5000,12718.0,6307.6215741
100000,105000,42,5000,13036.0,6355.63913065
105000,110000,43,5000,13333.0,6368.31037252
110000,115000,44,5000,13630.0,6333.26647818
115000,120000,45,5000,13925.0,6298.90159571
120000,125000,46,5000,14221.0,6331.13141669
125000,130000,47,5000,14522.0,6383.27971162
130000,135000,48,5000,14823.0,6418.13923521
135000,140000,49,5000,15129.0,6433.19681526
140000,145000,50,5000,15435.0,6472.7864901
145000,150000,51,5000,15752.0,6514.59365337
150000,155000,52,5000,16068.0,6524.13597185
155000,160000,53,5000,16393.0,6603.7408755
160000,165000,54,5000,16719.0,6651.50117371
165000,170000,55,5000,17034.0,6620.2466191
170000,175000,56,5000,17349.0,6662.14815321
175000,180000,57,5000,17648.0,6714.63697828
180000,185000,58,5000,17947.0,6758.32413413
185000,190000,59,5000,18262.0,6814.74396375
190000,195000,60,5000,18577.0,6840.83043583
195000,200000,61,5000,18891.0,6868.66015273
200000,205000,62,5000,19204.0,6892.29929746
205000,210000,63,5000,19514.0,6932.29701812
210000,215000,64,5000,19823.0,6974.18794175
215000,220000,65,5000,20128.0,7002.7949575
220000,225000,66,5000,20432.0,7031.36465845
225000,230000,67,5000,20735.0,7078.38883826
230000,235000,68,5000,21038.0,7124.24686582
235000,240000,69,5000,21352.0,7172.603179
240000,245000,70,5000,21665.0,7232.22338413
245000,250000,71,5000,21976.0,7277.479077
250000,255000,72,5000,22286.0,7264.89900517
255000,260000,73,5000,22615.0,7254.41245064
260000,265000,74,5000,22944.0,7282.00865102
265000,270000,75,5000,23260.0,7311.56154633
270000,275000,76,5000,23575.0,7338.04193548
275000,280000,77,5000,23890.0,7390.94654154
280000,285000,78,5000,24204.0,7440.91887342
285000,290000,79,5000,24516.0,7462.96583872
290000,295000,80,5000,24828.0,7501.49813684
295000,300000,81,5000,25135.0,7521.65222049
300000,305000,82,5000,25442.0,7558.65025731
305000,310000,83,5000,25741.0,7576.06508624
310000,315000,84,5000,26041.0,7621.09275592
315000,320000,85,5000,26359.0,7649.81980999
320000,325000,86,5000,26678.0,7687.29385877
325000,330000,87,5000,26977.0,7720.56360367
330000,335000,88,5000,27276.0,7735.62285018
335000,340000,89,5000,27579.0,7767.60098921
340000,345000,90,5000,27882.0,7810.65953362
345000,350000,91,5000,28195.0,7844.66590532
350000,355000,92,5000,28507.0,7885.56395604
355000,360000,93,5000,28818.0,7918.71894474
360000,365000,94,5000,29128.0,7924.57628472
365000,370000,95,5000,29449.0,7930.74374916
370000,375000,96,5000,29769.0,7947.9079954
375000,380000,97,5000,30070.0,7958.96622252
380000,385000,98,5000,30371.0,7955.22168788
385000,390000,99,5000,30686.0,7953.37788799
390000,395000,100,5000,31001.0,7942.27621046
395000,400000,101,5000,31317.0,7943.87431707
400000,405000,102,5000,31632.0,7943.88837501
405000,410000,103,5000,31946.0,7947.52319903
410000,415000,104,5000,32259.0,7919.68710482
415000,420000,105,5000,32565.0,7931.91896647
420000,425000,106,5000,32871.0,7942.59473504
425000,430000,107,5000,33182.0,7955.60873413
430000,435000,108,5000,33492.0,7967.678486
435000,440000,109,5000,33805.0,7950.02841442
440000,445000,110,5000,34119.0,7963.61086818
445000,450000,111,5000,34432.0,7976.83846466
450000,455000,112,5000,34746.0,7990.33972016
455000,460000,113,5000,35057.0,7973.03971524
460000,465000,114,5000,35368.0,7985.56071115
465000,470000,115,5000,35685.0,7999.02275301
470000,475000,116,5000,36003.0,8011.68729725
475000,480000,117,5000,36317.0,7996.44172977
480000,485000,118,5000,36631.0,7988.70848855
485000,490000,119,5000,36948.0,7976.58052648
490000,495000,120,5000,37264.0,7967.22793397
495000,500000,121,5000,37577.0,7928.99031956
500000,505000,122,5000,37890.0,7922.55991092
505000,510000,123,5000,38210.0,7908.74953761
510000,515000,124,5000,38531.0,7921.27051412
515000,520000,125,5000,38847.0,7943.38579622
520000,525000,126,5000,39163.0,7957.46200849
525000,530000,127,5000,39467.0,7955.26180784
530000,535000,128,5000,39770.0,7943.63689986
535000,540000,129,5000,40086.0,7936.32086338
540000,545000,130,5000,40401.0,7944.99224598
545000,550000,131,5000,40705.0,7952.75668626
550000,555000,132,5000,41009.0,7971.99620969
555000,560000,133,5000,41310.0,7982.61649235
560000,565000,134,5000,41610.0,7992.97879297
565000,570000,135,5000,41921.0,7990.86566835
570000,575000,136,5000,42232.0,8000.63950104
575000,580000,137,5000,42535.0,7998.72421214
580000,585000,138,5000,42838.0,8002.67819933
585000,590000,139,5000,43153.0,8013.75133173
590000,595000,140,5000,43466.0,8018.43578484
595000,600000,141,5000,43773.0,8022.66046355
600000,605000,142,5000,44080.0,8009.78479215
605000,610000,143,5000,44389.0,8013.84791011
610000,615000,144,5000,44697.0,8017.01366789
615000,620000,145,5000,45011.0,8026.3885729
620000,625000,146,5000,45325.0,8037.7214263
625000,630000,147,5000,45625.0,8045.07306481
630000,635000,148,5000,45924.0,8053.60645141
635000,640000,149,5000,46232.0,8071.58124778
640000,645000,150,5000,46540.0,8081.55877698
645000,650000,151,5000,46847.0,8100.29878091
650000,655000,152,5000,47154.0,8109.51639799
655000,660000,153,5000,47465.0,8132.89265198
660000,665000,154,5000,47776.0,8134.03728568
665000,670000,155,5000,48086.0,8131.04498384
670000,675000,156,5000,48396.0,8120.42718406
675000,680000,157,5000,48697.0,8111.05814046
680000,685000,158,5000,48998.0,8103.35016238
685000,690000,159,5000,49304.0,8112.22471458
690000,695000,160,5000,49610.0,8119.90415146
695000,700000,161,5000,49919.0,8113.38703687
700000,705000,162,5000,50227.0,8121.62957926
705000,710000,163,5000,50539.0,8137.90719229
710000,715000,164,5000,50852.0,8140.10866065
715000,720000,165,5000,51166.0,8149.22750791
720000,725000,166,5000,51480.0,8166.08040544
725000,730000,167,5000,51785.0,8173.90384591
730000,735000,168,5000,52089.0,8178.19099129
735000,740000,169,5000,52398.0,8191.56611329
