t,value
1507817637,-1
1507817647,2311
1507817657,2311
1507817667,2311
1507817677,2311
1507817687,2311
1507817697,2311
1507817707,2311
1507817717,2311
1507817727,2311
1507817737,2311
1507817747,2311
1507817757,2311
1507817767,2311
1507817777,2311
1507817787,2311
1507817797,2311
1507817807,2311
1507817817,2311
1507817827,2311
1507817837,2311
1507817847,2311
1507817857,2311
1507817867,2311
1507817877,2311
1507817887,2311
1507817897,2311
1507817907,2311
1507817917,2311
1507817927,2311
1507817937,2311
1507817947,2311
1507817957,2311
1507817967,2311
1507817977,2311
1507817987,2311
1507817997,2311
1507818007,2311
1507818017,2311
1507818027,2311
1507818037,2311
1507818047,2311
1507818057,2311
1507818067,2311
1507818077,2311
1507818087,2311
1507818097,2311
1507818107,2311
1507818117,2311
1507818127,2311
1507818137,2311
1507818147,2311
1507818157,2311
1507818167,2311
1507818177,2311
1507818187,2311
1507818197,2311
1507818207,2311
1507818217,2311
1507818227,2311
1507818237,2311
1507818247,2311
1507818257,2311
1507818267,2311
1507818277,2311
1507818287,2311
1507818297,2311
1507818307,2311
1507818317,2311
1507818327,2311
1507818337,2311
1507818347,2311
1507818357,2311
1507818367,2311
1507818377,2311
1507818387,2311
1507818397,2311
1507818407,2311
1507818417,2311
1507818427,2311
1507818437,2311
1507818447,2311
1507818457,2311
1507818467,2311
1507818477,2311
1507818487,2311
1507818497,2311
1507818507,2311
1507818517,2311
1507818527,2311
1507818537,2311
1507818547,2311
1507818557,2311
1507818567,2311
1507818577,2311
1507818587,2311
1507818597,2311
1507818607,2311
1507818617,2311
1507818627,2311
1507818637,2311
1507818647,2311
1507818657,2311
1507818667,2311
1507818677,2311
1507818687,2311
1507818697,2311
1507818707,2311
1507818717,2311
1507818727,2311
1507818737,2311
1507818747,2311
1507818757,2311
1507818767,2311
1507818777,2311
1507818787,2311
1507818797,2311
1507818807,2311
1507818817,2311
1507818827,2311
1507818837,2311
1507818847,2311
1507818857,2311
1507818867,2311
1507818877,2311
1507818887,2311
1507818897,2311
1507818907,2311
1507818917,2311
1507818927,2311
1507818937,2311
1507818947,2311
1507818957,2311
1507818967,2311
1507818977,2311
1507818987,2311
1507818997,2311
1507819007,2311
1507819017,2311
1507819027,2311
1507819037,2311
1507819047,2311
1507819057,2311
1507819067,2311
1507819077,2311
1507819087,2311
1507819097,2311
1507819107,2311
1507819117,2311
1507819127,2311
1507819137,2311
1507819147,2311
1507819157,2311
1507819167,2311
1507819177,2311
1507819187,2311
1507819197,2311
1507819207,2311
1507819217,2311
1507819227,2311
1507819237,2311
1507819247,2311
1507819257,2311
1507819267,2311
1507819277,2311
1507819287,1511577
1507819297,1511577
1507819307,1511577
1507819317,1511577
1507819327,1511577
1507819337,1511577
1507819347,1511577
1507819357,1511577
1507819367,1511577
1507819377,1511577
1507819387,1511577
1507819397,1511577
1507819407,1511577
1507819417,1511577
1507819427,1511577
1507819437,1511577
1507819447,1511577
1507819457,1511577
1507819467,1511577
1507819477,1511577
1507819487,1511577
1507819497,1511577
1507819507,1511577
1507819517,1511577
1507819527,1511577
1507819537,1511577
1507819547,1511577
1507819557,1511577
1507819567,1511577
1507819577,1511577
1507819587,1511577
1507819597,1511577
1507819607,1511577
1507819617,1511577
1507819627,1511577
1507819637,1511577
1507819647,1511577
1507819657,1511577
1507819667,1511577
1507819677,1511577
1507819687,1511577
1507819697,1511577
1507819707,1511577
1507819717,1511577
1507819727,1511577
1507819737,1511577
1507819747,1511577
1507819757,1511577
1507819767,1511577
1507819777,1511577
1507819787,1511577
1507819797,1511577
1507819807,1511577
1507819817,1511577
1507819827,1511577
1507819837,1511577
1507819847,1511577
1507819857,1511577
1507819867,1511577
1507819877,1511577
1507819887,1511577
1507819897,1511577
1507819907,1511577
1507819917,1511577
1507819927,1511577
1507819937,1511577
1507819947,1511577
1507819957,1511577
1507819967,1511577
1507819977,1511577
1507819987,1511577
1507819997,1511577
1507820007,1511577
1507820017,1511577
1507820027,1511577
1507820037,1511577
1507820047,1511577
1507820057,1511577
1507820067,1511577
1507820077,1511577
1507820087,1511577
1507820097,1511577
1507820107,1511577
1507820117,1511577
1507820127,1511577
1507820137,1511577
1507820147,1511577
1507820157,1511577
1507820167,1511577
1507820177,1511577
1507820187,1511577
1507820197,1511577
1507820207,1511577
1507820217,1511577
1507820227,1511577
1507820237,1511577
1507820247,1511577
1507820257,965359
1507820267,965359
