t,value
1507776850,-1
1507776860,-1
1507776870,-1
1507776880,-1
1507776890,-1
1507776900,-1
1507776910,4
1507776920,4
1507776930,4
1507776940,4
1507776950,4
1507776960,4
1507776970,4
1507776980,4
1507776990,4
1507777000,4
1507777010,4
1507777020,4
1507777030,4
1507777040,4
1507777050,4
1507777060,0
1507777070,0
1507777080,0
1507777090,0
1507777100,0
1507777110,0
1507777120,0
1507777130,0
1507777140,0
1507777150,0
1507777160,0
1507777170,0
1507777180,0
1507777190,0
1507777200,0
1507777210,0
1507777220,13701
1507777230,13701
1507777240,13701
1507777250,13701
1507777260,13701
1507777270,13701
1507777280,13701
1507777290,13701
1507777300,30427
1507777310,30427
1507777320,30427
1507777330,30427
1507777340,30427
1507777350,30427
1507777360,30427
1507777370,30427
1507777380,30427
1507777390,30427
1507777400,60345
1507777410,60345
1507777420,60345
1507777430,60345
1507777440,60345
1507777450,60345
1507777460,60345
1507777470,60345
1507777480,60345
1507777490,80597
1507777500,80597
1507777510,80597
1507777520,80597
1507777530,80597
1507777540,80597
1507777550,80597
1507777560,80597
1507777570,80597
1507777580,112881
1507777590,112881
1507777600,112881
1507777610,112881
1507777620,112881
1507777630,112881
1507777640,112881
1507777650,112881
1507777660,112881
1507777670,156691
1507777680,156691
1507777690,156691
1507777700,156691
1507777710,156691
1507777720,156691
1507777730,156691
1507777740,156691
1507777750,156691
1507777760,160880
1507777770,160880
1507777780,160880
1507777790,160880
1507777800,160880
1507777810,160880
1507777820,203680
1507777830,203680
1507777840,203680
1507777850,203680
1507777860,203680
1507777870,203680
1507777880,203680
1507777890,218345
1507777900,218345
1507777910,218345
1507777920,218345
1507777930,218345
1507777940,218345
1507777950,218345
1507777960,205535
1507777970,205535
1507777980,205535
1507777990,205535
1507778000,205535
1507778010,230819
1507778020,230819
1507778030,261918
1507778040,206780
1507778050,206780
1507778060,154152
1507778070,96384
1507778080,80014
1507778090,80014
1507778100,29086
1507778110,29086
1507778120,0
1507778130,0
1507778140,0
1507778150,0
1507778160,0
1507778170,0
1507778180,0
1507778190,0
1507778200,0
1507778210,0
1507778220,0
1507778230,1
1507778240,1
1507778250,1
1507778260,1
1507778270,1
1507778280,1
1507778290,1
1507778300,1
1507778310,1
1507778320,1
1507778330,1
1507778340,1
1507778350,0
1507778360,0
1507778370,0
1507778380,0
1507778390,0
1507778400,0
1507778410,0
1507778420,0
1507778430,0
1507778440,0
1507778450,0
1507778460,0
1507778470,0
1507778480,0
1507778490,0
1507778500,0
1507778510,0
