t,value
1507310450,0
1507310460,0
1507310470,0
1507310480,0
1507310490,0
1507310500,0
1507310510,0
1507310520,0
1507310530,0
1507310540,0
1507310550,0
1507310560,0
1507310570,0
1507310580,0
1507310590,0
1507310600,0
1507310610,0
1507310620,0
1507310630,0
1507310640,0
1507310650,0
1507310660,0
1507310670,0
1507310680,0
1507310690,0
1507310700,0
1507310710,0
1507310720,0
1507310730,0
1507310740,0
1507310750,0
1507310760,0
1507310770,0
1507310780,0
1507310790,0
1507310800,0
1507310810,0
1507310820,0
1507310830,0
1507310840,0
1507310850,0
1507310860,0
1507310870,0
1507310880,0
1507310890,0
1507310900,0
1507310910,0
1507310920,0
1507310930,0
1507310940,0
1507310950,1
1507310960,1
1507310970,1
1507310980,1
1507310990,1
1507311000,1
1507311010,1
1507311020,1
1507311030,1
1507311040,1
1507311050,1
1507311060,1
1507311070,1
1507311080,1
1507311090,1
1507311100,1
1507311110,1
1507311120,1
1507311130,1
1507311140,1
1507311150,1
1507311160,1
1507311170,1
1507311180,1
1507311190,1
1507311200,1
1507311210,1
1507311220,1
1507311230,1
1507311240,1
1507311250,1
1507311260,1
1507311270,1
1507311280,1
1507311290,1
1507311300,1
1507311310,1
1507311320,1
1507311330,1
1507311340,1
1507311350,1
1507311360,1
1507311370,1
1507311380,1
1507311390,1
1507311400,1
1507311410,1
1507311420,1
1507311430,1
1507311440,1
1507311450,1
1507311460,1
1507311470,1
1507311480,1
1507311490,1
1507311500,1
1507311510,1
1507311520,1
1507311530,2
1507311540,2
1507311550,2
1507311560,2
1507311570,2
1507311580,2
1507311590,2
1507311600,2
1507311610,2
1507311620,2
1507311630,2
1507311640,2
1507311650,2
1507311660,2
1507311670,2
1507311680,2
1507311690,2
1507311700,2
1507311710,2
1507311720,2
1507311730,2
1507311740,2
1507311750,2
1507311760,2
1507311770,2
1507311780,2
1507311790,2
1507311800,2
1507311810,2
1507311820,2
1507311830,2
1507311840,2
1507311850,2
1507311860,2
1507311870,2
1507311880,2
1507311890,2
1507311900,2
1507311910,2
1507311920,2
1507311930,2
1507311940,2
1507311950,2
1507311960,2
1507311970,2
1507311980,2
1507311990,2
1507312000,2
1507312010,2
1507312020,2
1507312030,2
1507312040,2
1507312050,2
1507312060,2
1507312070,2
1507312080,2
1507312090,2
1507312100,2
1507312110,2
1507312120,2
1507312130,2
1507312140,2
1507312150,2
1507312160,2
1507312170,2
1507312180,2
1507312190,2
1507312200,2
1507312210,2
1507312220,2
1507312230,2
1507312240,1
1507312250,1
1507312260,1
1507312270,1
1507312280,1
1507312290,1
1507312300,1
1507312310,1
1507312320,1
1507312330,1
1507312340,1
1507312350,1
1507312360,1
1507312370,1
1507312380,1
1507312390,1
1507312400,1
1507312410,1
1507312420,1
1507312430,1
1507312440,1
1507312450,1
1507312460,2
1507312470,2
1507312480,2
1507312490,2
1507312500,2
1507312510,2
1507312520,2
1507312530,2
1507312540,2
1507312550,2
1507312560,2
1507312570,2
1507312580,2
1507312590,2
1507312600,2
1507312610,2
1507312620,2
1507312630,2
1507312640,2
1507312650,2
1507312660,2
1507312670,2
1507312680,2
1507312690,2
1507312700,2
1507312710,2
1507312720,2
1507312730,2
1507312740,2
1507312750,2
1507312760,2
1507312770,2
1507312780,2
1507312790,2
1507312800,2
1507312810,2
1507312820,2
1507312830,2
1507312840,2
1507312850,2
1507312860,2
1507312870,2
1507312880,2
1507312890,2
1507312900,2
1507312910,2
1507312920,2
1507312930,2
1507312940,2
1507312950,2
1507312960,2
1507312970,2
1507312980,2
1507312990,2
1507313000,2
1507313010,2
1507313020,2
1507313030,2
1507313040,2
1507313050,2
1507313060,2
1507313070,2
1507313080,2
1507313090,2
1507313100,2
1507313110,2
1507313120,2
1507313130,2
1507313140,2
1507313150,2
1507313160,2
1507313170,2
1507313180,2
1507313190,2
1507313200,2
1507313210,2
1507313220,2
1507313230,2
1507313240,2
1507313250,2
1507313260,2
1507313270,3
1507313280,3
1507313290,3
1507313300,4
1507313310,6
1507313320,7
1507313330,8
1507313340,9
1507313350,11
1507313360,13
1507313370,15
1507313380,17
1507313390,20
1507313400,24
1507313410,27
1507313420,31
1507313430,36
1507313440,43
1507313450,47
1507313460,48
1507313470,48
1507313480,48
1507313490,48
1507313500,48
1507313510,48
1507313520,49
1507313530,49
1507313540,49
1507313550,49
1507313560,48
1507313570,48
1507313580,48
1507313590,48
1507313600,48
1507313610,48
1507313620,48
1507313630,48
1507313640,48
1507313650,48
1507313660,48
1507313670,48
1507313680,48
1507313690,48
1507313700,48
1507313710,48
1507313720,48
1507313730,48
1507313740,48
1507313750,48
1507313760,48
1507313770,48
1507313780,48
1507313790,48
1507313800,49
1507313810,52
1507313820,53
1507313830,53
1507313840,53
1507313850,53
1507313860,53
1507313870,53
1507313880,53
1507313890,53
1507313900,53
1507313910,53
1507313920,53
1507313930,53
1507313940,53
1507313950,53
1507313960,53
1507313970,53
1507313980,53
1507313990,53
1507314000,53
1507314010,53
1507314020,53
1507314030,53
1507314040,53
1507314050,53
1507314060,53
1507314070,53
1507314080,53
1507314090,53
1507314100,53
1507314110,53
1507314120,53
1507314130,53
1507314140,53
1507314150,53
1507314160,53
1507314170,53
1507314180,53
1507314190,53
1507314200,53
1507314210,53
1507314220,53
1507314230,53
1507314240,53
1507314250,53
1507314260,53
1507314270,53
1507314280,53
1507314290,53
1507314300,53
1507314310,53
1507314320,53
1507314330,53
1507314340,53
1507314350,54
1507314360,57
1507314370,62
1507314380,62
1507314390,62
