t,value
1507180442,1
1507180452,0
1507180462,0
1507180472,0
1507180482,0
1507180492,0
1507180502,1
1507180512,1
1507180522,1
1507180532,1
1507180542,1
1507180552,0
1507180562,1
1507180572,1
1507180582,1
1507180592,1
1507180602,1
1507180612,1
1507180622,2
1507180632,2
1507180642,2
1507180652,2
1507180662,2
1507180672,2
1507180682,2
1507180692,2
1507180702,2
1507180712,2
1507180722,2
1507180732,2
1507180742,2
1507180752,2
1507180762,2
1507180772,2
1507180782,2
1507180792,2
1507180802,2
1507180812,2
1507180822,2
1507180832,2
1507180842,2
1507180852,2
1507180862,2
1507180872,2
1507180882,2
1507180892,2
1507180902,2
1507180912,2
1507180922,2
1507180932,2
1507180942,2
1507180952,2
1507180962,2
1507180972,2
1507180982,2
1507180992,2
1507181002,2
1507181012,2
1507181022,2
1507181032,2
1507181042,2
1507181052,2
1507181062,2
1507181072,2
1507181082,2
1507181092,2
1507181102,2
1507181112,2
1507181122,2
1507181132,2
1507181142,2
1507181152,2
1507181162,2
1507181172,2
1507181182,2
1507181192,2
1507181202,2
1507181212,2
1507181222,2
1507181232,2
1507181242,2
1507181252,2
1507181262,2
1507181272,2
1507181282,2
1507181292,2
1507181302,2
1507181312,2
1507181322,2
1507181332,2
1507181342,2
1507181352,2
1507181362,2
1507181372,2
1507181382,1
1507181392,1
1507181402,2
1507181412,2
1507181422,2
1507181432,2
1507181442,2
1507181452,2
1507181462,2
1507181472,1
1507181482,1
1507181492,1
1507181502,1
1507181512,1
1507181522,2
1507181532,1
1507181542,1
1507181552,1
1507181562,1
1507181572,1
1507181582,2
1507181592,2
1507181602,1
1507181612,1
1507181622,1
1507181632,1
1507181642,2
1507181652,2
1507181662,2
1507181672,1
1507181682,1
1507181692,1
1507181702,2
1507181712,2
1507181722,2
1507181732,2
1507181742,2
1507181752,1
1507181762,1
1507181772,1
1507181782,1
1507181792,1
1507181802,1
1507181812,1
1507181822,2
1507181832,2
1507181842,2
1507181852,1
1507181862,1
1507181872,1
1507181882,2
1507181892,2
1507181902,2
1507181912,2
1507181922,2
1507181932,2
1507181942,2
1507181952,1
1507181962,1
1507181972,1
1507181982,1
1507181992,1
1507182002,2
1507182012,2
1507182022,2
1507182032,1
1507182042,1
1507182052,1
1507182062,2
1507182072,2
1507182082,2
1507182092,2
1507182102,2
1507182112,2
1507182122,2
1507182132,1
1507182142,1
1507182152,1
1507182162,1
1507182172,1
1507182182,1
1507182192,1
1507182202,1
1507182212,1
1507182222,1
1507182232,1
1507182242,1
1507182252,0
1507182262,0
1507182272,0
1507182282,0
1507182292,0
1507182302,0
1507182312,0
1507182322,0
1507182332,0
1507182342,0
1507182352,0
1507182362,0
1507182372,0
1507182382,0
1507182392,0
1507182402,0
1507182412,0
1507182422,0
1507182432,0
1507182442,0
1507182452,0
1507182462,0
1507182472,0
1507182482,0
1507182492,0
1507182502,0
1507182512,0
1507182522,0
1507182532,0
1507182542,0
1507182552,0
1507182562,0
1507182572,0
1507182582,0
1507182592,0
1507182602,0
1507182612,0
1507182622,0
1507182632,0
1507182642,0
1507182652,0
1507182660,0
