t,value
1507180442,-1
1507180452,4
1507180462,4
1507180472,4
1507180482,4
1507180492,4
1507180502,4
1507180512,4
1507180522,4
1507180532,4
1507180542,4
1507180552,1
1507180562,1
1507180572,1
1507180582,1
1507180592,1
1507180602,1
1507180612,1
1507180622,1
1507180632,1
1507180642,1
1507180652,1
1507180662,1
1507180672,1
1507180682,1
1507180692,1
1507180702,1
1507180712,1
1507180722,1
1507180732,1
1507180742,1
1507180752,1
1507180762,1
1507180772,1
1507180782,1
1507180792,1
1507180802,1
1507180812,1
1507180822,1
1507180832,1
1507180842,1
1507180852,1
1507180862,1
1507180872,1
1507180882,47136
1507180892,47136
1507180902,47136
1507180912,47136
1507180922,47136
1507180932,47136
1507180942,47136
1507180952,47136
1507180962,47136
1507180972,47136
1507180982,47136
1507180992,47136
1507181002,47136
1507181012,47136
1507181022,47136
1507181032,47136
1507181042,47136
1507181052,47136
1507181062,115186
1507181072,115186
1507181082,115186
1507181092,115186
1507181102,115186
1507181112,115186
1507181122,115186
1507181132,115186
1507181142,115186
1507181152,115186
1507181162,115186
1507181172,115186
1507181182,115186
1507181192,115186
1507181202,115186
1507181212,115186
1507181222,115186
1507181232,115186
1507181242,115186
1507181252,115186
1507181262,115186
1507181272,115186
1507181282,115186
1507181292,115186
1507181302,213766
1507181312,213766
1507181322,213766
1507181332,213766
1507181342,213766
1507181352,213766
1507181362,213766
1507181372,213766
1507181382,213766
1507181392,213766
1507181402,213766
1507181412,213766
1507181422,213766
1507181432,213766
1507181442,213766
1507181452,213766
1507181462,213766
1507181472,378969
1507181482,378969
1507181492,378969
1507181502,378969
1507181512,378969
1507181522,378969
1507181532,378969
1507181542,378969
1507181552,378969
1507181562,378969
1507181572,378969
1507181582,378969
1507181592,378969
1507181602,378969
1507181612,458178
1507181622,458178
1507181632,458178
1507181642,458178
1507181652,458178
1507181662,458178
1507181672,458178
1507181682,458178
1507181692,458178
1507181702,458178
1507181712,458178
1507181722,458178
1507181732,458178
1507181742,458178
1507181752,458178
1507181762,458178
1507181772,458178
1507181782,487495
1507181792,487495
1507181802,487495
1507181812,487495
1507181822,487495
1507181832,487495
1507181842,487495
1507181852,487495
1507181862,487495
1507181872,487495
1507181882,487495
1507181892,487495
1507181902,487495
1507181912,487495
1507181922,487495
1507181932,487495
1507181942,487495
1507181952,487495
1507181962,487495
1507181972,537980
1507181982,537980
1507181992,537980
1507182002,537980
1507182012,537980
1507182022,537980
1507182032,537980
1507182042,537980
1507182052,537980
1507182062,537980
1507182072,537980
1507182082,537980
1507182092,537980
1507182102,537980
1507182112,537980
1507182122,537980
1507182132,537980
1507182142,537980
1507182152,621785
1507182162,621785
1507182172,621785
1507182182,774893
1507182192,807946
1507182202,735174
1507182212,729304
1507182222,680090
1507182232,680090
1507182242,391408
1507182252,8546
1507182262,8546
1507182272,8546
1507182282,8546
1507182292,8546
1507182302,1
1507182312,1
1507182322,1
1507182332,1
1507182342,1
1507182352,1
1507182362,0
1507182372,0
1507182382,0
1507182392,0
1507182402,0
1507182412,0
1507182422,1
1507182432,1
1507182442,1
1507182452,1
1507182462,1
1507182472,1
1507182482,1
1507182492,1
1507182502,1
1507182512,1
1507182522,1
1507182532,1
1507182542,1
1507182552,1
1507182562,1
1507182572,1
1507182582,1
1507182592,1
1507182602,1
1507182612,1
1507182622,1
1507182632,1
1507182642,1
1507182652,1
