t,value
1507779783,1
1507779793,0
1507779803,0
1507779813,0
1507779823,0
1507779833,0
1507779843,0
1507779853,0
1507779863,1
1507779873,1
1507779883,1
1507779893,1
1507779903,1
1507779913,1
1507779923,0
1507779933,0
1507779943,1
1507779953,1
1507779963,1
1507779973,1
1507779983,1
1507779993,1
1507780003,1
1507780013,1
1507780023,1
1507780033,1
1507780043,1
1507780053,1
1507780063,1
1507780073,1
1507780083,1
1507780093,1
1507780103,1
1507780113,1
1507780123,1
1507780133,1
1507780143,1
1507780153,1
1507780163,1
1507780173,1
1507780183,1
1507780193,1
1507780203,1
1507780213,1
1507780223,1
1507780233,1
1507780243,1
1507780253,1
1507780263,1
1507780273,1
1507780283,1
1507780293,1
1507780303,1
1507780313,1
1507780323,1
1507780333,1
1507780343,1
1507780353,1
1507780363,1
1507780373,1
1507780383,1
1507780393,1
1507780403,1
1507780413,1
1507780423,1
1507780433,1
1507780443,1
1507780453,1
1507780463,1
1507780473,1
1507780483,1
1507780493,1
1507780503,1
1507780513,1
1507780523,1
1507780533,1
1507780543,1
1507780553,1
1507780563,1
1507780573,1
1507780583,1
1507780593,1
1507780603,1
1507780613,1
1507780623,1
1507780633,1
1507780643,1
1507780653,1
1507780663,1
1507780673,1
1507780683,1
1507780693,1
1507780703,1
1507780713,1
1507780723,1
1507780733,1
1507780743,1
1507780753,1
1507780763,1
1507780773,1
1507780783,1
1507780793,1
1507780803,1
1507780813,1
1507780823,1
1507780833,1
1507780843,1
1507780853,1
1507780863,1
1507780873,1
1507780883,1
1507780893,1
1507780903,1
1507780913,1
1507780923,1
1507780933,1
1507780943,1
1507780953,1
1507780963,1
1507780973,1
1507780983,1
1507780993,1
1507781003,1
1507781013,1
1507781023,1
1507781033,1
1507781043,1
1507781053,1
1507781063,1
1507781073,1
1507781083,1
1507781093,1
1507781103,1
1507781113,1
1507781123,1
1507781133,1
1507781143,1
1507781153,1
1507781163,1
1507781173,1
1507781183,1
1507781193,1
1507781203,1
1507781213,1
1507781223,1
1507781233,1
1507781243,1
1507781253,1
1507781263,1
