t,value
1507850263,0
1507850273,0
1507850283,0
1507850293,0
1507850303,0
1507850313,0
1507850323,0
1507850333,0
1507850343,0
1507850353,0
1507850363,0
1507850373,0
1507850383,0
1507850393,0
1507850403,0
1507850413,0
1507850423,0
1507850433,0
1507850443,0
1507850453,0
1507850463,0
1507850473,0
1507850483,0
1507850493,0
1507850503,0
1507850513,0
1507850523,0
1507850533,0
1507850543,0
1507850553,0
1507850563,0
1507850573,0
1507850583,0
1507850593,0
1507850603,0
1507850613,0
1507850623,0
1507850633,0
1507850643,0
1507850653,0
1507850663,0
1507850673,0
1507850683,0
1507850693,0
1507850703,0
1507850713,0
1507850723,0
1507850733,0
1507850743,0
1507850753,0
1507850763,0
1507850773,0
1507850783,0
1507850793,0
1507850803,0
1507850813,0
1507850823,0
1507850833,0
1507850843,0
1507850853,0
1507850863,0
1507850873,0
1507850883,0
1507850893,0
1507850903,0
1507850913,0
1507850923,0
1507850933,0
1507850943,0
1507850953,0
1507850963,0
1507850973,0
1507850983,0
1507850993,0
1507851003,0
1507851013,0
1507851023,0
1507851033,0
1507851043,0
1507851053,0
1507851063,0
1507851073,0
1507851083,0
1507851093,0
1507851103,0
1507851113,0
1507851123,0
1507851133,0
1507851143,0
1507851153,0
1507851163,0
1507851173,0
1507851183,0
1507851193,0
1507851203,0
1507851213,0
1507851223,0
1507851233,0
1507851243,0
1507851253,0
1507851263,0
1507851273,0
1507851283,0
1507851293,0
1507851303,0
1507851313,0
1507851323,0
1507851333,0
1507851343,0
1507851353,0
1507851363,0
1507851373,0
1507851383,0
1507851393,0
1507851403,0
1507851413,0
1507851423,0
1507851433,0
1507851443,0
1507851453,0
1507851463,0
1507851473,0
1507851483,0
1507851493,0
1507851503,0
1507851513,0
1507851523,0
1507851533,0
1507851543,0
1507851553,0
1507851563,0
1507851573,0
1507851583,0
1507851593,0
1507851603,0
1507851613,0
1507851623,0
1507851633,0
1507851643,0
1507851653,0
1507851663,0
1507851673,0
1507851683,0
1507851693,0
1507851703,0
1507851713,0
1507851723,0
1507851733,0
1507851743,0
1507851753,0
1507851763,0
1507851773,0
1507851783,0
1507851793,0
1507851803,0
1507851813,0
1507851823,0
1507851833,0
1507851843,0
1507851853,0
1507851863,0
1507851873,0
1507851883,0
1507851893,0
1507851903,0
1507851913,0
1507851923,0
1507851933,0
1507851943,0
1507851953,0
1507851963,0
1507851973,0
1507851983,0
1507851993,0
1507851994,0
