t,value
1507850263,-1
1507850273,-1
1507850283,-1
1507850293,2392
1507850303,2392
1507850313,2392
1507850323,2392
1507850333,2392
1507850343,2392
1507850353,2392
1507850363,2392
1507850373,2392
1507850383,2392
1507850393,2392
1507850403,2392
1507850413,2392
1507850423,2392
1507850433,2392
1507850443,2392
1507850453,2392
1507850463,2392
1507850473,2392
1507850483,2392
1507850493,2392
1507850503,2392
1507850513,2392
1507850523,2392
1507850533,2392
1507850543,2392
1507850553,171806
1507850563,171806
1507850573,171806
1507850583,171806
1507850593,171806
1507850603,171806
1507850613,171806
1507850623,171806
1507850633,171806
1507850643,171806
1507850653,171806
1507850663,171806
1507850673,171806
1507850683,171806
1507850693,171806
1507850703,171806
1507850713,171806
1507850723,171806
1507850733,171806
1507850743,171806
1507850753,171806
1507850763,171806
1507850773,171806
1507850783,171806
1507850793,171806
1507850803,171806
1507850813,257004
1507850823,257004
1507850833,257004
1507850843,257004
1507850853,257004
1507850863,257004
1507850873,257004
1507850883,257004
1507850893,257004
1507850903,257004
1507850913,257004
1507850923,257004
1507850933,257004
1507850943,257004
1507850953,257004
1507850963,257004
1507850973,257004
1507850983,257004
1507850993,257004
1507851003,257004
1507851013,257004
1507851023,257004
1507851033,257004
1507851043,257004
1507851053,257004
1507851063,257004
1507851073,257004
1507851083,257004
1507851093,257004
1507851103,257004
1507851113,257004
1507851123,257004
1507851133,257004
1507851143,257004
1507851153,257004
1507851163,257004
1507851173,257004
1507851183,369446
1507851193,369446
1507851203,369446
1507851213,369446
1507851223,369446
1507851233,369446
1507851243,369446
1507851253,369446
1507851263,369446
1507851273,369446
1507851283,369446
1507851293,369446
1507851303,369446
1507851313,369446
1507851323,369446
1507851333,369446
1507851343,369446
1507851353,369446
1507851363,369446
1507851373,369446
1507851383,369446
1507851393,369446
1507851403,369446
1507851413,369446
1507851423,369446
1507851433,369446
1507851443,369446
1507851453,369446
1507851463,369446
1507851473,369446
1507851483,369446
1507851493,369446
1507851503,369446
1507851513,369446
1507851523,336315
1507851533,336315
1507851543,336315
1507851553,336315
1507851563,336315
1507851573,336315
1507851583,336315
1507851593,336315
1507851603,336315
1507851613,336315
1507851623,336315
1507851633,336315
1507851643,336315
1507851653,336315
1507851663,336315
1507851673,336315
1507851683,336315
1507851693,336315
1507851703,336315
1507851713,336315
1507851723,336315
1507851733,336315
1507851743,336315
1507851753,336315
1507851763,336315
1507851773,336315
1507851783,336315
1507851793,336315
1507851803,284903
1507851813,284903
1507851823,284903
1507851833,284903
1507851843,284903
1507851853,284903
1507851863,284903
1507851873,284903
1507851883,284903
1507851893,284903
1507851903,284903
1507851913,284903
1507851923,284903
1507851933,284903
1507851943,284903
1507851953,284903
1507851963,284903
1507851973,284903
1507851983,284903
1507851993,284903
