t,value
1507850263,0
1507850273,0
1507850283,0
1507850293,0
1507850303,0
1507850313,0
1507850323,0
1507850333,0
1507850343,0
1507850353,0
1507850363,0
1507850373,0
1507850383,11775
1507850393,11775
1507850403,11775
1507850413,11775
1507850423,11775
1507850433,11775
1507850443,11775
1507850453,11775
1507850463,11775
1507850473,11775
1507850483,11775
1507850493,9858
1507850503,9858
1507850513,9858
1507850523,9858
1507850533,9858
1507850543,9858
1507850553,9858
1507850563,9858
1507850573,9858
1507850583,9858
1507850593,9858
1507850603,9858
1507850613,18385
1507850623,18385
1507850633,18385
1507850643,18385
1507850653,18385
1507850663,18385
1507850673,18385
1507850683,18385
1507850693,18385
1507850703,18385
1507850713,18385
1507850723,18385
1507850733,18385
1507850743,27851
1507850753,27851
1507850763,27851
1507850773,27851
1507850783,27851
1507850793,27851
1507850803,27851
1507850813,27851
1507850823,27851
1507850833,27851
1507850843,27851
1507850853,27851
1507850863,27851
1507850873,28612
1507850883,28612
1507850893,28612
1507850903,28612
1507850913,28612
1507850923,28612
1507850933,28612
1507850943,28612
1507850953,28612
1507850963,28612
1507850973,28612
1507850983,28612
1507850993,28612
1507851003,28612
1507851013,28612
1507851023,28612
1507851033,28612
1507851043,28612
1507851053,28612
1507851063,28612
1507851073,28612
1507851083,31268
1507851093,31268
1507851103,31268
1507851113,31268
1507851123,31268
1507851133,31268
1507851143,31268
1507851153,31268
1507851163,31268
1507851173,31268
1507851183,31268
1507851193,31268
1507851203,31268
1507851213,31268
1507851223,31268
1507851233,31268
1507851243,31268
1507851253,31268
1507851263,31268
1507851273,31268
1507851283,41605
1507851293,41605
1507851303,41605
1507851313,41605
1507851323,41605
1507851333,41605
1507851343,41605
1507851353,5670
1507851363,20
1507851373,20
1507851383,20
1507851393,20
1507851403,20
1507851413,20
1507851423,20
1507851433,20
1507851443,20
1507851453,20
1507851463,20
1507851473,20
1507851483,20
1507851493,20
1507851503,20
1507851513,65
1507851523,65
1507851533,65
1507851543,65
1507851553,65
1507851563,65
1507851573,65
1507851583,65
1507851593,65
1507851603,65
1507851613,65
1507851623,65
1507851633,0
1507851643,0
1507851653,0
1507851663,0
1507851673,0
1507851683,0
1507851693,0
1507851703,0
1507851713,0
1507851723,0
1507851733,0
1507851743,0
1507851753,0
1507851763,0
1507851773,0
1507851783,0
1507851793,0
1507851803,0
1507851813,0
1507851823,0
1507851833,0
1507851843,0
1507851853,0
1507851863,0
1507851873,0
1507851883,0
1507851893,0
1507851903,0
1507851913,0
1507851923,0
1507851933,0
1507851943,0
1507851953,0
1507851963,0
1507851973,0
1507851983,0
1507851993,0
