t,value
1507850263,0
1507850273,0
1507850283,1
1507850293,0
1507850303,0
1507850313,0
1507850323,0
1507850333,0
1507850343,0
1507850353,0
1507850363,0
1507850373,0
1507850383,1
1507850393,1
1507850403,1
1507850413,1
1507850423,1
1507850433,1
1507850443,1
1507850453,1
1507850463,1
1507850473,1
1507850483,1
1507850493,2
1507850503,2
1507850513,2
1507850523,2
1507850533,2
1507850543,2
1507850553,1
1507850563,1
1507850573,1
1507850583,1
1507850593,1
1507850603,1
1507850613,2
1507850623,2
1507850633,2
1507850643,2
1507850653,2
1507850663,2
1507850673,2
1507850683,2
1507850693,2
1507850703,2
1507850713,2
1507850723,2
1507850733,2
1507850743,3
1507850753,3
1507850763,3
1507850773,3
1507850783,3
1507850793,3
1507850803,3
1507850813,2
1507850823,2
1507850833,2
1507850843,2
1507850853,2
1507850863,2
1507850873,3
1507850883,3
1507850893,3
1507850903,3
1507850913,3
1507850923,3
1507850933,3
1507850943,3
1507850953,3
1507850963,3
1507850973,3
1507850983,3
1507850993,3
1507851003,3
1507851013,3
1507851023,3
1507851033,3
1507851043,3
1507851053,3
1507851063,3
1507851073,3
1507851083,4
1507851093,4
1507851103,4
1507851113,4
1507851123,4
1507851133,4
1507851143,4
1507851153,4
1507851163,4
1507851173,4
1507851183,3
1507851193,3
1507851203,3
1507851213,3
1507851223,3
1507851233,3
1507851243,3
1507851253,3
1507851263,3
1507851273,3
1507851283,4
1507851293,4
1507851303,4
1507851313,4
1507851323,4
1507851333,4
1507851343,4
1507851353,5
1507851363,15
1507851373,15
1507851383,15
1507851393,15
1507851403,15
1507851413,15
1507851423,15
1507851433,15
1507851443,15
1507851453,15
1507851463,15
1507851473,15
1507851483,15
1507851493,15
1507851503,15
1507851513,17
1507851523,16
1507851533,16
1507851543,16
1507851553,16
1507851563,16
1507851573,16
1507851583,16
1507851593,16
1507851603,16
1507851613,16
1507851623,16
1507851633,18
1507851643,18
1507851653,18
1507851663,18
1507851673,18
1507851683,18
1507851693,18
1507851703,18
1507851713,18
1507851723,18
1507851733,18
1507851743,18
1507851753,18
1507851763,18
1507851773,18
1507851783,21
1507851793,21
1507851803,20
1507851813,20
1507851823,20
1507851833,20
1507851843,20
1507851853,20
1507851863,20
1507851873,20
1507851883,20
1507851893,20
1507851903,20
1507851913,20
1507851923,22
1507851933,22
1507851943,22
1507851953,22
1507851963,22
1507851973,22
1507851983,22
1507851993,22
