Produce_batch,Num_Messages,Number_APoints/Msg,KB_Transfered,KB/sec
0,5000,0,5000,0.0,0.0
5000,10000,1,5000,309.0,4598.69117334
0,5000,2,5000,619.0,5185.25787942
5000,10000,3,5000,931.0,4671.23677275
10000,15000,4,5000,1238.0,3758.78309363
15000,20000,5,5000,1554.0,4449.10243597
20000,25000,6,5000,1865.0,4896.11863283
25000,30000,7,5000,2172.0,5064.98184062
30000,35000,8,5000,2481.0,5534.23011312
35000,40000,9,5000,2796.0,5882.49037365
40000,45000,10,5000,3108.0,6224.97613899
45000,50000,11,5000,3419.0,6589.47205282
50000,55000,12,5000,3729.0,6765.3868616
55000,60000,13,5000,4043.0,7025.94048474
60000,65000,14,5000,4354.0,7259.28124925
65000,70000,15,5000,4671.0,7393.16313863
70000,75000,16,5000,4980.0,7589.1504348
75000,80000,17,5000,5295.0,7693.05686301
80000,85000,18,5000,5605.0,7870.27887529
85000,90000,19,5000,5914.0,8039.92486035
90000,95000,20,5000,6226.0,8115.76399217
95000,100000,21,5000,6529.0,8298.67622824
0,5000,22,5000,6841.0,7025.50410428
5000,10000,23,5000,7142.0,6467.96757781
10000,15000,24,5000,7444.0,6031.20318204
15000,20000,25,5000,7743.0,5671.86268699
20000,25000,26,5000,8043.0,5690.43677933
25000,30000,27,5000,8369.0,5602.91087491
30000,35000,28,5000,8694.0,5489.86388674
35000,40000,29,5000,9007.0,5414.02870583
40000,45000,30,5000,9320.0,5344.70830593
45000,50000,31,5000,9636.0,5463.14270525
50000,55000,32,5000,9953.0,5567.27456756
55000,60000,33,5000,10261.0,5663.24455111
60000,65000,34,5000,10568.0,5769.2646675
65000,70000,35,5000,10881.0,5863.24587292
70000,75000,36,5000,11194.0,5966.36884737
75000,80000,37,5000,11498.0,6025.7288518
80000,85000,38,5000,11803.0,6110.13415807
85000,90000,39,5000,12112.0,6192.27328718
90000,95000,40,5000,12422.0,6247.92847991
95000,100000,41,5000,12723.0,6302.27433463
100000,105000,42,5000,13024.0,6377.47081551
105000,110000,43,5000,13334.0,6428.97428645
110000,115000,44,5000,13644.0,6503.60316339
115000,120000,45,5000,13944.0,6547.93339501
120000,125000,46,5000,14243.0,6618.05171786
125000,130000,47,5000,14545.0,6635.37171846
130000,135000,48,5000,14847.0,6700.8171664
135000,140000,49,5000,15161.0,6770.90012882
140000,145000,50,5000,15475.0,6839.1021302
145000,150000,51,5000,15791.0,6881.37471368
150000,155000,52,5000,16108.0,6922.31915854
155000,160000,53,5000,16426.0,6988.54176861
160000,165000,54,5000,16745.0,7053.31252899
165000,170000,55,5000,17059.0,7116.51587372
170000,175000,56,5000,17372.0,7178.50934147
175000,180000,57,5000,17692.0,7237.02516529
180000,185000,58,5000,18011.0,7271.53109663
185000,190000,59,5000,18319.0,7325.88620921
190000,195000,60,5000,18627.0,7355.37435451
195000,200000,61,5000,18930.0,7383.0992992
200000,205000,62,5000,19233.0,7411.57831656
205000,210000,63,5000,19546.0,7440.71848077
210000,215000,64,5000,19859.0,7492.08272291
215000,220000,65,5000,20172.0,7520.90535566
220000,225000,66,5000,20486.0,7529.20144043
225000,230000,67,5000,20787.0,7574.62858134
230000,235000,68,5000,21087.0,7619.21243453
235000,240000,69,5000,21418.0,7653.90267111
240000,245000,70,5000,21750.0,7709.09471951
245000,250000,71,5000,22064.0,7734.07476677
250000,255000,72,5000,22379.0,7760.37641761
255000,260000,73,5000,22694.0,7806.30843738
260000,265000,74,5000,23009.0,7851.80766384
265000,270000,75,5000,23317.0,7891.70633971
270000,275000,76,5000,23625.0,7912.4180824
275000,280000,77,5000,23927.0,7962.65030336
280000,285000,78,5000,24230.0,7979.98407269
285000,290000,79,5000,24543.0,7999.24430282
290000,295000,80,5000,24857.0,8018.33307528
295000,300000,81,5000,25175.0,8059.24221681
300000,305000,82,5000,25494.0,8077.87257762
305000,310000,83,5000,25792.0,8090.77028326
310000,315000,84,5000,26091.0,8105.26212728
315000,320000,85,5000,26393.0,8120.34107346
320000,325000,86,5000,26695.0,8150.79174323
325000,330000,87,5000,27018.0,8168.66301442
330000,335000,88,5000,27340.0,8206.74544042
335000,340000,89,5000,27650.0,8221.52053656
340000,345000,90,5000,27961.0,8264.04527304
345000,350000,91,5000,28264.0,8276.72116087
350000,355000,92,5000,28567.0,8288.37400388
355000,360000,93,5000,28883.0,8322.63606059
360000,365000,94,5000,29199.0,8366.66023783
365000,370000,95,5000,29509.0,8398.03084731
370000,375000,96,5000,29820.0,8429.43677701
375000,380000,97,5000,30135.0,8443.81178372
380000,385000,98,5000,30451.0,8458.76146923
385000,390000,99,5000,30775.0,8492.07527964
390000,395000,100,5000,31100.0,8525.89018405
395000,400000,101,5000,31400.0,8566.37835666
400000,405000,102,5000,31700.0,8593.11491847
405000,410000,103,5000,32013.0,8603.61258212
410000,415000,104,5000,32326.0,8592.06445011
415000,420000,105,5000,32628.0,8601.27307973
420000,425000,106,5000,32929.0,8636.41966172
425000,430000,107,5000,33232.0,8662.61965142
430000,435000,108,5000,33534.0,8688.00825736
435000,440000,109,5000,33845.0,8696.42096111
440000,445000,110,5000,34156.0,8722.88533087
445000,450000,111,5000,34459.0,8729.15208568
450000,455000,112,5000,34762.0,8735.73602358
455000,460000,113,5000,35067.0,8760.07912142
460000,465000,114,5000,35372.0,8783.86920097
465000,470000,115,5000,35676.0,8820.57590072
470000,475000,116,5000,35980.0,8853.20957661
475000,480000,117,5000,36290.0,8859.93248208
480000,485000,118,5000,36600.0,8831.88260082
485000,490000,119,5000,36914.0,8805.91545252
490000,495000,120,5000,37228.0,8780.47897469
495000,500000,121,5000,37546.0,8690.70070057
500000,505000,122,5000,37863.0,8604.45872016
505000,510000,123,5000,38170.0,8565.32522287
510000,515000,124,5000,38477.0,8542.29154418
515000,520000,125,5000,38786.0,8573.13440674
520000,525000,126,5000,39095.0,8595.62729072
525000,530000,127,5000,39396.0,8602.72716261
530000,535000,128,5000,39698.0,8632.33076261
535000,540000,129,5000,40009.0,8641.1933049
540000,545000,130,5000,40319.0,8664.70430362
545000,550000,131,5000,40624.0,8671.24481708
550000,555000,132,5000,40929.0,8697.93653654
555000,560000,133,5000,41234.0,8704.01311571
560000,565000,134,5000,41539.0,8724.9632192
565000,570000,135,5000,41843.0,8745.25114179
570000,575000,136,5000,42147.0,8765.67620607
575000,580000,137,5000,42459.0,8787.25582287
580000,585000,138,5000,42771.0,8816.57260977
585000,590000,139,5000,43089.0,8838.73853955
590000,595000,140,5000,43407.0,8867.72155528
595000,600000,141,5000,43720.0,8889.07900692
600000,605000,142,5000,44033.0,8903.25036559
605000,610000,143,5000,44344.0,8922.61602554
610000,615000,144,5000,44654.0,8942.30689573
615000,620000,145,5000,44979.0,8949.8072144
620000,625000,146,5000,45304.0,8971.60424719
625000,630000,147,5000,45599.0,8995.1221457
630000,635000,148,5000,45895.0,9012.86965368
635000,640000,149,5000,46201.0,9037.22957206
640000,645000,150,5000,46507.0,9040.89579132
645000,650000,151,5000,46820.0,9059.38565656
650000,655000,152,5000,47132.0,9065.32991587
655000,660000,153,5000,47450.0,9059.57439971
660000,665000,154,5000,47767.0,9050.26503874
665000,670000,155,5000,48078.0,9060.92982203
670000,675000,156,5000,48388.0,9078.09035043
675000,680000,157,5000,48702.0,9095.7821864
680000,685000,158,5000,49016.0,9099.12096142
685000,690000,159,5000,49317.0,9120.6489622
690000,695000,160,5000,49617.0,9136.69239034
695000,700000,161,5000,49926.0,9144.92754052
700000,705000,162,5000,50234.0,9167.34906424
705000,710000,163,5000,50534.0,9168.53115071
710000,715000,164,5000,50834.0,9184.03338439
715000,720000,165,5000,51151.0,9199.8979553
720000,725000,166,5000,51467.0,9214.32872717
725000,730000,167,5000,51783.0,9231.73379933
730000,735000,168,5000,52099.0,9254.52094118
735000,740000,169,5000,52401.0,9269.34566627
740000,745000,170,5000,52703.0,9293.61451381
745000,750000,171,5000,53027.0,9310.84308301
750000,755000,172,5000,53351.0,9315.14457994
755000,760000,173,5000,53666.0,9291.22604283
760000,765000,174,5000,53980.0,9312.82802861
765000,770000,175,5000,54282.0,9325.83003817
770000,775000,176,5000,54584.0,9326.54878893
775000,780000,177,5000,54906.0,9343.28189832
780000,785000,178,5000,55228.0,9358.95551605
785000,790000,179,5000,55546.0,9374.26544953
790000,795000,180,5000,55865.0,9378.14808358
795000,800000,181,5000,56173.0,9378.94423419
800000,805000,182,5000,56481.0,9373.12555475
805000,810000,183,5000,56796.0,9376.53996975
810000,815000,184,5000,57111.0,9381.42202401
815000,820000,185,5000,57416.0,9373.5942134
820000,825000,186,5000,57721.0,9359.34967573
825000,830000,187,5000,58033.0,9361.45682653
830000,835000,188,5000,58345.0,9364.36755582
835000,840000,189,5000,58664.0,9379.9939225
