t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1508428304,16,10.072862,0.633447,0.001445,2.437247,0.004363,0.005504,10.072862,10.072862,10.072862,10.072862,1.537764,2.944142,3.147109,3.182272,calls/second,milliseconds
1508428314,16,10.072862,0.633447,0.001445,2.437247,0.004363,0.005504,10.072862,10.072862,10.072862,10.072862,0.786178,2.492163,3.043934,3.147109,calls/second,milliseconds
1508428324,68,93.894992,1.672474,0.001445,11.746638,0.008134,0.011302,0.800477,10.072862,93.894992,93.894992,2.237844,2.893135,3.106122,3.166628,calls/second,milliseconds
1508428334,602,93.894992,0.438607,0.001445,3.860779,0.106859,0.259200,0.482232,2.741782,7.369118,93.894992,14.918650,10.349619,4.750116,3.723354,calls/second,milliseconds
1508428344,602,93.894992,0.438607,0.001445,3.860779,0.106859,0.259200,0.482232,2.741782,7.369118,93.894992,11.956675,8.760763,4.594389,3.682212,calls/second,milliseconds
1508428354,602,93.894992,0.438607,0.001445,3.860779,0.106859,0.259200,0.482232,2.741782,7.369118,93.894992,9.975425,7.415826,4.443767,3.641525,calls/second,milliseconds
1508428364,602,93.894992,0.438607,0.001445,3.860779,0.106859,0.259200,0.482232,2.741782,7.369118,93.894992,8.557665,6.277361,4.298083,3.601288,calls/second,milliseconds
1508428374,602,93.894992,0.438607,0.001445,3.860779,0.106859,0.259200,0.482232,2.741782,7.369118,93.894992,7.492451,5.313671,4.157175,3.561495,calls/second,milliseconds
1508428384,651,93.894992,0.388636,0.001445,3.563232,0.012462,0.244492,0.435573,2.741782,6.872404,93.894992,7.205629,5.281490,4.182866,3.576435,calls/second,milliseconds
1508428394,685,93.894992,0.382769,0.001445,3.355742,0.024334,0.288919,0.420150,1.061908,6.146589,93.894992,6.826336,5.010547,4.157966,3.574572,calls/second,milliseconds
1508428404,850,93.894992,0.325811,0.001445,2.680175,0.012463,0.284829,0.424816,3.531814,5.433037,20.287689,7.702947,6.790371,4.563269,3.717469,calls/second,milliseconds
1508428414,877,93.894992,0.325067,0.001445,2.584097,0.042581,0.300599,0.435573,2.007064,5.289698,20.287689,7.287372,6.095893,4.486229,3.700751,calls/second,milliseconds
1508428424,947,93.894992,0.296198,0.001445,2.371945,0.011716,0.276374,0.429449,1.568169,5.433037,20.287689,7.265169,6.328710,4.585769,3.742814,calls/second,milliseconds
1508428434,960,93.894992,0.297076,0.001445,2.328215,0.014634,0.288919,0.429449,1.568169,5.433037,20.287689,6.840288,5.547752,4.475044,3.714748,calls/second,milliseconds
1508428444,1140,93.894992,0.240356,0.001445,1.897522,0.011068,0.269311,0.396160,0.550811,5.289698,9.001260,7.582519,7.550827,4.924974,3.874064,calls/second,milliseconds
1508428454,1181,93.894992,0.247446,0.001445,1.820024,0.130845,0.293596,0.380800,0.527248,4.755133,9.001260,7.365299,7.043437,4.898884,3.876668,calls/second,milliseconds
1508428464,1340,9.001260,0.209122,0.000896,0.635231,0.010094,0.273663,0.366809,0.542489,4.630001,5.985446,7.866504,8.302713,5.255255,4.009039,calls/second,milliseconds
1508428474,1381,9.001260,0.215608,0.000896,0.610707,0.140822,0.281979,0.362976,0.526878,4.630001,5.985446,7.657496,7.630643,5.208365,4.006822,calls/second,milliseconds
1508428484,1437,9.001260,0.208672,0.000457,0.660326,0.009121,0.270977,0.356968,0.507563,4.630001,7.201530,7.549346,7.328518,5.229483,4.027566,calls/second,milliseconds
