t,value
1510119662,-1
1510119672,2411
1510119682,2411
1510119692,2411
1510119702,2411
1510119712,2411
1510119722,2411
1510119732,2411
1510119742,2411
1510119752,2411
1510119762,28506
1510119772,28506
1510119782,28506
1510119792,28506
1510119802,28506
1510119812,28506
1510119822,28506
1510119832,28506
1510119842,28506
1510119852,28506
1510119862,28506
1510119872,28506
1510119882,76484
1510119892,76484
1510119902,76484
1510119912,76484
1510119922,76484
1510119932,76484
1510119942,76484
1510119952,76484
1510119962,76484
1510119972,76484
1510119982,76484
1510119992,100914
1510120002,100914
1510120012,100914
1510120022,100914
1510120032,100914
1510120042,100914
1510120052,100914
1510120062,100914
1510120072,100914
1510120082,100914
1510120092,100914
1510120102,100914
1510120112,113330
1510120122,113330
1510120132,113330
1510120142,113330
1510120152,113330
1510120162,113330
1510120172,113330
1510120182,113330
1510120192,113330
1510120202,113330
1510120212,113330
1510120222,111551
1510120232,111551
1510120242,111551
1510120252,111551
1510120262,111551
1510120272,111551
1510120282,111551
1510120292,111551
1510120302,111551
1510120312,90960
1510120322,90960
1510120332,90960
1510120342,90960
1510120352,90960
1510120362,90960
1510120372,90960
1510120382,90960
1510120392,90960
1510120402,90960
1510120412,90960
1510120422,90960
1510120432,122959
1510120442,122959
1510120452,122959
1510120462,122959
1510120472,122959
1510120482,122959
1510120492,122959
1510120502,122959
1510120512,122959
1510120522,91522
1510120532,91522
1510120542,91522
1510120552,91522
1510120562,91522
1510120572,91522
1510120582,91522
1510120592,91522
1510120602,91522
1510120612,83991
1510120622,83991
1510120632,83991
1510120642,83991
1510120652,83991
1510120662,83991
1510120672,83991
1510120682,74787
1510120692,74787
1510120702,74787
1510120712,74787
1510120722,74787
1510120732,74787
1510120742,74787
1510120752,74787
1510120762,74787
1510120772,87516
1510120782,87516
1510120792,87516
1510120802,87516
1510120812,87516
1510120822,87516
1510120832,87516
1510120842,87516
1510120852,81115
1510120862,81115
1510120872,81115
1510120882,29427
1510120892,8569
1510120902,8678
1510120912,1320
1510120922,1362
1510120932,1362
1510120942,1362
1510120952,1362
1510120962,1362
1510120972,1362
1510120982,1311
1510120992,1311
1510121002,1311
1510121012,1311
1510121022,1311
1510121032,1311
1510121042,1290
1510121052,1290
1510121062,1290
1510121072,1290
1510121082,1290
1510121092,1290
1510121102,1275
1510121112,1275
1510121122,1275
1510121132,1275
1510121142,1275
1510121152,1275
1510121162,1298
1510121172,1298
1510121182,1298
1510121192,1298
1510121202,1298
1510121212,1298
1510121222,1312
1510121232,1312
1510121242,1312
1510121252,1312
1510121262,1312
1510121272,1312
1510121282,1287
1510121292,1287
1510121302,1287
1510121312,1287
1510121322,1287
1510121332,1287
1510121342,1281
1510121352,1281
1510121362,1281
1510121372,1281
1510121382,1281
1510121392,1281
1510121402,1270
1510121412,1270
1510121422,1270
1510121432,1270
1510121442,1270
1510121452,1270
1510121462,1296
1510121472,1296
1510121482,1296
1510121492,1296
1510121502,1296
1510121512,1296
1510121522,1286
1510121532,1286
1510121542,1286
1510121552,1286
1510121562,1286
1510121572,1286
1510121582,1294
1510121592,1294
1510121602,1294
1510121612,1294
1510121622,1294
1510121632,1294
1510121642,1269
1510121652,1269
1510121662,1269
1510121672,1269
1510121682,1269
1510121692,1269
1510121702,1291
1510121712,1291
1510121722,1291
1510121732,1291
1510121742,1291
1510121752,1291
1510121762,1301
1510121772,1301
1510121782,1301
1510121792,1301
1510121802,1301
1510121812,1301
1510121822,1293
1510121832,1293
1510121842,1293
1510121852,1293
1510121862,1293
1510121872,1293
1510121882,1295
1510121892,1295
1510121902,1295
1510121912,1295
1510121922,1295
1510121932,1295
1510121942,1296
1510121952,1296
1510121962,1296
1510121972,1296
1510121982,1296
1510121992,1296
1510122002,1289
1510122012,1289
1510122022,1289
1510122032,1289
1510122042,1289
1510122052,1289
1510122062,1278
1510122072,1278
1510122082,1278
1510122092,1278
1510122102,1278
1510122112,1278
1510122122,1283
