t,value
1509121565,1831
1509121575,1831
1509121585,1831
1509121595,1831
1509121605,1831
1509121615,1831
1509121625,1831
1509121635,1831
1509121645,1831
1509121655,1831
1509121665,1831
1509121675,1831
1509121685,1831
1509121695,1831
1509121705,1831
1509121715,1831
1509121725,1831
1509121735,1831
1509121745,1831
1509121755,1831
1509121765,1831
1509121775,1831
1509121785,1831
1509121795,1831
1509121805,1831
1509121815,1831
1509121825,1831
1509121835,1831
1509121845,1831
1509121855,1831
1509121865,1831
1509121875,1831
1509121885,1831
1509121895,1831
1509121905,1831
1509121915,1831
1509121925,1831
1509121935,1831
1509121945,1831
1509121955,1831
1509121965,1831
1509121975,1831
1509121985,1831
1509121995,1831
1509122005,1831
1509122015,1831
1509122025,1831
1509122035,1831
1509122045,1831
1509122055,1831
1509122065,1831
1509122075,1831
1509122085,1831
1509122095,1831
1509122105,1831
1509122115,1831
1509122125,1831
1509122135,1831
1509122145,1831
1509122155,1831
1509122165,1831
1509122175,1831
1509122185,1831
1509122195,1831
1509122205,1831
1509122215,1831
1509122225,1831
1509122235,1831
1509122245,1831
1509122255,1831
1509122265,1831
1509122275,1831
1509122285,1831
1509122295,1831
1509122305,1831
1509122315,1831
1509122325,1831
1509122335,1831
1509122345,1831
1509122355,1831
1509122365,1831
1509122375,1831
1509122385,1831
1509122395,1831
1509122405,1831
1509122415,1831
1509122425,1831
1509122435,1831
1509122445,1831
1509122455,1831
1509122465,1831
1509122475,1831
1509122485,1831
1509122495,1831
1509122505,1831
1509122515,1831
1509122525,1831
1509122535,1831
1509122545,1831
1509122555,1831
1509122565,1831
1509122575,1831
1509122585,1831
1509122595,1831
1509122605,1831
1509122615,1831
1509122625,1831
1509122635,1831
1509122645,1831
1509122655,1831
1509122665,1831
1509122675,1831
1509122685,1831
1509122695,1831
1509122705,1831
1509122715,1831
1509122725,1831
1509122735,1831
1509122745,1831
1509122755,1831
1509122765,1831
1509122775,1831
1509122785,1831
1509122795,1831
1509122805,1831
1509122815,1831
1509122825,1831
1509122835,1831
1509122845,1831
1509122855,1831
1509122865,1831
1509122875,1831
1509122885,1831
1509122895,1831
1509122905,1831
1509122915,1831
1509122925,1831
1509122935,1831
1509122945,1831
1509122955,1831
1509122965,1831
1509122975,1831
1509122985,1831
1509122995,1831
1509123005,1831
1509123015,1831
1509123025,1831
1509123035,1831
1509123045,1831
1509123055,1831
1509123065,1831
1509123075,1831
1509123085,1831
1509123095,1831
1509123105,1831
1509123115,1831
1509123125,1831
1509123135,1831
1509123145,1831
1509123155,1831
1509123165,1831
1509123175,1831
1509123185,1831
1509123195,1831
1509123205,1831
1509123215,1831
1509123225,1831
1509123235,1831
1509123245,1831
1509123255,1831
1509123265,1831
1509123275,1831
1509123285,1831
1509123295,1831
1509123305,1831
1509123315,1831
1509123325,1831
1509123335,1831
1509123345,1831
1509123355,1831
1509123365,1831
1509123375,1831
1509123385,1831
1509123395,1831
1509123405,1831
1509123415,1831
1509123425,1831
1509123435,1831
1509123445,1831
1509123455,1831
1509123465,1831
1509123475,1831
1509123485,1831
1509123495,1831
1509123505,1831
1509123515,1831
1509123525,1831
1509123535,1831
1509123545,1831
1509123555,1831
1509123565,1831
1509123575,1831
1509123585,1831
1509123595,1831
1509123605,1831
1509123615,1831
1509123625,1831
1509123635,1831
1509123645,1831
1509123655,1831
1509123665,1831
1509123675,1831
