Produce_batch,Num_Messages,Number_APoints/Msg,KB_Transfered,KB/sec
0,5000,0,5000,0.0,0.0
5000,10000,1,5000,310.0,3725.78102658
0,5000,2,5000,621.0,3407.76362104
5000,10000,3,5000,933.0,4606.09263067
10000,15000,4,5000,1247.0,5605.68155321
15000,20000,5,5000,1557.0,6325.95010171
20000,25000,6,5000,1872.0,6933.28484463
25000,30000,7,5000,2182.0,7526.91739034
30000,35000,8,5000,2495.0,8030.92754675
35000,40000,9,5000,2808.0,8302.29137098
40000,45000,10,5000,3119.0,8694.02788967
45000,50000,11,5000,3430.0,9055.75012825
50000,55000,12,5000,3744.0,9285.44180114
55000,60000,13,5000,4057.0,9308.91225997
60000,65000,14,5000,4363.0,9479.36260097
65000,70000,15,5000,4672.0,9475.96253095
70000,75000,16,5000,4989.0,9205.66269045
75000,80000,17,5000,5300.0,8969.29360665
80000,85000,18,5000,5609.0,9181.76231785
85000,90000,19,5000,5919.0,9318.56243145
90000,95000,20,5000,6224.0,9503.08954445
95000,100000,21,5000,6531.0,9616.39031459
0,5000,22,5000,6844.0,7856.29252547
5000,10000,23,5000,7151.0,7135.06040288
10000,15000,24,5000,7459.0,6872.42515337
15000,20000,25,5000,7777.0,6955.58118828
20000,25000,26,5000,8094.0,7082.13370372
25000,30000,27,5000,8412.0,7208.23324265
30000,35000,28,5000,8730.0,7226.31378458
35000,40000,29,5000,9032.0,7331.59238905
40000,45000,30,5000,9334.0,7431.8246688
45000,50000,31,5000,9653.0,7537.0908527
50000,55000,32,5000,9972.0,7590.82121581
55000,60000,33,5000,10289.0,7690.75615645
60000,65000,34,5000,10605.0,7788.87150425
65000,70000,35,5000,10915.0,7900.7983079
70000,75000,36,5000,11224.0,8002.77227402
75000,80000,37,5000,11538.0,8043.25417238
80000,85000,38,5000,11851.0,8145.71168918
85000,90000,39,5000,12175.0,8183.97698227
90000,95000,40,5000,12499.0,8285.19256971
95000,100000,41,5000,12813.0,8359.46307419
100000,105000,42,5000,13127.0,8453.30440284
105000,110000,43,5000,13444.0,8544.01579215
110000,115000,44,5000,13760.0,8567.44469105
115000,120000,45,5000,14067.0,8629.66944517
120000,125000,46,5000,14374.0,8690.34319698
125000,130000,47,5000,14680.0,8710.09351707
130000,135000,48,5000,14986.0,8783.43101958
135000,140000,49,5000,15291.0,8799.05204226
140000,145000,50,5000,15596.0,8850.60791731
145000,150000,51,5000,15902.0,8861.13696058
150000,155000,52,5000,16209.0,8871.21316091
155000,160000,53,5000,16517.0,8880.22754772
160000,165000,54,5000,16825.0,8948.3066299
165000,170000,55,5000,17140.0,9001.15046856
170000,175000,56,5000,17455.0,9053.57898289
175000,180000,57,5000,17772.0,9105.27824079
180000,185000,58,5000,18088.0,9174.87023472
185000,190000,59,5000,18404.0,9189.47548185
190000,195000,60,5000,18719.0,9238.52245349
195000,200000,61,5000,19018.0,9243.5396692
200000,205000,62,5000,19318.0,9284.13963432
205000,210000,63,5000,19628.0,9325.750945
210000,215000,64,5000,19937.0,9383.99910135
215000,220000,65,5000,20238.0,9420.63435018
220000,225000,66,5000,20539.0,9426.78844026
225000,230000,67,5000,20845.0,9461.8050056
230000,235000,68,5000,21150.0,9496.97961045
235000,240000,69,5000,21454.0,9530.31221732
240000,245000,70,5000,21758.0,9581.56125759
245000,250000,71,5000,22069.0,9619.66437794
250000,255000,72,5000,22381.0,9622.93850877
255000,260000,73,5000,22685.0,9654.461301
260000,265000,74,5000,22989.0,9702.27658216
265000,270000,75,5000,23305.0,9738.36988434
270000,275000,76,5000,23620.0,9788.86009205
275000,280000,77,5000,23927.0,9835.33588286
280000,285000,78,5000,24233.0,9880.87399866
285000,290000,79,5000,24528.0,9923.9040977
290000,295000,80,5000,24824.0,9918.574485
295000,300000,81,5000,25142.0,9966.07301428
300000,305000,82,5000,25461.0,9997.51484529
305000,310000,83,5000,25768.0,10039.5777565
310000,315000,84,5000,26075.0,10064.5059077
315000,320000,85,5000,26393.0,10069.237024
320000,325000,86,5000,26710.0,10098.589129
325000,330000,87,5000,27025.0,10094.6569443
330000,335000,88,5000,27341.0,10119.2994935
335000,340000,89,5000,27654.0,10144.9402304
340000,345000,90,5000,27967.0,10185.9532721
345000,350000,91,5000,28279.0,10209.3610186
350000,355000,92,5000,28591.0,10232.7795693
355000,360000,93,5000,28890.0,10253.6838899
360000,365000,94,5000,29189.0,10274.9844761
365000,370000,95,5000,29501.0,10268.0141277
370000,375000,96,5000,29813.0,10304.8598157
375000,380000,97,5000,30118.0,10325.0376487
380000,385000,98,5000,30423.0,10344.6587593
385000,390000,99,5000,30737.0,10368.4958438
390000,395000,100,5000,31051.0,10363.3322698
395000,400000,101,5000,31368.0,10359.1152912
400000,405000,102,5000,31685.0,10378.330279
405000,410000,103,5000,31989.0,10395.6652098
410000,415000,104,5000,32294.0,10396.6836267
415000,420000,105,5000,32601.0,10414.4503567
420000,425000,106,5000,32908.0,10446.0192264
425000,430000,107,5000,33219.0,10464.3487058
430000,435000,108,5000,33531.0,10483.2666639
435000,440000,109,5000,33850.0,10516.4791482
440000,445000,110,5000,34169.0,10548.8884707
445000,450000,111,5000,34468.0,10565.0499829
450000,455000,112,5000,34767.0,10554.6000236
455000,460000,113,5000,35067.0,10584.177579
460000,465000,114,5000,35366.0,10599.2033338
465000,470000,115,5000,35686.0,10630.6195436
470000,475000,116,5000,36005.0,10650.53341
475000,480000,117,5000,36320.0,10643.3360258
480000,485000,118,5000,36634.0,10678.7419547
485000,490000,119,5000,36954.0,10695.5864278
490000,495000,120,5000,37273.0,10638.3134665
495000,500000,121,5000,37575.0,10627.4960081
500000,505000,122,5000,37876.0,10653.3907205
505000,510000,123,5000,38184.0,10647.019092
510000,515000,124,5000,38491.0,10660.9506816
515000,520000,125,5000,38814.0,10691.7702264
520000,525000,126,5000,39137.0,10709.7432368
525000,530000,127,5000,39437.0,10699.9620511
530000,535000,128,5000,39737.0,10724.2957632
535000,540000,129,5000,40057.0,10740.4409326
540000,545000,130,5000,40376.0,10756.6011793
545000,550000,131,5000,40685.0,10747.6319906
550000,555000,132,5000,40995.0,10739.3113557
555000,560000,133,5000,41310.0,10729.7840156
560000,565000,134,5000,41625.0,10744.3728602
565000,570000,135,5000,41938.0,10758.2578099
570000,575000,136,5000,42252.0,10782.747469
575000,580000,137,5000,42562.0,10810.3878551
580000,585000,138,5000,42872.0,10822.8956482
585000,590000,139,5000,43170.0,10812.1539318
590000,595000,140,5000,43468.0,10833.8054718
595000,600000,141,5000,43780.0,10847.5376453
600000,605000,142,5000,44092.0,10842.6060966
605000,610000,143,5000,44395.0,10864.3201954
610000,615000,144,5000,44697.0,10875.2540473
615000,620000,145,5000,45021.0,10890.5080377
620000,625000,146,5000,45345.0,10887.3955289
625000,630000,147,5000,45664.0,10860.2050732
630000,635000,148,5000,45983.0,10844.5995519
635000,640000,149,5000,46293.0,10866.0877412
640000,645000,150,5000,46603.0,10876.3692235
645000,650000,151,5000,46909.0,10901.1071965
650000,655000,152,5000,47215.0,10921.4775695
655000,660000,153,5000,47526.0,10932.6024641
660000,665000,154,5000,47836.0,10923.3445804
665000,670000,155,5000,48139.0,10913.5121372
670000,675000,156,5000,48441.0,10924.4725982
675000,680000,157,5000,48756.0,10937.4251158
680000,685000,158,5000,49071.0,10960.7883629
685000,690000,159,5000,49375.0,10950.8049216
690000,695000,160,5000,49679.0,10901.0562536
695000,700000,161,5000,49994.0,10763.1378207
700000,705000,162,5000,50308.0,10718.452451
705000,710000,163,5000,50616.0,10602.332029
710000,715000,164,5000,50924.0,10558.8471106
715000,720000,165,5000,51244.0,10520.7252332
720000,725000,166,5000,51563.0,10483.0824561
