t,value
1509076394,0
1509076404,0
1509076414,0
1509076424,0
1509076434,0
1509076444,1
1509076454,5
1509076464,5
1509076474,5
1509076484,5
1509076494,5
1509076504,6
1509076514,9
1509076524,10
1509076534,10
1509076544,10
1509076554,10
1509076564,11
1509076574,14
1509076584,15
1509076594,15
1509076604,15
1509076614,15
1509076624,16
1509076634,19
1509076644,20
1509076654,20
1509076664,20
1509076674,20
1509076684,21
1509076694,24
1509076704,25
1509076714,25
1509076724,25
1509076734,25
1509076744,26
1509076754,29
1509076764,30
1509076774,30
1509076784,30
1509076794,30
1509076804,31
1509076814,34
1509076824,35
1509076834,35
1509076844,35
1509076854,35
1509076864,36
1509076874,39
1509076884,40
1509076894,40
1509076904,40
1509076914,40
1509076924,41
1509076934,44
1509076944,45
1509076954,45
1509076964,45
1509076974,45
1509076984,46
1509076994,49
1509077004,50
1509077014,50
1509077024,50
1509077034,50
1509077044,51
1509077054,54
1509077064,55
1509077074,55
1509077084,55
1509077094,55
1509077104,56
1509077114,59
1509077124,60
1509077134,60
1509077144,60
1509077154,60
1509077164,64
1509077174,65
1509077184,65
1509077194,65
1509077204,65
1509077214,65
1509077224,70
1509077234,70
1509077244,70
1509077254,70
1509077264,70
1509077274,70
1509077284,75
1509077294,75
1509077304,75
1509077314,75
1509077324,75
1509077334,75
1509077344,80
1509077354,80
1509077364,80
1509077374,80
1509077384,80
1509077394,80
1509077404,85
1509077414,85
1509077424,85
1509077434,85
1509077444,85
1509077454,85
1509077464,94
1509077474,94
1509077484,94
1509077494,94
1509077504,94
1509077514,94
1509077524,103
1509077534,103
1509077544,103
1509077554,103
1509077564,103
1509077574,103
1509077584,112
1509077594,112
1509077604,112
1509077614,112
1509077624,112
1509077634,112
1509077644,121
1509077654,121
1509077664,121
1509077674,121
1509077684,121
1509077694,121
1509077704,130
1509077714,130
1509077724,130
1509077734,130
1509077744,130
1509077754,130
1509077764,139
1509077774,139
1509077784,139
1509077794,139
1509077804,139
1509077814,139
1509077824,148
1509077834,148
1509077844,148
1509077854,148
1509077864,148
1509077874,148
1509077884,157
1509077894,157
1509077904,157
1509077914,157
1509077924,157
1509077934,157
1509077944,166
1509077954,166
1509077964,166
1509077974,166
1509077984,166
1509077994,166
1509078004,175
1509078014,175
1509078024,175
1509078034,175
1509078044,175
1509078054,175
1509078064,184
1509078074,184
1509078084,184
1509078094,184
1509078104,184
1509078114,184
1509078124,193
1509078134,193
1509078144,193
1509078154,193
1509078164,193
1509078174,193
1509078184,202
1509078194,202
1509078204,202
1509078214,202
1509078224,202
1509078234,202
1509078244,211
1509078254,211
1509078264,211
1509078274,211
1509078284,211
1509078294,211
1509078304,220
1509078314,220
1509078324,220
1509078334,220
1509078344,220
1509078354,220
1509078364,229
1509078374,229
1509078384,229
1509078394,229
1509078404,229
1509078414,229
1509078424,238
1509078434,238
1509078444,238
1509078454,238
1509078464,238
1509078474,238
1509078484,247
1509078494,247
1509078504,247
1509078514,247
1509078524,247
1509078534,247
1509078544,256
1509078554,256
1509078564,256
1509078574,256
1509078584,256
1509078594,256
1509078604,265
1509078614,265
1509078624,265
1509078634,265
1509078644,265
1509078654,265
1509078664,274
1509078674,274
1509078684,274
1509078694,274
1509078704,274
