t,value
1509076394,-1
1509076404,-1
1509076414,-1
1509076424,-1
1509076434,-1
1509076444,-1
1509076454,-1
1509076464,1509076447731
1509076474,1509076447731
1509076484,1509076447731
1509076494,1509076447731
1509076504,1509076447731
1509076514,1509076447731
1509076524,1509076447731
1509076534,1509076447731
1509076544,1509076509720
1509076554,1509076509720
1509076564,1509076509720
1509076574,1509076509720
1509076584,1509076509720
1509076594,1509076566650
1509076604,1509076566650
1509076614,1509076566650
1509076624,1509076566650
1509076634,1509076566650
1509076644,1509076566650
1509076654,1509076628111
1509076664,1509076628111
1509076674,1509076628111
1509076684,1509076628111
1509076694,1509076628111
1509076704,1509076628111
1509076714,1509076687670
1509076724,1509076687670
1509076734,1509076687670
1509076744,1509076687670
1509076754,1509076687670
1509076764,1509076687670
1509076774,1509076747720
1509076784,1509076747720
1509076794,1509076747720
1509076804,1509076747720
1509076814,1509076747720
1509076824,1509076747720
1509076834,1509076807313
1509076844,1509076807313
1509076854,1509076807313
1509076864,1509076807313
1509076874,1509076807313
1509076884,1509076807313
1509076894,1509076868196
1509076904,1509076868196
1509076914,1509076868196
1509076924,1509076868196
1509076934,1509076868196
1509076944,1509076868196
1509076954,1509076868196
1509076964,1509076928703
1509076974,1509076928703
1509076984,1509076928703
1509076994,1509076928703
1509077004,1509076928703
1509077014,1509076988249
1509077024,1509076988249
1509077034,1509076988249
1509077044,1509076988249
1509077054,1509076988249
1509077064,1509076988249
1509077074,1509077047963
1509077084,1509077047963
1509077094,1509077047963
1509077104,1509077047963
1509077114,1509077047963
1509077124,1509077047963
1509077134,1509077107465
1509077144,1509077107465
1509077154,1509077107465
1509077164,1509077107465
1509077174,1509077162334
1509077184,1509077162334
1509077194,1509077162334
1509077204,1509077162334
1509077214,1509077162334
1509077224,1509077162334
1509077234,1509077221792
1509077244,1509077221792
1509077254,1509077221792
1509077264,1509077221792
1509077274,1509077221792
1509077284,1509077281038
1509077294,1509077281038
1509077304,1509077281038
1509077314,1509077281038
1509077324,1509077281038
1509077334,1509077281038
1509077344,1509077281038
1509077354,1509077341290
1509077364,1509077341290
1509077374,1509077341290
1509077384,1509077341290
1509077394,1509077341290
1509077404,1509077400661
1509077414,1509077400661
1509077424,1509077400661
1509077434,1509077400661
1509077444,1509077400661
1509077454,1509077400661
1509077464,1509077460217
1509077474,1509077460217
1509077484,1509077460217
1509077494,1509077460217
1509077504,1509077460217
1509077514,1509077460217
1509077524,1509077520226
1509077534,1509077520226
1509077544,1509077520226
1509077554,1509077520226
1509077564,1509077520226
1509077574,1509077520226
1509077584,1509077580220
1509077594,1509077580220
1509077604,1509077580220
1509077614,1509077580220
1509077624,1509077580220
1509077634,1509077580220
1509077644,1509077640256
1509077654,1509077640256
1509077664,1509077640256
1509077674,1509077640256
1509077684,1509077640256
1509077694,1509077640256
1509077704,1509077700222
1509077714,1509077700222
1509077724,1509077700222
1509077734,1509077700222
1509077744,1509077700222
1509077754,1509077700222
1509077764,1509077760227
1509077774,1509077760227
1509077784,1509077760227
1509077794,1509077760227
1509077804,1509077760227
1509077814,1509077760227
1509077824,1509077820205
1509077834,1509077820205
1509077844,1509077820205
1509077854,1509077820205
1509077864,1509077820205
1509077874,1509077820205
1509077884,1509077880213
1509077894,1509077880213
1509077904,1509077880213
1509077914,1509077880213
1509077924,1509077880213
1509077934,1509077880213
1509077944,1509077940212
1509077954,1509077940212
1509077964,1509077940212
1509077974,1509077940212
1509077984,1509077940212
1509077994,1509077940212
1509078004,1509078000206
1509078014,1509078000206
1509078024,1509078000206
1509078034,1509078000206
1509078044,1509078000206
1509078054,1509078000206
1509078064,1509078060217
1509078074,1509078060217
1509078084,1509078060217
1509078094,1509078060217
1509078104,1509078060217
1509078114,1509078060217
1509078124,1509078120204
1509078134,1509078120204
1509078144,1509078120204
1509078154,1509078120204
1509078164,1509078120204
1509078174,1509078120204
1509078184,1509078180223
1509078194,1509078180223
1509078204,1509078180223
1509078214,1509078180223
1509078224,1509078180223
1509078234,1509078180223
1509078244,1509078240206
