t,value
1509076394,0
1509076404,0
1509076414,0
1509076424,0
1509076434,0
1509076444,0
1509076454,0
1509076464,2792
1509076474,2792
1509076484,2792
1509076494,2792
1509076504,2792
1509076514,2792
1509076524,2792
1509076534,2792
1509076544,17258
1509076554,17258
1509076564,17258
1509076574,17258
1509076584,17258
1509076594,29666
1509076604,29666
1509076614,29666
1509076624,29666
1509076634,29666
1509076644,29666
1509076654,44688
1509076664,44688
1509076674,44688
1509076684,44688
1509076694,44688
1509076704,44688
1509076714,59902
1509076724,59902
1509076734,59902
1509076744,59902
1509076754,59902
1509076764,59902
1509076774,75260
1509076784,75260
1509076794,75260
1509076804,75260
1509076814,75260
1509076824,75260
1509076834,90469
1509076844,90469
1509076854,90469
1509076864,90469
1509076874,90469
1509076884,90469
1509076894,105681
1509076904,105681
1509076914,105681
1509076924,105681
1509076934,105681
1509076944,105681
1509076954,105681
1509076964,121609
1509076974,121609
1509076984,121609
1509076994,121609
1509077004,121609
1509077014,137396
1509077024,137396
1509077034,137396
1509077044,137396
1509077054,137396
1509077064,137396
1509077074,153518
1509077084,153518
1509077094,153518
1509077104,153518
1509077114,153518
1509077124,153518
1509077134,167754
1509077144,167754
1509077154,167754
1509077164,167754
1509077174,171399
1509077184,171399
1509077194,171399
1509077204,171399
1509077214,171399
1509077224,171399
1509077234,174030
1509077244,174030
1509077254,174030
1509077264,174030
1509077274,174030
1509077284,175533
1509077294,175533
1509077304,175533
1509077314,175533
1509077324,175533
1509077334,175533
1509077344,175533
1509077354,177152
1509077364,177152
1509077374,177152
1509077384,177152
1509077394,177152
1509077404,177776
1509077414,177776
1509077424,177776
1509077434,177776
1509077444,177776
1509077454,177776
1509077464,177776
1509077474,177776
1509077484,177776
1509077494,177776
1509077504,177776
1509077514,177776
1509077524,177776
1509077534,177776
1509077544,177776
1509077554,177776
1509077564,177776
1509077574,177776
1509077584,177776
1509077594,177776
1509077604,177776
1509077614,177776
1509077624,177776
1509077634,177776
1509077644,177776
1509077654,177776
1509077664,177776
1509077674,177776
1509077684,177776
1509077694,177776
1509077704,177776
1509077714,177776
1509077724,177776
1509077734,177776
1509077744,177776
1509077754,177776
1509077764,177776
1509077774,177776
1509077784,177776
1509077794,177776
1509077804,177776
1509077814,177776
1509077824,177776
1509077834,177776
1509077844,177776
1509077854,177776
1509077864,177776
1509077874,177776
1509077884,177776
1509077894,177776
1509077904,177776
1509077914,177776
1509077924,177776
1509077934,177776
1509077944,177776
1509077954,177776
1509077964,177776
1509077974,177776
1509077984,177776
1509077994,177776
1509078004,177776
1509078014,177776
1509078024,177776
1509078034,177776
1509078044,177776
1509078054,177776
1509078064,177776
1509078074,177776
1509078084,177776
1509078094,177776
1509078104,177776
1509078114,177776
1509078124,177776
1509078134,177776
1509078144,177776
1509078154,177776
1509078164,177776
1509078174,177776
1509078184,177776
1509078194,177776
1509078204,177776
1509078214,177776
1509078224,177776
1509078234,177776
1509078244,177776
1509078254,177776
1509078264,177776
1509078274,177776
1509078284,177776
1509078294,177776
1509078304,177776
1509078314,177776
1509078324,177776
1509078334,177776
1509078344,177776
1509078354,177776
1509078364,177776
1509078374,177776
1509078384,177776
1509078394,177776
1509078404,177776
1509078414,177776
1509078424,177776
