t,value
1504277238,-1
1504277248,-1
1504277258,-1
1504277268,-1
1504277278,-1
1504277288,5
1504277298,5
1504277308,5
1504277318,5
1504277328,5
1504277338,5
1504277348,1
1504277358,1
1504277368,1
1504277378,1
1504277388,1
1504277398,1
1504277408,1
1504277418,1
1504277428,1
1504277438,1
1504277448,1
1504277458,1
1504277468,0
1504277478,0
1504277488,0
1504277498,0
1504277508,0
1504277518,0
1504277528,0
1504277538,0
1504277548,0
1504277558,0
1504277568,0
1504277578,0
1504277588,0
1504277598,0
1504277608,0
1504277618,0
1504277628,0
1504277638,0
1504277648,0
1504277658,0
1504277668,0
1504277678,0
1504277688,0
1504277698,0
1504277708,1
1504277718,1
1504277728,1
1504277738,1
1504277748,1
1504277758,1
1504277768,0
1504277778,0
1504277788,0
1504277798,0
1504277808,0
1504277818,0
1504277828,0
1504277838,0
1504277848,0
1504277858,0
1504277868,0
1504277878,0
1504277888,1
1504277898,1
1504277908,1
1504277918,1
1504277928,1
1504277938,1
1504277948,1
1504277958,1
1504277968,1
1504277978,1
1504277988,1
1504277998,1
1504278008,0
1504278018,0
1504278028,0
1504278038,0
1504278048,0
1504278058,0
1504278068,1
1504278078,1
1504278088,1
1504278098,1
1504278108,1
1504278118,1
1504278128,1
1504278138,1
1504278148,1
1504278158,1
1504278168,1
1504278178,1
1504278188,0
1504278198,0
1504278208,0
1504278218,0
1504278228,0
1504278238,0
1504278248,1
1504278258,1
1504278268,1
1504278278,1
1504278288,1
1504278298,1
1504278308,0
1504278318,0
1504278328,0
1504278338,0
1504278348,0
1504278358,0
1504278368,1
1504278378,1
1504278388,1
1504278398,1
1504278408,1
1504278418,1
1504278428,0
1504278438,0
1504278448,0
1504278458,0
1504278468,0
1504278478,0
1504278488,0
1504278498,0
1504278508,0
1504278518,0
1504278528,0
1504278538,0
1504278548,0
1504278558,0
1504278568,0
1504278578,0
1504278588,0
1504278598,0
1504278608,1
1504278618,1
1504278628,1
1504278638,1
1504278648,1
1504278658,1
1504278668,1
1504278678,1
1504278688,1
1504278698,1
1504278708,1
1504278718,1
1504278728,0
1504278738,0
1504278748,0
1504278758,0
1504278768,0
1504278778,0
1504278788,1
1504278798,1
1504278808,1
1504278818,1
1504278828,1
1504278838,1
1504278848,1
1504278858,1
1504278868,1
1504278878,1
1504278888,1
1504278898,1
1504278908,0
1504278918,0
1504278928,0
1504278938,0
1504278948,0
1504278958,0
1504278968,0
1504278978,0
1504278988,0
1504278998,0
1504279008,0
1504279018,0
1504279028,0
1504279038,0
1504279048,0
1504279058,0
1504279068,0
1504279078,0
1504279088,0
1504279098,0
1504279108,0
1504279118,0
1504279128,0
1504279138,0
1504279148,1
1504279158,1
1504279168,1
1504279178,1
1504279188,1
1504279198,1
1504279208,1
1504279218,1
1504279228,1
1504279238,1
1504279248,1
1504279258,1
1504279268,0
1504279278,0
1504279288,0
1504279298,0
1504279308,0
1504279318,0
1504279328,0
1504279338,0
1504279348,0
1504279358,0
1504279368,0
1504279378,0
1504279388,1
1504279398,1
1504279408,1
1504279418,1
1504279428,1
1504279438,1
1504279448,0
1504279458,0
1504279468,0
1504279478,0
1504279488,0
1504279498,0
1504279508,1
1504279518,1
1504279528,1
1504279538,1
1504279548,1
1504279558,1
1504279568,0
1504279578,0
1504279588,0
1504279598,0
1504279608,0
1504279618,0
1504279628,1
1504279638,1
1504279648,1
1504279658,1
1504279668,1
1504279678,1
1504279688,1
1504279698,1
1504279708,1
1504279718,1
1504279728,1
1504279738,1
1504279748,1
1504279758,1
1504279768,1
1504279778,1
1504279788,1
1504279798,1
1504279808,0
1504279818,0
1504279828,0
1504279838,0
1504279848,0
1504279858,0
1504279868,0
1504279878,0
1504279888,0
1504279898,0
1504279908,0
1504279918,0
1504279928,0
1504279938,0
1504279948,0
1504279958,0
1504279968,0
1504279978,0
1504279988,1
1504279998,1
1504280008,1
1504280018,1
1504280028,1
1504280038,1
1504280048,1
1504280058,1
1504280068,1
1504280078,1
1504280088,1
1504280098,1
1504280108,1
1504280118,1
1504280128,1
1504280138,1
1504280148,1
1504280158,1
1504280168,0
1504280178,0
1504280188,0
1504280198,0
1504280208,0
1504280218,0
1504280228,0
1504280238,0
1504280248,0
1504280258,0
1504280268,0
1504280278,0
1504280288,1
1504280298,1
1504280308,1
1504280318,1
1504280328,1
1504280338,1
1504280348,0
1504280358,0
1504280368,0
1504280378,0
1504280388,0
1504280398,0
1504280408,0
1504280418,0
1504280428,0
1504280438,0
1504280448,0
1504280458,0
1504280468,1
1504280478,1
1504280488,1
1504280498,1
1504280508,1
1504280518,1
1504280528,1
1504280538,1
1504280548,1
1504280558,1
1504280568,1
1504280578,1
1504280588,0
1504280598,0
1504280608,0
1504280618,0
1504280628,0
1504280638,0
1504280648,0
1504280658,0
1504280668,0
1504280678,0
1504280688,0
1504280698,0
1504280708,0
1504280718,0
1504280728,0
1504280738,0
1504280748,0
1504280758,0
1504280768,0
1504280778,0
1504280788,0
1504280798,0
1504280808,0
1504280818,0
1504280828,0
1504280838,0
1504280848,0
1504280858,0
1504280868,0
1504280878,0
1504280888,0
1504280898,0
1504280908,0
1504280918,0
1504280928,0
1504280938,0
1504280948,0
1504280958,0
1504280968,0
1504280978,0
1504280988,0
1504280998,0
1504281008,0
1504281018,0
1504281028,0
1504281038,0
1504281048,0
1504281058,0
1504281068,1
1504281078,1
1504281088,1
1504281098,1
1504281108,1
1504281118,1
1504281128,0
1504281138,0
1504281148,0
1504281158,0
1504281168,0
1504281178,0
1504281188,0
1504281198,0
1504281208,0
1504281218,0
1504281228,0
1504281238,0
1504281248,0
1504281258,0
1504281268,0
1504281278,0
1504281288,0
1504281298,0
1504281308,1
1504281318,1
1504281328,1
1504281338,1
1504281348,1
1504281358,1
1504281368,0
1504281378,0
1504281388,0
1504281398,0
1504281408,0
1504281418,0
1504281428,1
1504281438,1
1504281448,1
1504281458,1
1504281468,1
1504281478,1
1504281488,0
1504281498,0
1504281508,0
1504281518,0
1504281528,0
1504281538,0
1504281548,1
1504281558,1
1504281568,1
1504281578,1
1504281588,1
1504281598,1
1504281608,1
1504281618,1
1504281628,1
1504281638,1
1504281648,1
1504281658,1
1504281668,1
1504281678,1
1504281688,1
1504281698,1
1504281708,1
1504281718,1
1504281728,1
1504281738,1
1504281748,1
1504281758,1
1504281768,1
1504281778,1
1504281788,1
1504281798,1
1504281808,1
1504281818,1
1504281828,1
1504281838,1
1504281848,1
1504281858,1
1504281868,1
1504281878,1
1504281888,1
1504281898,1
1504281908,0
1504281918,0
1504281928,0
1504281938,0
1504281948,0
1504281958,0
1504281968,0
1504281978,0
1504281988,0
1504281998,0
1504282008,0
1504282018,0
1504282028,1
1504282038,1
1504282048,1
1504282058,1
1504282068,1
1504282078,1
1504282088,1
1504282098,1
1504282108,1
1504282118,1
1504282128,1
1504282138,1
1504282148,1
1504282158,1
1504282168,1
1504282178,1
1504282188,1
1504282198,1
1504282208,0
1504282218,0
1504282228,0
1504282238,0
1504282248,0
1504282258,0
1504282268,0
1504282278,0
1504282288,0
1504282298,0
1504282308,0
1504282318,0
1504282328,1
1504282338,1
1504282348,1
1504282358,1
1504282368,1
1504282378,1
1504282388,0
1504282398,0
1504282408,0
1504282418,0
1504282428,0
1504282438,0
1504282448,0
1504282458,0
1504282468,0
1504282478,0
