t,value
1502375172,-1
1502375182,-1
1502375192,-1
1502375202,-1
1502375212,-1
1502375222,-1
1502375232,-1
1502375242,-1
1502375252,17501
1502375262,17501
1502375272,17501
1502375282,17501
1502375292,17501
1502375302,17501
1502375312,17941
1502375322,17941
1502375332,17941
1502375342,17941
1502375352,17941
1502375362,17941
1502375372,16227
1502375382,16227
1502375392,16227
1502375402,16227
1502375412,16227
1502375422,16227
1502375432,19222
1502375442,19222
1502375452,19222
1502375462,19222
1502375472,19222
1502375482,19222
1502375492,19234
1502375502,19234
1502375512,19234
1502375522,19234
1502375532,19234
1502375542,19234
1502375552,20632
1502375562,20632
1502375572,20632
1502375582,20632
1502375592,20632
1502375602,20632
1502375612,19422
1502375622,19422
1502375632,19422
1502375642,19422
1502375652,19422
1502375662,19422
1502375672,20272
1502375682,20272
1502375692,20272
1502375702,20272
1502375712,20272
1502375722,20272
1502375732,18992
1502375742,18992
1502375752,18992
1502375762,18992
1502375772,18992
1502375782,18992
1502375792,19407
1502375802,19407
1502375812,19407
1502375822,19407
1502375832,19407
1502375842,19407
1502375852,19182
1502375862,19182
1502375872,19182
1502375882,19182
1502375892,19182
1502375902,15720
1502375912,15720
1502375922,15720
1502375932,15720
1502375942,15720
1502375952,7800
1502375962,7800
1502375972,7800
1502375982,7800
1502375992,7800
1502376002,7800
1502376012,8212
1502376022,8212
1502376032,8212
1502376042,8212
1502376052,8212
1502376062,8212
1502376072,8671
1502376082,8671
1502376092,8671
1502376102,8671
1502376112,8671
1502376122,8671
1502376132,8305
1502376142,8305
1502376152,8305
1502376162,8305
1502376172,8305
1502376182,8305
1502376192,7448
1502376202,7448
1502376212,7448
1502376222,7448
1502376232,7448
1502376242,7448
1502376252,7896
1502376262,7896
1502376272,7896
1502376282,7896
1502376292,7896
1502376302,7896
1502376312,7653
1502376322,7653
1502376332,7653
1502376342,7653
1502376352,7653
1502376362,7653
1502376372,8435
1502376382,8435
1502376392,8435
1502376402,8435
1502376412,8435
1502376422,8435
1502376432,8157
1502376442,8157
1502376452,8157
1502376462,8157
1502376472,8157
1502376482,8157
1502376492,8449
1502376502,8449
1502376512,8449
1502376522,8449
1502376532,8449
1502376542,8449
1502376552,7570
1502376562,7570
1502376572,7570
1502376582,7570
1502376592,7570
1502376602,7570
1502376612,4888
1502376622,4888
1502376632,4888
1502376642,4888
1502376652,4888
1502376662,1186
1502376672,1186
1502376682,1186
1502376692,1186
1502376702,1186
1502376712,1186
1502376722,1181
1502376732,1181
1502376742,1181
1502376752,1181
1502376762,1181
1502376772,1181
1502376782,1279
1502376792,1279
1502376802,1279
1502376812,1279
1502376822,1279
1502376832,1279
1502376842,1244
1502376852,1244
1502376862,1244
1502376872,1244
1502376882,1244
1502376892,1244
1502376902,1192
1502376912,1192
1502376922,1192
1502376932,1192
1502376942,1192
1502376952,1192
1502376962,1271
1502376972,1271
1502376982,1271
1502376992,1271
1502377002,1271
1502377012,1271
1502377022,1184
1502377032,1184
1502377042,1184
1502377052,1184
1502377062,1184
1502377072,1184
1502377082,1195
1502377092,1195
1502377102,1195
1502377112,1195
1502377122,1195
1502377132,1195
1502377142,1181
1502377152,1181
1502377162,1181
1502377172,1181
1502377182,1181
1502377192,1181
1502377202,1192
1502377212,1192
1502377222,1192
1502377232,1192
