t,value
1502375172,-1
1502375182,-1
1502375192,-1
1502375202,-1
1502375212,-1
1502375222,-1
1502375232,-1
1502375242,-1
1502375252,1502375244667
1502375262,1502375244667
1502375272,1502375244667
1502375282,1502375244667
1502375292,1502375244667
1502375302,1502375244667
1502375312,1502375304335
1502375322,1502375304335
1502375332,1502375304335
1502375342,1502375304335
1502375352,1502375304335
1502375362,1502375304335
1502375372,1502375362911
1502375382,1502375362911
1502375392,1502375362911
1502375402,1502375362911
1502375412,1502375362911
1502375422,1502375362911
1502375432,1502375426409
1502375442,1502375426409
1502375452,1502375426409
1502375462,1502375426409
1502375472,1502375426409
1502375482,1502375426409
1502375492,1502375486480
1502375502,1502375486480
1502375512,1502375486480
1502375522,1502375486480
1502375532,1502375486480
1502375542,1502375486480
1502375552,1502375548328
1502375562,1502375548328
1502375572,1502375548328
1502375582,1502375548328
1502375592,1502375548328
1502375602,1502375548328
1502375612,1502375607478
1502375622,1502375607478
1502375632,1502375607478
1502375642,1502375607478
1502375652,1502375607478
1502375662,1502375607478
1502375672,1502375668522
1502375682,1502375668522
1502375692,1502375668522
1502375702,1502375668522
1502375712,1502375668522
1502375722,1502375668522
1502375732,1502375726726
1502375742,1502375726726
1502375752,1502375726726
1502375762,1502375726726
1502375772,1502375726726
1502375782,1502375726726
1502375792,1502375786432
1502375802,1502375786432
1502375812,1502375786432
1502375822,1502375786432
1502375832,1502375786432
1502375842,1502375786432
1502375852,1502375846215
1502375862,1502375846215
1502375872,1502375846215
1502375882,1502375846215
1502375892,1502375846215
1502375902,1502375900990
1502375912,1502375900990
1502375922,1502375900990
1502375932,1502375900990
1502375942,1502375900990
1502375952,1502375950788
1502375962,1502375950788
1502375972,1502375950788
1502375982,1502375950788
1502375992,1502375950788
1502376002,1502375950788
1502376012,1502376011423
1502376022,1502376011423
1502376032,1502376011423
1502376042,1502376011423
1502376052,1502376011423
1502376062,1502376011423
1502376072,1502376071588
1502376082,1502376071588
1502376092,1502376071588
1502376102,1502376071588
1502376112,1502376071588
1502376122,1502376071588
1502376132,1502376130987
1502376142,1502376130987
1502376152,1502376130987
1502376162,1502376130987
1502376172,1502376130987
1502376182,1502376130987
1502376192,1502376190045
1502376202,1502376190045
1502376212,1502376190045
1502376222,1502376190045
1502376232,1502376190045
1502376242,1502376190045
1502376252,1502376250907
1502376262,1502376250907
1502376272,1502376250907
1502376282,1502376250907
1502376292,1502376250907
1502376302,1502376250907
1502376312,1502376310526
1502376322,1502376310526
1502376332,1502376310526
1502376342,1502376310526
1502376352,1502376310526
1502376362,1502376310526
1502376372,1502376371141
1502376382,1502376371141
1502376392,1502376371141
1502376402,1502376371141
1502376412,1502376371141
1502376422,1502376371141
1502376432,1502376430935
1502376442,1502376430935
1502376452,1502376430935
1502376462,1502376430935
1502376472,1502376430935
1502376482,1502376430935
1502376492,1502376491366
1502376502,1502376491366
1502376512,1502376491366
1502376522,1502376491366
1502376532,1502376491366
1502376542,1502376491366
1502376552,1502376550387
1502376562,1502376550387
1502376572,1502376550387
1502376582,1502376550387
1502376592,1502376550387
1502376602,1502376550387
1502376612,1502376606500
1502376622,1502376606500
1502376632,1502376606500
1502376642,1502376606500
1502376652,1502376606500
1502376662,1502376661350
1502376672,1502376661350
1502376682,1502376661350
1502376692,1502376661350
