t,value
1502375172,-1
1502375182,-1
1502375192,-1
1502375202,-1
1502375212,-1
1502375222,-1
1502375232,-1
1502375242,-1
1502375252,4
1502375262,4
1502375272,4
1502375282,4
1502375292,4
1502375302,4
1502375312,1
1502375322,1
1502375332,1
1502375342,1
1502375352,1
1502375362,1
1502375372,0
1502375382,0
1502375392,0
1502375402,0
1502375412,0
1502375422,0
1502375432,1
1502375442,1
1502375452,1
1502375462,1
1502375472,1
1502375482,1
1502375492,1
1502375502,1
1502375512,1
1502375522,1
1502375532,1
1502375542,1
1502375552,0
1502375562,0
1502375572,0
1502375582,0
1502375592,0
1502375602,0
1502375612,0
1502375622,0
1502375632,0
1502375642,0
1502375652,0
1502375662,0
1502375672,0
1502375682,0
1502375692,0
1502375702,0
1502375712,0
1502375722,0
1502375732,0
1502375742,0
1502375752,0
1502375762,0
1502375772,0
1502375782,0
1502375792,0
1502375802,0
1502375812,0
1502375822,0
1502375832,0
1502375842,0
1502375852,0
1502375862,0
1502375872,0
1502375882,0
1502375892,0
1502375902,1
1502375912,1
1502375922,1
1502375932,1
1502375942,1
1502375952,1
1502375962,1
1502375972,1
1502375982,1
1502375992,1
1502376002,1
1502376012,1
1502376022,1
1502376032,1
1502376042,1
1502376052,1
1502376062,1
1502376072,0
1502376082,0
1502376092,0
1502376102,0
1502376112,0
1502376122,0
1502376132,0
1502376142,0
1502376152,0
1502376162,0
1502376172,0
1502376182,0
1502376192,0
1502376202,0
1502376212,0
1502376222,0
1502376232,0
1502376242,0
1502376252,0
1502376262,0
1502376272,0
1502376282,0
1502376292,0
1502376302,0
1502376312,1
1502376322,1
1502376332,1
1502376342,1
1502376352,1
1502376362,1
1502376372,0
1502376382,0
1502376392,0
1502376402,0
1502376412,0
1502376422,0
1502376432,1
1502376442,1
1502376452,1
1502376462,1
1502376472,1
1502376482,1
1502376492,0
1502376502,0
1502376512,0
1502376522,0
1502376532,0
1502376542,0
1502376552,0
1502376562,0
1502376572,0
1502376582,0
1502376592,0
1502376602,0
1502376612,0
1502376622,0
1502376632,0
1502376642,0
1502376652,0
1502376662,0
1502376672,0
1502376682,0
1502376692,0
1502376702,0
1502376712,0
1502376722,1
1502376732,1
1502376742,1
1502376752,1
1502376762,1
1502376772,1
1502376782,1
1502376792,1
1502376802,1
1502376812,1
1502376822,1
1502376832,1
1502376842,0
1502376852,0
1502376862,0
1502376872,0
1502376882,0
1502376892,0
1502376902,1
1502376912,1
1502376922,1
1502376932,1
1502376942,1
1502376952,1
1502376962,0
1502376972,0
1502376982,0
1502376992,0
1502377002,0
1502377012,0
1502377022,0
1502377032,0
1502377042,0
1502377052,0
1502377062,0
1502377072,0
1502377082,0
1502377092,0
1502377102,0
1502377112,0
1502377122,0
1502377132,0
1502377142,0
1502377152,0
1502377162,0
1502377172,0
1502377182,0
1502377192,0
1502377202,0
1502377212,0
1502377222,0
1502377232,0
1502377242,0
1502377252,0
1502377262,1
1502377272,1
1502377282,1
1502377292,1
1502377302,1
1502377312,1
1502377322,0
1502377332,0
1502377342,0
1502377352,0
1502377362,0
1502377372,0
1502377382,0
1502377392,0
1502377402,0
1502377412,0
1502377422,0
1502377432,0
1502377442,1
1502377452,1
1502377462,1
1502377472,1
1502377482,1
1502377492,1
1502377502,0
1502377512,0
