t,value
1504800256,0
1504800266,0
1504800276,0
1504800286,0
1504800296,0
1504800306,0
1504800316,0
1504800326,0
1504800336,0
1504800346,0
1504800356,0
1504800366,0
1504800376,0
1504800386,0
1504800396,0
1504800406,3932
1504800416,3932
1504800426,3932
1504800436,3932
1504800446,3932
1504800456,3932
1504800466,6609
1504800476,6609
1504800486,6609
1504800496,6609
1504800506,6609
1504800516,6609
1504800526,6609
1504800536,6609
1504800546,6609
1504800556,6609
1504800566,10477
1504800576,10477
1504800586,10477
1504800596,10477
1504800606,10477
1504800616,10477
1504800626,10477
1504800636,10477
1504800646,14495
1504800656,14495
1504800666,14495
1504800676,14495
1504800686,14495
1504800696,14495
1504800706,14495
1504800716,14495
1504800726,14495
1504800736,14495
1504800746,18530
1504800756,18530
1504800766,18530
1504800776,18530
1504800786,18530
1504800796,18530
1504800806,18530
1504800816,18530
1504800826,22572
1504800836,22572
1504800846,22572
1504800856,22572
1504800866,22572
1504800876,22572
1504800886,22572
1504800896,22572
1504800906,26311
1504800916,26311
1504800926,26311
1504800936,26311
1504800946,26311
1504800956,26311
1504800966,26311
1504800976,30138
1504800986,30138
1504800996,30138
1504801006,30138
1504801016,30138
1504801026,30138
1504801036,30138
1504801046,30138
1504801056,34117
1504801066,34117
1504801076,34117
1504801086,34117
1504801096,34117
1504801106,36781
1504801116,36781
1504801126,36781
1504801136,36781
1504801146,39312
1504801156,39312
1504801166,39312
1504801176,39312
1504801186,41684
1504801196,41684
1504801206,41684
1504801216,43434
1504801226,43434
1504801236,43434
1504801246,44658
1504801256,44658
1504801266,45899
1504801276,45899
1504801286,45899
1504801296,47235
1504801306,47235
1504801316,48545
1504801326,48545
1504801336,48545
1504801346,48545
1504801356,50005
1504801366,50005
1504801376,50005
1504801386,50005
1504801396,50005
1504801406,50005
1504801416,50005
1504801426,51755
1504801436,51755
1504801446,51755
1504801456,51755
1504801466,51755
1504801476,53160
1504801486,53160
1504801496,53160
1504801506,53160
1504801516,53784
1504801526,53784
1504801536,53784
1504801546,53784
1504801556,53784
1504801566,53784
1504801576,54359
1504801586,54359
1504801596,54359
1504801606,54359
1504801616,54359
1504801626,54359
1504801636,54833
1504801646,54833
1504801656,54833
1504801666,54833
1504801676,54833
1504801686,54833
1504801696,54833
1504801706,54833
1504801716,54833
1504801726,54833
1504801736,54833
1504801746,54833
1504801756,54833
1504801766,54833
1504801776,54833
1504801786,54833
1504801796,54833
1504801806,54833
1504801816,54833
1504801826,54833
1504801836,54833
1504801846,54833
1504801856,54833
1504801866,54833
1504801876,54833
1504801886,54833
1504801896,54833
1504801906,54833
1504801916,54833
1504801926,54833
1504801936,54833
1504801946,54833
1504801956,54833
1504801966,54833
1504801976,54833
1504801986,54833
1504801996,54833
1504802006,54833
1504802016,54833
1504802026,54833
1504802036,54833
1504802046,54833
1504802056,54833
1504802066,54833
1504802076,54833
1504802086,54833
1504802096,54833
1504802106,54833
1504802116,54833
1504802126,54833
1504802136,54833
1504802146,54833
1504802156,54833
1504802166,54833
1504802176,54833
1504802186,54833
1504802196,54833
1504802206,54833
1504802216,54833
1504802226,54833
1504802236,54833
1504802246,54833
1504802256,54833
1504802266,54833
1504802276,54833
1504802286,54833
1504802296,54833
1504802306,54833
1504802316,54833
1504802326,54833
1504802336,54833
1504802346,54833
1504802356,54833
1504802366,54833
1504802376,54833
1504802386,54833
1504802396,54833
1504802406,54833
1504802416,54833
1504802426,54833
1504802436,54833
1504802446,54833
1504802456,54833
1504802466,54833
1504802476,54833
1504802486,54833
1504802496,54833
1504802506,54833
1504802516,54833
1504802526,54833
1504802536,54833
1504802546,54833
1504802556,54833
1504802566,54833
1504802576,54833
1504802586,54833
1504802596,54833
1504802606,54833
1504802616,54833
1504802626,54833
1504802636,54833
1504802646,54833
1504802656,54833
1504802666,54833
1504802676,54833
1504802686,54833
1504802696,54833
1504802706,54833
1504802716,54833
1504802726,54833
1504802736,54833
1504802746,54833
1504802756,54833
1504802766,54833
1504802776,54833
1504802786,54833
1504802796,54833
1504802806,54833
1504802816,54833
1504802826,54833
1504802836,54833
1504802846,54833
1504802856,54833
1504802866,54833
1504802876,54833
1504802886,54833
1504802896,54833
1504802906,54833
1504802916,54833
1504802926,54833
1504802936,54833
