t,value
1506026620,732
1506026630,732
1506026640,732
1506026650,732
1506026660,732
1506026670,732
1506026680,732
1506026690,732
1506026700,732
1506026710,732
1506026720,732
1506026730,732
1506026740,732
1506026750,732
1506026760,732
1506026770,732
1506026780,732
1506026790,732
1506026800,732
1506026810,732
1506026820,732
1506026830,732
1506026840,732
1506026850,732
1506026860,732
1506026870,732
1506026880,732
1506026890,732
1506026900,732
1506026910,732
1506026920,732
1506026930,732
1506026940,732
1506026950,732
1506026960,732
1506026970,732
1506026980,732
1506026990,732
1506027000,732
1506027010,732
1506027020,732
1506027030,732
1506027040,732
1506027050,732
1506027060,732
1506027070,732
1506027080,732
1506027090,732
1506027100,732
1506027110,732
1506027120,732
1506027130,732
1506027140,732
1506027150,732
1506027160,732
1506027170,732
1506027180,732
1506027190,732
1506027200,732
1506027210,732
1506027220,732
1506027230,732
1506027240,732
1506027250,732
1506027260,732
1506027270,732
1506027280,732
1506027290,732
1506027300,732
1506027310,732
1506027320,732
1506027330,732
1506027340,732
1506027350,732
1506027360,732
1506027370,732
1506027380,732
1506027390,732
1506027400,732
1506027410,732
1506027420,732
1506027430,732
1506027440,732
1506027450,732
1506027460,732
1506027470,732
1506027480,732
1506027490,732
1506027500,732
1506027510,732
1506027520,732
1506027530,732
1506027540,732
1506027550,732
1506027560,732
1506027570,732
1506027580,732
1506027590,732
1506027600,732
1506027610,732
1506027620,732
1506027630,732
1506027640,732
1506027650,732
1506027660,732
1506027670,732
1506027680,732
1506027690,732
1506027700,732
1506027710,732
1506027720,732
1506027730,732
1506027740,732
1506027750,732
1506027760,732
1506027770,732
1506027780,732
1506027790,732
1506027800,732
1506027810,732
1506027820,732
1506027830,732
1506027840,732
1506027850,732
1506027860,732
1506027870,732
1506027880,732
1506027890,732
1506027900,732
1506027910,732
1506027920,732
1506027930,732
1506027940,732
1506027950,732
1506027960,732
1506027970,732
1506027980,732
1506027990,732
1506028000,732
1506028010,732
1506028020,732
1506028030,732
1506028040,732
1506028050,732
1506028060,732
1506028070,732
1506028080,732
1506028090,732
1506028100,732
1506028110,732
1506028120,732
1506028130,732
1506028140,732
1506028150,732
1506028160,732
1506028170,732
1506028180,732
1506028190,732
1506028200,732
1506028210,732
1506028220,732
1506028230,732
1506028240,732
1506028250,732
1506028260,732
1506028270,732
1506028280,732
1506028290,732
1506028300,732
1506028310,732
1506028320,732
1506028330,732
1506028340,732
1506028350,732
1506028360,732
1506028370,732
1506028380,732
1506028390,732
1506028400,732
1506028410,732
1506028420,732
1506028430,732
1506028440,732
1506028450,732
1506028460,732
1506028470,732
1506028480,732
1506028490,732
1506028500,732
1506028510,732
1506028520,732
1506028530,732
1506028540,732
1506028550,732
1506028560,732
1506028570,732
1506028580,732
1506028590,732
1506028600,732
1506028610,732
1506028620,732
1506028630,732
1506028640,732
1506028650,732
1506028660,732
1506028670,732
1506028680,732
1506028690,732
1506028700,732
1506028710,732
1506028720,732
1506028730,732
1506028740,732
1506028750,732
1506028760,732
1506028770,732
1506028780,732
1506028790,732
1506028800,732
1506028810,732
1506028820,732
1506028830,732
1506028840,732
1506028850,732
1506028860,732
1506028870,732
1506028880,732
1506028890,732
1506028900,732
1506028910,732
1506028920,732
1506028930,732
1506028940,732
1506028950,732
1506028960,732
1506028970,732
1506028980,732
1506028990,732
1506029000,732
1506029010,732
1506029020,732
1506029030,732
1506029040,732
1506029050,732
1506029060,732
1506029070,732
1506029080,732
1506029090,732
1506029100,732
1506029110,732
1506029120,732
1506029130,732
1506029140,732
1506029150,732
1506029160,732
1506029170,732
1506029180,732
1506029190,732
1506029200,732
1506029210,732
1506029220,732
1506029230,732
1506029240,732
1506029250,732
1506029260,732
1506029270,732
1506029280,732
1506029290,732
1506029300,732
1506029310,732
1506029320,732
1506029330,732
1506029340,732
1506029350,732
1506029360,732
1506029370,732
1506029380,732
1506029390,732
1506029400,732
1506029410,732
1506029420,732
1506029430,732
1506029440,732
1506029450,732
1506029460,732
1506029470,732
1506029480,732
1506029490,732
1506029500,732
1506029510,732
1506029520,732
1506029530,732
1506029540,732
1506029550,732
1506029560,732
1506029570,732
1506029580,732
1506029590,732
1506029600,732
1506029610,732
1506029620,732
1506029630,732
1506029640,732
1506029650,732
1506029660,732
1506029670,732
1506029680,732
1506029690,732
1506029700,732
1506029710,732
1506029720,732
1506029730,732
1506029740,732
1506029750,732
1506029760,732
1506029770,732
1506029780,732
1506029790,732
1506029800,732
1506029810,732
1506029820,732
1506029830,732
1506029840,732
1506029850,732
1506029860,732
1506029870,732
1506029880,732
1506029890,732
1506029900,732
1506029910,732
1506029920,732
1506029930,732
1506029940,732
1506029950,732
1506029960,732
1506029970,732
1506029980,732
1506029990,732
1506030000,732
1506030010,732
1506030020,732
1506030030,732
1506030040,732
1506030050,732
1506030060,732
1506030070,732
1506030080,732
1506030090,732
1506030100,732
1506030110,732
1506030120,732
1506030130,732
1506030140,732
1506030150,732
1506030160,732
1506030170,732
1506030180,732
1506030190,732
1506030200,732
1506030210,732
1506030220,732
1506030230,732
1506030240,732
1506030250,732
1506030260,732
1506030270,732
1506030280,732
1506030290,732
1506030300,732
1506030310,732
1506030320,732
1506030330,732
1506030340,732
1506030350,732
1506030360,732
1506030370,732
1506030380,732
1506030390,732
1506030400,732
1506030410,732
1506030420,732
1506030430,732
1506030440,732
1506030450,732
1506030460,732
1506030470,732
1506030480,732
1506030490,732
1506030500,732
1506030510,732
