t,value
1506026620,0
1506026630,0
1506026640,0
1506026650,4
1506026660,5
1506026670,5
1506026680,5
1506026690,5
1506026700,5
1506026710,9
1506026720,10
1506026730,10
1506026740,10
1506026750,10
1506026760,10
1506026770,14
1506026780,15
1506026790,15
1506026800,15
1506026810,15
1506026820,15
1506026830,19
1506026840,20
1506026850,20
1506026860,20
1506026870,20
1506026880,20
1506026890,24
1506026900,25
1506026910,25
1506026920,25
1506026930,25
1506026940,25
1506026950,29
1506026960,30
1506026970,30
1506026980,30
1506026990,30
1506027000,30
1506027010,34
1506027020,35
1506027030,35
1506027040,35
1506027050,35
1506027060,35
1506027070,39
1506027080,40
1506027090,40
1506027100,40
1506027110,40
1506027120,40
1506027130,44
1506027140,45
1506027150,45
1506027160,45
1506027170,45
1506027180,45
1506027190,49
1506027200,50
1506027210,50
1506027220,50
1506027230,50
1506027240,50
1506027250,54
1506027260,55
1506027270,55
1506027280,55
1506027290,55
1506027300,55
1506027310,59
1506027320,60
1506027330,60
1506027340,60
1506027350,60
1506027360,60
1506027370,64
1506027380,65
1506027390,65
1506027400,65
1506027410,65
1506027420,65
1506027430,73
1506027440,73
1506027450,73
1506027460,73
1506027470,73
1506027480,73
1506027490,81
1506027500,81
1506027510,81
1506027520,81
1506027530,81
1506027540,81
1506027550,89
1506027560,89
1506027570,89
1506027580,89
1506027590,89
1506027600,89
1506027610,97
1506027620,97
1506027630,97
1506027640,97
1506027650,97
1506027660,97
1506027670,105
1506027680,105
1506027690,105
1506027700,105
1506027710,105
1506027720,105
1506027730,113
1506027740,113
1506027750,113
1506027760,113
1506027770,113
1506027780,113
1506027790,121
1506027800,121
1506027810,121
1506027820,121
1506027830,121
1506027840,121
1506027850,129
1506027860,129
1506027870,129
1506027880,129
1506027890,129
1506027900,129
1506027910,137
1506027920,137
1506027930,137
1506027940,137
1506027950,137
1506027960,137
1506027970,145
1506027980,145
1506027990,145
1506028000,145
1506028010,145
1506028020,145
1506028030,153
1506028040,153
1506028050,153
1506028060,153
1506028070,153
1506028080,153
1506028090,161
1506028100,161
1506028110,161
1506028120,161
1506028130,161
1506028140,161
1506028150,169
1506028160,169
1506028170,169
1506028180,169
1506028190,169
1506028200,169
1506028210,177
1506028220,177
1506028230,177
1506028240,177
1506028250,177
1506028260,177
1506028270,185
1506028280,185
1506028290,185
1506028300,185
1506028310,185
1506028320,185
1506028330,193
1506028340,193
1506028350,193
1506028360,193
1506028370,193
1506028380,193
1506028390,201
1506028400,201
1506028410,201
1506028420,201
1506028430,201
1506028440,201
1506028450,209
1506028460,209
1506028470,209
1506028480,209
1506028490,209
1506028500,209
1506028510,217
1506028520,217
1506028530,217
1506028540,217
1506028550,217
1506028560,217
1506028570,225
1506028580,225
1506028590,225
1506028600,225
1506028610,225
1506028620,225
1506028630,233
1506028640,233
1506028650,233
1506028660,233
1506028670,233
1506028680,233
1506028690,241
1506028700,241
1506028710,241
1506028720,241
1506028730,241
1506028740,241
1506028750,249
1506028760,249
1506028770,249
1506028780,249
1506028790,249
1506028800,249
1506028810,257
1506028820,257
1506028830,257
1506028840,257
1506028850,257
1506028860,257
1506028870,265
1506028880,265
1506028890,265
1506028900,265
1506028910,265
1506028920,265
1506028930,273
1506028940,273
1506028950,273
1506028960,273
1506028970,273
1506028980,273
1506028990,281
1506029000,281
1506029010,281
1506029020,281
1506029030,281
1506029040,281
1506029050,289
1506029060,289
1506029070,289
1506029080,289
1506029090,289
1506029100,289
1506029110,297
1506029120,297
1506029130,297
1506029140,297
1506029150,297
1506029160,297
1506029170,305
1506029180,305
1506029190,305
1506029200,305
1506029210,305
1506029220,305
1506029230,313
1506029240,313
1506029250,313
1506029260,313
1506029270,313
1506029280,313
1506029290,321
1506029300,321
1506029310,321
1506029320,321
1506029330,321
1506029340,321
1506029350,329
1506029360,329
1506029370,329
1506029380,329
1506029390,329
1506029400,329
1506029410,337
1506029420,337
1506029430,337
1506029440,337
1506029450,337
1506029460,337
1506029470,345
1506029480,345
1506029490,345
1506029500,345
1506029510,345
1506029520,345
1506029530,353
1506029540,353
1506029550,353
1506029560,353
1506029570,353
1506029580,353
1506029590,361
1506029600,361
1506029610,361
1506029620,361
1506029630,361
1506029640,361
1506029650,369
1506029660,369
1506029670,369
1506029680,369
1506029690,369
1506029700,369
1506029710,377
1506029720,377
1506029730,377
1506029740,377
1506029750,377
1506029760,377
1506029770,385
1506029780,385
1506029790,385
1506029800,385
1506029810,385
1506029820,385
1506029830,393
1506029840,393
1506029850,393
1506029860,393
1506029870,393
1506029880,393
1506029890,401
1506029900,401
1506029910,401
1506029920,401
1506029930,401
1506029940,401
1506029950,409
1506029960,409
1506029970,409
1506029980,409
1506029990,409
1506030000,409
1506030010,417
1506030020,417
1506030030,417
1506030040,417
1506030050,417
1506030060,417
1506030070,425
1506030080,425
1506030090,425
1506030100,425
1506030110,425
1506030120,425
1506030130,433
1506030140,433
1506030150,433
1506030160,433
1506030170,433
1506030180,433
1506030190,441
1506030200,441
1506030210,441
1506030220,441
1506030230,441
1506030240,441
1506030250,449
1506030260,449
1506030270,449
1506030280,449
1506030290,449
1506030300,449
1506030310,457
1506030320,457
1506030330,457
1506030340,457
1506030350,457
1506030360,457
1506030370,465
1506030380,465
1506030390,465
1506030400,465
1506030410,465
1506030420,465
1506030430,473
1506030440,473
1506030450,473
1506030460,473
1506030470,473
1506030480,473
1506030490,481
1506030500,481
1506030510,481
1506030520,481
1506030530,481
1506030540,481
1506030550,489
1506030560,489
1506030570,489
1506030580,489
1506030590,489
1506030600,489
1506030610,497
1506030620,497
1506030630,497
1506030640,497
1506030650,497
1506030660,497
1506030670,505
1506030680,505
1506030690,505
1506030700,505
1506030710,505
1506030720,505
1506030730,513
1506030740,513
1506030750,513
1506030760,513
1506030770,513
1506030780,513
1506030790,521
1506030800,521
1506030810,521
1506030820,521
1506030830,521
1506030840,521
1506030850,529
1506030860,529
1506030870,529
1506030880,529
1506030890,529
1506030900,529
1506030910,537
1506030920,537
1506030930,537
1506030940,537
1506030950,537
1506030960,537
1506030970,545
1506030980,545
1506030990,545
1506031000,545
1506031010,545
1506031020,545
1506031030,553
1506031040,553
1506031050,553
1506031060,553
1506031070,553
1506031080,553
1506031090,561
1506031100,561
1506031110,561
1506031120,561
1506031130,561
1506031140,561
1506031150,569
1506031160,569
1506031170,569
1506031180,569
1506031190,569
1506031200,569
1506031210,577
1506031220,577
1506031230,577
1506031240,577
1506031250,577
1506031260,577
1506031270,585
1506031280,585
1506031290,585
1506031300,585
1506031310,585
1506031320,585
1506031330,593
1506031340,593
1506031350,593
1506031360,593
1506031370,593
1506031380,593
1506031390,601
1506031400,601
1506031410,601
1506031420,601
1506031430,601
1506031440,601
1506031450,609
1506031460,609
1506031470,609
1506031480,609
1506031490,609
1506031500,609
1506031510,617
1506031520,617
1506031530,617
1506031540,617
1506031550,617
1506031560,617
1506031570,625
1506031580,625
1506031590,625
1506031600,625
1506031610,625
1506031620,625
1506031630,633
1506031640,633
1506031650,633
1506031660,633
1506031670,633
1506031680,633
1506031690,641
1506031700,641
1506031710,641
1506031720,641
1506031730,641
1506031740,641
1506031750,649
1506031760,649
1506031770,649
1506031780,649
1506031790,649
1506031800,649
1506031810,657
1506031820,657
1506031830,657
1506031840,657
1506031850,657
1506031860,657
1506031870,665
1506031880,665
1506031890,665
1506031900,665
1506031910,665
1506031920,665
1506031930,673
1506031940,673
1506031950,673
1506031960,673
1506031970,673
1506031980,673
1506031990,681
1506032000,681
1506032010,681
1506032020,681
1506032030,681
1506032040,681
1506032050,689
1506032060,689
1506032070,689
1506032080,689
1506032090,689
1506032100,689
1506032110,697
1506032120,697
1506032130,697
1506032140,697
1506032150,697
1506032160,697
1506032170,705
1506032180,705
1506032190,705
1506032200,705
1506032210,705
1506032220,705
1506032230,713
1506032240,713
1506032250,713
1506032260,713
1506032270,713
1506032280,713
1506032290,721
1506032300,721
1506032310,721
1506032320,721
1506032330,721
1506032340,721
1506032350,729
1506032360,729
1506032370,729
1506032380,729
1506032390,729
1506032400,729
1506032410,737
1506032420,737
1506032430,737
1506032440,737
1506032450,737
1506032460,737
1506032470,745
1506032480,745
1506032490,745
1506032500,745
1506032510,745
1506032520,745
1506032530,753
1506032540,753
1506032550,753
1506032560,753
1506032570,753
1506032580,753
1506032590,761
1506032600,761
1506032610,761
1506032620,761
1506032630,761
1506032640,761
1506032650,769
1506032660,769
1506032670,769
1506032680,769
1506032690,769
1506032700,769
1506032710,777
1506032720,777
1506032730,777
1506032740,777
1506032750,777
1506032760,777
1506032770,785
1506032780,785
1506032790,785
1506032800,785
1506032810,785
1506032820,785
1506032830,793
1506032840,793
1506032850,793
1506032860,793
1506032870,793
1506032880,793
1506032890,801
1506032900,801
1506032910,801
1506032920,801
1506032930,801
1506032940,801
1506032950,809
1506032960,809
1506032970,809
1506032980,809
1506032990,809
1506033000,809
1506033010,809
1506033020,809
1506033030,809
1506033040,809
1506033050,809
1506033060,809
1506033070,809
1506033080,809
1506033090,809
1506033100,809
1506033110,809
1506033120,809
1506033130,809
1506033140,809
1506033150,809
1506033160,809
1506033170,809
1506033180,809
