t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1506026620,1,8.899510,8.899510,8.899510,0.000000,8.899510,8.899510,8.899510,8.899510,8.899510,8.899510,0.096472,0.184009,0.196694,0.198892,calls/second,milliseconds
1506026630,1,8.899510,8.899510,8.899510,0.000000,8.899510,8.899510,8.899510,8.899510,8.899510,8.899510,0.049225,0.155760,0.190246,0.196694,calls/second,milliseconds
1506026640,1,8.899510,8.899510,8.899510,0.000000,8.899510,8.899510,8.899510,8.899510,8.899510,8.899510,0.032985,0.131848,0.184009,0.194521,calls/second,milliseconds
1506026650,293,105.947292,0.762058,0.005295,6.197092,0.203393,0.357180,0.758408,4.074506,13.326475,105.947292,7.267702,4.573812,1.113410,0.506672,calls/second,milliseconds
1506026660,490,105.947292,0.540807,0.003683,4.730598,0.187805,0.321837,0.588193,1.208464,9.642397,105.947292,9.738434,6.949091,1.746000,0.727255,calls/second,milliseconds
1506026670,490,105.947292,0.540807,0.003683,4.730598,0.187805,0.321837,0.588193,1.208464,9.642397,105.947292,8.123959,5.882278,1.688760,0.719220,calls/second,milliseconds
1506026680,490,105.947292,0.540807,0.003683,4.730598,0.187805,0.321837,0.588193,1.208464,9.642397,105.947292,6.968877,4.979241,1.633396,0.711273,calls/second,milliseconds
1506026690,490,105.947292,0.540807,0.003683,4.730598,0.187805,0.321837,0.588193,1.208464,9.642397,105.947292,6.101193,4.214837,1.579846,0.703413,calls/second,milliseconds
1506026700,490,105.947292,0.540807,0.003683,4.730598,0.187805,0.321837,0.588193,1.208464,9.642397,105.947292,5.425589,3.567782,1.528053,0.695641,calls/second,milliseconds
1506026710,738,105.947292,0.404712,0.001722,3.403364,0.014812,0.262870,0.530901,1.208464,7.533508,24.504582,7.357071,6.864394,2.292583,0.962163,calls/second,milliseconds
1506026720,860,105.947292,0.352925,0.001722,2.986783,0.031479,0.252300,0.449976,0.902446,5.413149,24.504582,7.795979,7.493558,2.585668,1.076143,calls/second,milliseconds
1506026730,979,105.947292,0.319618,0.001722,2.696391,0.098861,0.241800,0.430554,0.751117,4.879483,24.504582,8.137151,8.226365,2.917037,1.205294,calls/second,milliseconds
1506026740,979,105.947292,0.319618,0.001722,2.696391,0.098861,0.241800,0.430554,0.751117,4.879483,24.504582,7.512755,6.963468,2.821405,1.191976,calls/second,milliseconds
1506026750,979,105.947292,0.319618,0.001722,2.696391,0.098861,0.241800,0.430554,0.751117,4.879483,24.504582,6.977324,5.894448,2.728908,1.178805,calls/second,milliseconds
1506026760,979,105.947292,0.319618,0.001722,2.696391,0.098861,0.241800,0.430554,0.751117,4.879483,24.504582,6.513219,4.989543,2.639444,1.165780,calls/second,milliseconds
1506026770,1229,105.947292,0.220857,0.001336,2.021156,0.009797,0.190707,0.343679,0.581222,3.875081,20.700740,7.666358,8.092830,3.371226,1.428258,calls/second,milliseconds
1506026780,1342,105.947292,0.211361,0.001336,1.820212,0.013929,0.197651,0.343679,0.572214,3.875081,10.196202,7.879631,8.470721,3.615781,1.532662,calls/second,milliseconds
1506026790,1468,105.947292,0.205784,0.001316,1.705330,0.082157,0.190707,0.325352,0.652048,3.875081,10.196202,8.141514,9.097653,3.923132,1.660075,calls/second,milliseconds
1506026800,1468,105.947292,0.205784,0.001316,1.705330,0.082157,0.190707,0.325352,0.652048,3.875081,10.196202,7.713687,7.700997,3.794517,1.641732,calls/second,milliseconds
1506026810,1468,105.947292,0.205784,0.001316,1.705330,0.082157,0.190707,0.325352,0.652048,3.875081,10.196202,7.328578,6.518753,3.670117,1.623591,calls/second,milliseconds
1506026820,1468,105.947292,0.205784,0.001316,1.705330,0.082157,0.190707,0.325352,0.652048,3.875081,10.196202,6.980177,5.518005,3.549797,1.605651,calls/second,milliseconds
1506026830,1716,10.196202,0.190210,0.001121,0.745808,0.007247,0.198331,0.301170,0.774258,4.505540,9.662698,7.789033,8.551023,4.249576,1.862289,calls/second,milliseconds
1506026840,1813,10.196202,0.185061,0.001121,0.709513,0.007323,0.211264,0.291702,0.688959,4.505540,9.662698,7.871973,8.734444,4.428562,1.948927,calls/second,milliseconds
1506026850,1957,10.196202,0.177575,0.001111,0.671684,0.079919,0.214008,0.273525,0.430422,4.505540,8.954752,8.143499,9.637454,4.756886,2.086666,calls/second,milliseconds
1506026860,1957,10.196202,0.177575,0.001111,0.671684,0.079919,0.214008,0.273525,0.430422,4.505540,8.954752,7.818296,8.157928,4.600936,2.063609,calls/second,milliseconds
