Produce_batch,Num_Messages,Number_APoints/Msg,KB_Transfered,KB/sec
0,8000,0,8000,0.0,0.0
0,8000,1,8000,495.0,6288.25470669
8000,16000,2,8000,986.0,5855.42019842
16000,24000,3,8000,1486.0,5767.37758169
24000,32000,4,8000,1982.0,6915.43822399
32000,40000,5,8000,2475.0,7175.67781104
40000,48000,6,8000,2967.0,7238.98328365
48000,56000,7,8000,3469.0,7424.03552914
56000,64000,8,8000,3967.0,7122.80921186
64000,72000,9,8000,4468.0,7276.54140762
72000,80000,10,8000,4967.0,7724.05328394
80000,88000,11,8000,5467.0,8125.81437704
88000,96000,12,8000,5969.0,8460.23296442
0,8000,13,8000,6465.0,7083.17593596
8000,16000,14,8000,6969.0,6616.57986656
16000,24000,15,8000,7451.0,6249.94182462
24000,32000,16,8000,7936.0,6498.24825747
32000,40000,17,8000,8433.0,6742.59072843
40000,48000,18,8000,8934.0,6917.50533112
48000,56000,19,8000,9412.0,7107.33877073
56000,64000,20,8000,9908.0,7290.73436916
64000,72000,21,8000,10398.0,7492.34665911
72000,80000,22,8000,10882.0,7619.28942502
80000,88000,23,8000,11382.0,7666.80972521
88000,96000,24,8000,11887.0,7710.17964777
96000,104000,25,8000,12377.0,7876.33981829
104000,112000,26,8000,12873.0,8023.96483045
112000,120000,27,8000,13373.0,8168.46324285
120000,128000,28,8000,13861.0,8028.36654556
128000,136000,29,8000,14361.0,7906.06757114
136000,144000,30,8000,14848.0,8001.77129131
144000,152000,31,8000,15339.0,8123.38188517
152000,160000,32,8000,15836.0,8241.72255915
160000,168000,33,8000,16324.0,8352.00326333
168000,176000,34,8000,16816.0,8459.90138398
176000,184000,35,8000,17304.0,8559.29833465
184000,192000,36,8000,17794.0,8675.734137
192000,200000,37,8000,18289.0,8773.7722356
200000,208000,38,8000,18785.0,8868.65505536
208000,216000,39,8000,19269.0,8956.73030271
216000,224000,40,8000,19770.0,9047.83499697
224000,232000,41,8000,20271.0,9135.12200443
232000,240000,42,8000,20767.0,9154.62825265
240000,248000,43,8000,21269.0,9238.48618017
248000,256000,44,8000,21757.0,9317.31336121
256000,264000,45,8000,22247.0,9394.36357281
264000,272000,46,8000,22742.0,9469.5000952
272000,280000,47,8000,23240.0,9511.23865147
