Produce_batch,Num_Messages,Number_APoints/Msg,KB_Transfered,KB/sec
0,5000,0,5000,0.0,0.0
5000,10000,1,5000,309.0,6037.75313059
0,5000,2,5000,619.0,4230.16127986
5000,10000,3,5000,933.0,3400.93775947
10000,15000,4,5000,1244.0,3084.09263188
15000,20000,5,5000,1554.0,2925.46793764
20000,25000,6,5000,1865.0,3061.49263078
25000,30000,7,5000,2182.0,2954.9454415
30000,35000,8,5000,2492.0,3052.90742471
35000,40000,9,5000,2807.0,2952.45228996
40000,45000,10,5000,3117.0,3029.75248657
45000,50000,11,5000,3427.0,3096.09805412
50000,55000,12,5000,3740.0,3153.89037793
55000,60000,13,5000,4045.0,3076.70540394
60000,65000,14,5000,4355.0,3127.05328089
65000,70000,15,5000,4657.0,3061.06078093
70000,75000,16,5000,4967.0,3225.9425521
75000,80000,17,5000,5276.0,3377.26045618
80000,85000,18,5000,5582.0,3522.35777757
85000,90000,19,5000,5890.0,3664.50547656
90000,95000,20,5000,6195.0,3782.03529133
95000,100000,21,5000,6509.0,3902.2687354
0,5000,22,5000,6822.0,3691.1388015
5000,10000,23,5000,7125.0,3697.79108192
10000,15000,24,5000,7429.0,3705.59537701
15000,20000,25,5000,7730.0,3711.83846767
20000,25000,26,5000,8030.0,3716.68416518
25000,30000,27,5000,8343.0,3830.91949766
30000,35000,28,5000,8655.0,3922.53890263
35000,40000,29,5000,8971.0,4024.83171089
40000,45000,30,5000,9286.0,4124.49887744
45000,50000,31,5000,9602.0,4221.66126189
50000,55000,32,5000,9917.0,4304.65500521
55000,60000,33,5000,10233.0,4296.19515554
60000,65000,34,5000,10549.0,4288.60534572
65000,70000,35,5000,10861.0,4333.60252803
70000,75000,36,5000,11173.0,4323.11646502
75000,80000,37,5000,11492.0,4316.21800379
80000,85000,38,5000,11811.0,4309.96738083
85000,90000,39,5000,12123.0,4395.03450307
90000,95000,40,5000,12434.0,4470.60837969
95000,100000,41,5000,12743.0,4544.30190317
100000,105000,42,5000,13052.0,4616.75163042
105000,110000,43,5000,13352.0,4692.70890922
110000,115000,44,5000,13651.0,4760.30222597
