t,value
1505360217,-1
1505360227,-1
1505360237,7758
1505360247,7758
1505360257,7758
1505360267,7758
1505360277,7758
1505360287,7758
1505360297,7758
1505360307,7758
1505360317,7758
1505360327,7758
1505360337,36973
1505360347,36973
1505360357,36973
1505360367,36973
1505360377,36973
1505360387,30303
1505360397,30303
1505360407,30303
1505360417,30303
1505360427,30303
1505360437,30303
1505360447,30303
1505360457,37676
1505360467,37676
1505360477,37676
1505360487,37676
1505360497,37676
1505360507,37676
1505360517,39207
1505360527,39207
1505360537,39207
1505360547,39207
1505360557,39207
1505360567,34573
1505360577,34573
1505360587,34573
1505360597,34573
1505360607,34573
1505360617,34573
1505360627,34573
1505360637,36613
1505360647,36613
1505360657,36613
1505360667,36613
1505360677,36613
1505360687,33969
1505360697,33969
1505360707,33969
1505360717,33969
1505360727,33969
1505360737,33969
1505360747,33340
1505360757,33340
1505360767,33340
1505360777,33340
1505360787,33340
1505360797,33340
1505360807,33340
1505360817,37780
1505360827,37780
1505360837,37780
1505360847,37780
1505360857,37780
1505360867,34082
1505360877,34082
1505360887,34082
1505360897,34082
1505360907,34082
1505360917,34082
1505360927,32272
1505360937,32272
1505360947,32272
1505360957,32272
1505360967,32272
1505360977,27638
1505360987,27638
1505360997,27638
1505361007,27638
1505361017,27638
1505361027,13607
1505361037,13607
1505361047,13607
1505361057,13607
1505361067,13607
1505361077,6898
1505361087,6898
1505361097,6898
1505361107,6898
1505361117,6898
1505361127,1086
1505361137,1086
1505361147,1086
1505361157,1086
1505361167,1086
1505361177,1086
1505361187,1181
1505361197,1181
1505361207,1181
1505361217,1181
1505361227,1181
1505361237,1181
1505361247,1256
1505361257,1256
1505361267,1256
1505361277,1256
1505361287,1256
1505361297,1256
1505361307,1181
1505361317,1181
1505361327,1181
1505361337,1181
1505361347,1181
1505361357,1181
1505361367,1249
1505361377,1249
1505361387,1249
1505361397,1249
1505361407,1249
1505361417,1249
1505361427,1170
1505361437,1170
1505361447,1170
1505361457,1170
1505361467,1170
1505361477,1170
1505361487,1249
1505361497,1249
1505361507,1249
1505361517,1249
1505361527,1249
1505361537,1249
1505361547,1237
1505361557,1237
1505361567,1237
1505361577,1237
1505361587,1237
1505361597,1237
1505361607,1166
1505361617,1166
1505361627,1166
1505361637,1166
1505361647,1166
1505361657,1166
1505361667,1229
1505361677,1229
1505361687,1229
1505361697,1229
1505361707,1229
1505361717,1229
1505361727,1256
1505361737,1256
1505361747,1256
1505361757,1256
1505361767,1256
1505361777,1256
1505361787,1165
1505361797,1165
1505361807,1165
1505361817,1165
1505361827,1165
1505361837,1165
1505361847,1167
1505361857,1167
1505361867,1167
1505361877,1167
