t,value
1505342620,-1
1505342630,-1
1505342640,-1
1505342650,-1
1505342660,1505342657162
1505342670,1505342657162
1505342680,1505342657162
1505342690,1505342657162
1505342700,1505342657162
1505342710,1505342657162
1505342720,1505342657162
1505342730,1505342657162
1505342740,1505342733152
1505342750,1505342733152
1505342760,1505342733152
1505342770,1505342733152
1505342780,1505342733152
1505342790,1505342733152
1505342800,1505342733152
1505342810,1505342805570
1505342820,1505342805570
1505342830,1505342805570
1505342840,1505342805570
1505342850,1505342805570
1505342860,1505342858963
1505342870,1505342858963
1505342880,1505342858963
1505342890,1505342858963
1505342900,1505342858963
1505342910,1505342858963
1505342920,1505342858963
1505342930,1505342925337
1505342940,1505342925337
1505342950,1505342925337
1505342960,1505342925337
1505342970,1505342925337
1505342980,1505342925337
1505342990,1505342983218
1505343000,1505342983218
1505343010,1505342983218
1505343020,1505342983218
1505343030,1505342983218
1505343040,1505342983218
1505343050,1505343044867
1505343060,1505343044867
1505343070,1505343044867
1505343080,1505343044867
1505343090,1505343044867
1505343100,1505343044867
1505343110,1505343103384
1505343120,1505343103384
1505343130,1505343103384
1505343140,1505343103384
1505343150,1505343103384
1505343160,1505343159576
1505343170,1505343159576
1505343180,1505343159576
1505343190,1505343159576
1505343200,1505343159576
1505343210,1505343159576
1505343220,1505343159576
1505343230,1505343224703
1505343240,1505343224703
1505343250,1505343224703
1505343260,1505343224703
1505343270,1505343224703
1505343280,1505343276279
1505343290,1505343276279
1505343300,1505343276279
1505343310,1505343276279
1505343320,1505343276279
1505343330,1505343327734
1505343340,1505343327734
1505343350,1505343327734
1505343360,1505343327734
1505343370,1505343327734
1505343380,1505343372678
1505343390,1505343372678
1505343400,1505343372678
1505343410,1505343372678
1505343420,1505343372678
1505343430,1505343372678
1505343440,1505343432321
1505343450,1505343432321
1505343460,1505343432321
1505343470,1505343432321
1505343480,1505343432321
1505343490,1505343489998
1505343500,1505343489998
1505343510,1505343489998
1505343520,1505343489998
1505343530,1505343489998
1505343540,1505343540488
1505343550,1505343540488
1505343560,1505343540488
1505343570,1505343540488
1505343580,1505343540488
1505343590,1505343540488
1505343600,1505343600205
1505343610,1505343600205
1505343620,1505343600205
1505343630,1505343600205
1505343640,1505343600205
1505343650,1505343600205
1505343660,1505343660192
1505343670,1505343660192
1505343680,1505343660192
1505343690,1505343660192
1505343700,1505343660192
1505343710,1505343660192
1505343720,1505343720165
1505343730,1505343720165
1505343740,1505343720165
1505343750,1505343720165
1505343760,1505343720165
1505343770,1505343720165
1505343780,1505343780156
1505343790,1505343780156
1505343800,1505343780156
1505343810,1505343780156
1505343820,1505343780156
1505343830,1505343780156
1505343840,1505343840147
1505343850,1505343840147
1505343860,1505343840147
1505343870,1505343840147
1505343880,1505343840147
1505343890,1505343840147
1505343900,1505343900152
1505343910,1505343900152
1505343920,1505343900152
1505343930,1505343900152
1505343940,1505343900152
1505343950,1505343900152
1505343960,1505343960151
1505343970,1505343960151
1505343980,1505343960151
1505343990,1505343960151
1505344000,1505343960151
1505344010,1505343960151
1505344020,1505344020159
1505344030,1505344020159
1505344040,1505344020159
1505344050,1505344020159
1505344060,1505344020159
1505344070,1505344020159
1505344080,1505344080143
1505344090,1505344080143
1505344100,1505344080143
1505344110,1505344080143
1505344120,1505344080143
1505344130,1505344080143
1505344140,1505344140152
1505344150,1505344140152
1505344160,1505344140152
1505344170,1505344140152
1505344180,1505344140152
1505344190,1505344140152
1505344200,1505344200144
1505344210,1505344200144
1505344220,1505344200144
1505344230,1505344200144
1505344240,1505344200144
1505344250,1505344200144
1505344260,1505344260138
1505344270,1505344260138
1505344280,1505344260138
1505344290,1505344260138
1505344300,1505344260138
1505344310,1505344260138
1505344320,1505344320160
1505344330,1505344320160
1505344340,1505344320160
1505344350,1505344320160
1505344360,1505344320160
1505344370,1505344320160
1505344380,1505344380143
1505344390,1505344380143
1505344400,1505344380143
1505344410,1505344380143
1505344420,1505344380143
1505344430,1505344380143
1505344440,1505344440152
1505344450,1505344440152
1505344460,1505344440152
1505344470,1505344440152
1505344480,1505344440152
1505344490,1505344440152
1505344500,1505344500143
1505344510,1505344500143
1505344520,1505344500143
1505344530,1505344500143
1505344540,1505344500143
1505344550,1505344500143
1505344560,1505344560148
1505344570,1505344560148
1505344580,1505344560148
1505344590,1505344560148
1505344600,1505344560148
1505344610,1505344560148
1505344620,1505344620153
1505344630,1505344620153
1505344640,1505344620153
1505344650,1505344620153
1505344660,1505344620153
1505344670,1505344620153
1505344680,1505344680139
1505344690,1505344680139
1505344700,1505344680139
1505344710,1505344680139
1505344720,1505344680139
1505344730,1505344680139
1505344740,1505344740142
1505344750,1505344740142
1505344760,1505344740142
1505344770,1505344740142
1505344780,1505344740142
1505344790,1505344740142
1505344800,1505344800162
1505344810,1505344800162
1505344820,1505344800162
1505344830,1505344800162
1505344840,1505344800162
1505344850,1505344800162
1505344860,1505344860137
1505344870,1505344860137
1505344880,1505344860137
1505344890,1505344860137
1505344900,1505344860137
1505344910,1505344860137
1505344920,1505344920146
1505344930,1505344920146
1505344940,1505344920146
1505344950,1505344920146
1505344960,1505344920146
1505344970,1505344920146
1505344980,1505344980141
1505344990,1505344980141
1505345000,1505344980141
1505345010,1505344980141
1505345020,1505344980141
1505345030,1505344980141
1505345040,1505345040147
1505345050,1505345040147
1505345060,1505345040147
1505345070,1505345040147
1505345080,1505345040147
1505345090,1505345040147
1505345100,1505345100152
1505345110,1505345100152
1505345120,1505345100152
1505345130,1505345100152
1505345140,1505345100152
1505345150,1505345100152
1505345160,1505345160139
1505345170,1505345160139
1505345180,1505345160139
1505345190,1505345160139
1505345200,1505345160139
1505345210,1505345160139
1505345220,1505345220154
1505345230,1505345220154
1505345240,1505345220154
1505345250,1505345220154
1505345260,1505345220154
1505345270,1505345220154
1505345280,1505345280140
1505345290,1505345280140
1505345300,1505345280140
1505345310,1505345280140
1505345320,1505345280140
1505345330,1505345280140
1505345340,1505345340149
1505345350,1505345340149
1505345360,1505345340149
1505345370,1505345340149
1505345380,1505345340149
1505345390,1505345340149
1505345400,1505345400141
1505345410,1505345400141
1505345420,1505345400141
1505345430,1505345400141
1505345440,1505345400141
1505345450,1505345400141
1505345460,1505345460141
1505345470,1505345460141
1505345480,1505345460141
1505345490,1505345460141
1505345500,1505345460141
1505345510,1505345460141
1505345520,1505345520142
1505345530,1505345520142
1505345540,1505345520142
1505345550,1505345520142
1505345560,1505345520142
1505345570,1505345520142
1505345580,1505345580153
1505345590,1505345580153
1505345600,1505345580153
1505345610,1505345580153
1505345620,1505345580153
1505345630,1505345580153
1505345640,1505345640147
1505345650,1505345640147
1505345660,1505345640147
1505345670,1505345640147
1505345680,1505345640147
1505345690,1505345640147
1505345700,1505345700145
1505345710,1505345700145
1505345720,1505345700145
1505345730,1505345700145
1505345740,1505345700145
1505345750,1505345700145
1505345760,1505345760147
1505345770,1505345760147
1505345780,1505345760147
1505345790,1505345760147
1505345800,1505345760147
1505345810,1505345760147
1505345820,1505345820147
1505345830,1505345820147
1505345840,1505345820147
1505345850,1505345820147
1505345860,1505345820147
1505345870,1505345820147
1505345880,1505345880138
1505345890,1505345880138
1505345900,1505345880138
1505345910,1505345880138
1505345920,1505345880138
1505345930,1505345880138
1505345940,1505345940137
1505345950,1505345940137
1505345960,1505345940137
1505345970,1505345940137
1505345980,1505345940137
1505345990,1505345940137
1505346000,1505346000150
1505346010,1505346000150
1505346020,1505346000150
1505346030,1505346000150
1505346040,1505346000150
1505346050,1505346000150
1505346060,1505346060136
1505346070,1505346060136
1505346080,1505346060136
1505346090,1505346060136
1505346100,1505346060136
1505346110,1505346060136
1505346120,1505346120137
1505346130,1505346120137
1505346140,1505346120137
1505346150,1505346120137
1505346160,1505346120137
1505346170,1505346120137
1505346180,1505346180151
1505346190,1505346180151
1505346200,1505346180151
1505346210,1505346180151
1505346220,1505346180151
1505346230,1505346180151
1505346240,1505346240144
1505346250,1505346240144
1505346260,1505346240144
1505346270,1505346240144
1505346280,1505346240144
1505346290,1505346240144
1505346300,1505346300144
1505346310,1505346300144
1505346320,1505346300144
1505346330,1505346300144
1505346340,1505346300144
1505346350,1505346300144
1505346360,1505346360142
1505346370,1505346360142
1505346380,1505346360142
1505346390,1505346360142
1505346400,1505346360142
1505346410,1505346360142
1505346420,1505346420145
1505346430,1505346420145
1505346440,1505346420145
1505346450,1505346420145
1505346460,1505346420145
1505346470,1505346420145
1505346480,1505346480145
1505346490,1505346480145
1505346500,1505346480145
1505346510,1505346480145
1505346520,1505346480145
1505346530,1505346480145
1505346540,1505346540138
1505346550,1505346540138
1505346560,1505346540138
1505346570,1505346540138
1505346580,1505346540138
1505346590,1505346540138
1505346600,1505346600141
1505346610,1505346600141
1505346620,1505346600141
1505346630,1505346600141
1505346640,1505346600141
1505346650,1505346600141
1505346660,1505346660136
1505346670,1505346660136
1505346680,1505346660136
1505346690,1505346660136
1505346700,1505346660136
1505346710,1505346660136
1505346720,1505346720143
1505346730,1505346720143
1505346740,1505346720143
1505346750,1505346720143
1505346760,1505346720143
1505346770,1505346720143
1505346780,1505346780143
1505346790,1505346780143
1505346800,1505346780143
1505346810,1505346780143
1505346820,1505346780143
1505346830,1505346780143
1505346840,1505346840145
1505346850,1505346840145
1505346860,1505346840145
1505346870,1505346840145
1505346880,1505346840145
1505346890,1505346840145
1505346900,1505346900144
1505346910,1505346900144
1505346920,1505346900144
1505346930,1505346900144
1505346940,1505346900144
1505346950,1505346900144
1505346960,1505346960144
1505346970,1505346960144
1505346980,1505346960144
1505346990,1505346960144
1505347000,1505346960144
1505347010,1505346960144
1505347020,1505347020139
1505347030,1505347020139
1505347040,1505347020139
1505347050,1505347020139
1505347060,1505347020139
1505347070,1505347020139
1505347080,1505347080140
1505347090,1505347080140
1505347100,1505347080140
1505347110,1505347080140
1505347120,1505347080140
1505347130,1505347080140
1505347140,1505347140137
1505347150,1505347140137
1505347160,1505347140137
1505347170,1505347140137
1505347180,1505347140137
1505347190,1505347140137
1505347200,1505347200147
1505347210,1505347200147
1505347220,1505347200147
1505347230,1505347200147
1505347240,1505347200147
1505347250,1505347200147
1505347260,1505347260150
1505347270,1505347260150
1505347280,1505347260150
1505347290,1505347260150
1505347300,1505347260150
1505347310,1505347260150
1505347320,1505347320141
1505347330,1505347320141
1505347340,1505347320141
1505347350,1505347320141
1505347360,1505347320141
1505347370,1505347320141
1505347380,1505347380143
1505347390,1505347380143
1505347400,1505347380143
1505347410,1505347380143
1505347420,1505347380143
1505347430,1505347380143
1505347440,1505347440133
1505347450,1505347440133
1505347460,1505347440133
1505347470,1505347440133
1505347480,1505347440133
1505347490,1505347440133
1505347500,1505347500143
1505347510,1505347500143
1505347520,1505347500143
1505347530,1505347500143
1505347540,1505347500143
1505347550,1505347500143
1505347560,1505347560137
1505347570,1505347560137
1505347580,1505347560137
1505347590,1505347560137
1505347600,1505347560137
1505347610,1505347560137
1505347620,1505347620141
1505347630,1505347620141
1505347640,1505347620141
1505347650,1505347620141
1505347660,1505347620141
1505347670,1505347620141
1505347680,1505347680143
1505347690,1505347680143
1505347700,1505347680143
1505347710,1505347680143
1505347720,1505347680143
1505347730,1505347680143
1505347740,1505347740144
1505347750,1505347740144
1505347760,1505347740144
1505347770,1505347740144
1505347780,1505347740144
1505347790,1505347740144
1505347800,1505347800151
1505347810,1505347800151
1505347820,1505347800151
1505347830,1505347800151
1505347840,1505347800151
1505347850,1505347800151
1505347860,1505347860140
1505347870,1505347860140
1505347880,1505347860140
1505347890,1505347860140
1505347900,1505347860140
1505347910,1505347860140
1505347920,1505347920136
1505347930,1505347920136
1505347940,1505347920136
1505347950,1505347920136
1505347960,1505347920136
1505347970,1505347920136
1505347980,1505347980141
1505347990,1505347980141
1505348000,1505347980141
1505348010,1505347980141
1505348020,1505347980141
1505348030,1505347980141
1505348040,1505348040143
1505348050,1505348040143
1505348060,1505348040143
1505348070,1505348040143
1505348080,1505348040143
1505348090,1505348040143
1505348100,1505348100148
1505348110,1505348100148
1505348120,1505348100148
1505348130,1505348100148
1505348140,1505348100148
1505348150,1505348100148
1505348160,1505348160142
1505348170,1505348160142
1505348180,1505348160142
1505348190,1505348160142
1505348200,1505348160142
1505348210,1505348160142
1505348220,1505348220140
1505348230,1505348220140
1505348240,1505348220140
1505348250,1505348220140
1505348260,1505348220140
1505348270,1505348220140
1505348280,1505348280147
1505348290,1505348280147
1505348300,1505348280147
1505348310,1505348280147
1505348320,1505348280147
1505348330,1505348280147
1505348340,1505348340137
1505348350,1505348340137
1505348360,1505348340137
1505348370,1505348340137
1505348380,1505348340137
1505348390,1505348340137
1505348400,1505348400144
1505348410,1505348400144
1505348420,1505348400144
1505348430,1505348400144
1505348440,1505348400144
1505348450,1505348400144
1505348460,1505348460148
1505348470,1505348460148
1505348480,1505348460148
1505348490,1505348460148
1505348500,1505348460148
1505348510,1505348460148
1505348520,1505348520140
1505348530,1505348520140
1505348540,1505348520140
1505348550,1505348520140
1505348560,1505348520140
1505348570,1505348520140
1505348580,1505348580142
1505348590,1505348580142
1505348600,1505348580142
1505348610,1505348580142
1505348620,1505348580142
1505348630,1505348580142
1505348640,1505348640141
1505348650,1505348640141
1505348660,1505348640141
1505348670,1505348640141
1505348680,1505348640141
1505348690,1505348640141
1505348700,1505348700149
1505348710,1505348700149
1505348720,1505348700149
1505348730,1505348700149
1505348740,1505348700149
1505348750,1505348700149
1505348760,1505348760155
1505348770,1505348760155
1505348780,1505348760155
1505348790,1505348760155
1505348800,1505348760155
1505348810,1505348760155
1505348820,1505348820142
1505348830,1505348820142
1505348840,1505348820142
1505348850,1505348820142
1505348860,1505348820142
1505348870,1505348820142
1505348880,1505348880139
1505348890,1505348880139
1505348900,1505348880139
1505348910,1505348880139
1505348920,1505348880139
1505348930,1505348880139
1505348940,1505348940142
1505348950,1505348940142
1505348960,1505348940142
1505348970,1505348940142
1505348980,1505348940142
1505348990,1505348940142
1505349000,1505349000141
1505349010,1505349000141
1505349020,1505349000141
1505349030,1505349000141
1505349040,1505349000141
1505349050,1505349000141
1505349060,1505349060137
1505349070,1505349060137
1505349080,1505349060137
1505349090,1505349060137
1505349100,1505349060137
1505349110,1505349060137
1505349120,1505349120139
1505349130,1505349120139
1505349140,1505349120139
1505349150,1505349120139
1505349160,1505349120139
1505349170,1505349120139
1505349180,1505349120139
1505349190,1505349120139
1505349200,1505349120139
1505349210,1505349120139
1505349220,1505349120139
1505349230,1505349120139
1505349240,1505349120139
1505349250,1505349120139
1505349260,1505349120139
1505349270,1505349120139
1505349280,1505349120139
1505349290,1505349120139
1505349300,1505349120139
1505349310,1505349120139
1505349320,1505349120139
1505349330,1505349120139
1505349340,1505349120139
1505349350,1505349120139
1505349360,1505349120139
1505349370,1505349120139
