Produce_batch,Num_Messages,Number_APoints/Msg,KB_Transfered,KB/sec
0,8000,0,8000,0.0,0.0
0,8000,1,8000,496.0,7979.40604024
8000,16000,2,8000,991.0,6541.56353959
16000,24000,3,8000,1489.0,6205.56580148
24000,32000,4,8000,1994.0,6072.05064155
32000,40000,5,8000,2493.0,5972.27355348
40000,48000,6,8000,2990.0,5817.8904215
48000,56000,7,8000,3485.0,5780.56821966
56000,64000,8,8000,3985.0,6300.6547979
64000,72000,9,8000,4485.0,6789.12864784
72000,80000,10,8000,4983.0,7185.08653883
80000,88000,11,8000,5483.0,7554.91369725
88000,96000,12,8000,5984.0,7890.53635318
0,8000,13,8000,6486.0,6847.29860803
8000,16000,14,8000,6977.0,7149.87673942
16000,24000,15,8000,7480.0,7418.08277609
24000,32000,16,8000,7979.0,7661.38955625
32000,40000,17,8000,8470.0,7828.82052758
40000,48000,18,8000,8957.0,7926.2752745
48000,56000,19,8000,9461.0,7967.68259629
56000,64000,20,8000,9961.0,8108.03782066
64000,72000,21,8000,10459.0,8226.15192088
72000,80000,22,8000,10955.0,8346.69244199
80000,88000,23,8000,11446.0,8532.97223265
88000,96000,24,8000,11939.0,8708.6552756
96000,104000,25,8000,12437.0,8881.71946503
104000,112000,26,8000,12937.0,9023.71366627
112000,120000,27,8000,13437.0,9108.62674305
120000,128000,28,8000,13937.0,9189.99942429
128000,136000,29,8000,14449.0,9278.28004948
136000,144000,30,8000,14961.0,9300.8538486
144000,152000,31,8000,15472.0,9290.23916074
152000,160000,32,8000,15978.0,9365.18627314
160000,168000,33,8000,16475.0,9346.48452283
168000,176000,34,8000,16960.0,9403.53558809
176000,184000,35,8000,17476.0,9477.62974154
184000,192000,36,8000,17987.0,9613.86938264
192000,200000,37,8000,18479.0,9706.70366207
200000,208000,38,8000,18962.0,9792.22738067
208000,216000,39,8000,19460.0,9880.74105235
216000,224000,40,8000,19944.0,9980.11985946
224000,232000,41,8000,20428.0,10059.1544506
232000,240000,42,8000,20917.0,10102.6983481
240000,248000,43,8000,21410.0,10176.5135306
248000,256000,44,8000,21909.0,10249.825476
256000,264000,45,8000,22405.0,10324.833382
264000,272000,46,8000,22900.0,10413.0629517
272000,280000,47,8000,23398.0,10500.2079954
280000,288000,48,8000,23912.0,10594.022877
288000,296000,49,8000,24428.0,10685.4985103
296000,304000,50,8000,24931.0,10766.2987121
304000,312000,51,8000,25432.0,10829.7499835
312000,320000,52,8000,25932.0,10887.9621271
320000,328000,53,8000,26429.0,10946.2779786
328000,336000,54,8000,26909.0,10933.8491201
336000,344000,55,8000,27401.0,10953.972255
344000,352000,56,8000,27894.0,10973.4704536
352000,360000,57,8000,28382.0,10987.9986867
360000,368000,58,8000,28867.0,10938.4769884
368000,376000,59,8000,29367.0,10962.4874738
376000,384000,60,8000,29853.0,10915.5090351
384000,392000,61,8000,30349.0,10936.8881679
392000,400000,62,8000,30859.0,10958.9147581
400000,408000,63,8000,31365.0,10978.3067278
408000,416000,64,8000,31864.0,10994.5241522
416000,424000,65,8000,32346.0,11050.0906147
424000,432000,66,8000,32840.0,11064.8653697
432000,440000,67,8000,33345.0,11089.0780083
440000,448000,68,8000,33837.0,11130.523283
448000,456000,69,8000,34337.0,11177.1511211
456000,464000,70,8000,34828.0,11188.4429164
464000,472000,71,8000,35312.0,11241.44234
472000,480000,72,8000,35791.0,11278.9406021
480000,488000,73,8000,36274.0,11329.2772223
488000,496000,74,8000,36752.0,11335.1323526
496000,504000,75,8000,37249.0,11384.5898583
504000,512000,76,8000,37746.0,11422.3497051
512000,520000,77,8000,38239.0,11470.3523176
520000,528000,78,8000,38738.0,11479.5251052
528000,536000,79,8000,39239.0,11461.5117759
536000,544000,80,8000,39733.0,11509.5392043
544000,552000,81,8000,40225.0,11542.3609179
552000,560000,82,8000,40714.0,11573.8227083
560000,568000,83,8000,41194.0,11604.1269616
568000,576000,84,8000,41696.0,11640.0252856
576000,584000,85,8000,42199.0,11687.6315055
584000,592000,86,8000,42706.0,11721.7552172
592000,600000,87,8000,43209.0,11677.5338226
600000,608000,88,8000,43692.0,11704.7077158
608000,616000,89,8000,44175.0,11732.7404929
616000,624000,90,8000,44664.0,11761.0132438
624000,632000,91,8000,45160.0,11768.5443657
632000,640000,92,8000,45665.0,11799.6263679
640000,648000,93,8000,46175.0,11807.6122865
648000,656000,94,8000,46675.0,11835.680541
656000,664000,95,8000,47188.0,11866.2159909
664000,672000,96,8000,47704.0,11907.0980712
672000,680000,97,8000,48216.0,11936.7133582
680000,688000,98,8000,48717.0,11972.209161
688000,696000,99,8000,49226.0,12000.8767895
696000,704000,100,8000,49736.0,12006.2938996
704000,712000,101,8000,50244.0,11964.9740973
712000,720000,102,8000,50749.0,11965.4354995
720000,728000,103,8000,51252.0,11901.7684417
728000,736000,104,8000,51753.0,11901.6193214
736000,744000,105,8000,52262.0,11858.5380307
744000,752000,106,8000,52760.0,11859.4818113
752000,760000,107,8000,53247.0,11816.6118142
760000,768000,108,8000,53738.0,11815.0808152
768000,776000,109,8000,54215.0,11811.8532201
776000,784000,110,8000,54711.0,11811.1565132
784000,792000,111,8000,55217.0,11813.2739
792000,800000,112,8000,55725.0,11817.3583935
800000,808000,113,8000,56223.0,11852.0834795
808000,816000,114,8000,56729.0,11856.8444042
816000,824000,115,8000,57234.0,11804.9289426
824000,832000,116,8000,57737.0,11839.0456336
832000,840000,117,8000,58242.0,11845.0686758
840000,848000,118,8000,58752.0,11849.6125472
848000,856000,119,8000,59244.0,11812.0057625
856000,864000,120,8000,59748.0,11816.1859419
864000,872000,121,8000,60256.0,11820.5043767
872000,880000,122,8000,60762.0,11790.0473254
880000,888000,123,8000,61264.0,11795.1076279
888000,896000,124,8000,61749.0,11797.1984109
896000,904000,125,8000,62228.0,11797.5582112
904000,912000,126,8000,62706.0,11762.2894452
912000,920000,127,8000,63187.0,11742.3209327
920000,928000,128,8000,63679.0,11770.5667403
928000,936000,129,8000,64173.0,11789.4579465
936000,944000,130,8000,64668.0,11816.753728
944000,952000,131,8000,65163.0,11841.9943777
952000,960000,132,8000,65658.0,11869.2422212
960000,968000,133,8000,66156.0,11870.9637096
968000,976000,134,8000,66658.0,11842.1090075
976000,984000,135,8000,67160.0,11811.6413655
984000,992000,136,8000,67655.0,11811.5976513
992000,1000000,137,8000,68143.0,11812.3601775
0,8000,138,8000,68632.0,9203.595265
8000,16000,139,8000,69142.0,9091.57866649
16000,24000,140,8000,69652.0,9088.90208585
24000,32000,141,8000,70162.0,9119.88013308
32000,40000,142,8000,70672.0,9145.64965856
40000,48000,143,8000,71182.0,9175.29231989
48000,56000,144,8000,71693.0,9201.25096524
56000,64000,145,8000,72203.0,9227.0789785
64000,72000,146,8000,72713.0,9252.76255168
72000,80000,147,8000,73223.0,9268.23086489
80000,88000,148,8000,73733.0,9297.20519014
88000,96000,149,8000,74243.0,9321.94984988
96000,104000,150,8000,74754.0,9350.98739526
104000,112000,151,8000,75263.0,9372.54892853
112000,120000,152,8000,75771.0,9386.91871715
120000,128000,153,8000,76280.0,9383.43296998
128000,136000,154,8000,76788.0,9379.20021666
136000,144000,155,8000,77297.0,9393.21608802
144000,152000,156,8000,77805.0,9389.53955386
152000,160000,157,8000,78313.0,9403.86062321
160000,168000,158,8000,78821.0,9400.16689981
168000,176000,159,8000,79329.0,9413.81677998
176000,184000,160,8000,79837.0,9428.09128929
184000,192000,161,8000,80346.0,9439.30671617
192000,200000,162,8000,80854.0,9452.17067766
200000,208000,163,8000,81363.0,9437.51658016
208000,216000,164,8000,81868.0,9464.30535378
216000,224000,165,8000,82374.0,9486.10994732
224000,232000,166,8000,82880.0,9510.11778521
232000,240000,167,8000,83386.0,9532.48362927
240000,248000,168,8000,83892.0,9545.36641228
248000,256000,169,8000,84398.0,9558.40485852
256000,264000,170,8000,84904.0,9553.57450255
264000,272000,171,8000,85410.0,9579.22426295
272000,280000,172,8000,85916.0,9591.49534206
280000,288000,173,8000,86421.0,9587.00174392
288000,296000,174,8000,86927.0,9581.96705706
296000,304000,175,8000,87433.0,9586.32334634
304000,312000,176,8000,87935.0,9610.64310218
312000,320000,177,8000,88434.0,9621.702371
320000,328000,178,8000,88933.0,9615.92422051
