t,value
1506653029,1098
1506653039,1098
1506653049,1098
1506653059,1098
1506653069,1098
1506653079,1098
1506653089,1098
1506653099,1098
1506653109,1098
1506653119,1098
1506653129,1098
1506653139,1098
1506653149,1098
1506653159,1098
1506653169,1098
1506653179,1098
1506653189,1098
1506653199,1098
1506653209,1098
1506653219,1098
1506653229,1098
1506653239,1098
1506653249,1098
1506653259,1098
1506653269,1098
1506653279,1098
1506653289,1098
1506653299,1098
1506653309,1098
1506653319,1098
1506653329,1098
1506653339,1098
1506653349,1098
1506653359,1098
1506653369,1098
1506653379,1098
1506653389,1098
1506653399,1098
1506653409,1098
1506653419,1098
1506653429,1098
1506653439,1098
1506653449,1098
1506653459,1098
1506653469,1098
1506653479,1098
1506653489,1098
1506653499,1098
1506653509,1098
1506653519,1098
1506653529,1098
1506653539,1098
1506653549,1098
1506653559,1098
1506653569,1098
1506653579,1098
1506653589,1098
1506653599,1098
1506653609,1098
1506653619,1098
1506653629,1098
1506653639,1098
1506653649,1098
1506653659,1098
1506653669,1098
1506653679,1098
1506653689,1098
1506653699,1098
1506653709,1098
1506653719,1098
1506653729,1098
1506653739,1098
1506653749,1098
1506653759,1098
1506653769,1098
1506653779,1098
1506653789,1098
1506653799,1098
1506653809,1098
1506653819,1098
1506653829,1098
1506653839,1098
1506653849,1098
1506653859,1098
1506653869,1098
1506653879,1098
1506653889,1098
1506653899,1098
1506653909,1098
1506653919,1098
1506653929,1098
1506653939,1098
1506653949,1098
1506653959,1098
1506653969,1098
1506653979,1098
1506653989,1098
1506653999,1098
1506654009,1098
1506654019,1098
1506654029,1098
1506654039,1098
1506654049,1098
1506654059,1098
1506654069,1098
1506654079,1098
1506654089,1098
1506654099,1098
1506654109,1098
1506654119,1098
1506654129,1098
1506654139,1098
1506654149,1098
1506654159,1098
1506654169,1098
1506654179,1098
1506654189,1098
1506654199,1098
1506654209,1098
1506654219,1098
1506654229,1098
1506654239,1098
1506654249,1098
1506654259,1098
1506654269,1098
1506654279,1098
1506654289,1098
1506654299,1098
1506654309,1098
1506654319,1098
1506654329,1098
1506654339,1098
1506654349,1098
1506654359,1098
1506654369,1098
1506654379,1098
1506654389,1098
1506654399,1098
1506654409,1098
1506654419,1098
1506654429,1098
1506654439,1098
1506654449,1098
1506654459,1098
1506654469,1098
1506654479,1098
1506654489,1098
1506654499,1098
1506654509,1098
1506654519,1098
1506654529,1098
1506654539,1098
1506654549,1098
1506654559,1098
1506654569,1098
1506654579,1098
1506654589,1098
1506654599,1098
1506654609,1098
1506654619,1098
1506654629,1098
1506654639,1098
1506654649,1098
1506654659,1098
1506654669,1098
1506654679,1098
1506654689,1098
1506654699,1098
1506654709,1098
1506654719,1098
1506654729,1098
1506654739,1098
1506654749,1098
1506654759,1098
1506654769,1098
1506654779,1098
1506654789,1098
1506654799,1098
1506654809,1098
1506654819,1098
1506654829,1098
1506654839,1098
1506654849,1098
1506654859,1098
1506654869,1098
1506654879,1098
1506654889,1098
1506654899,1098
1506654909,1098
1506654919,1098
1506654929,1098
1506654939,1098
1506654949,1098
1506654959,1098
1506654969,1098
1506654979,1098
1506654989,1098
1506654999,1098
1506655009,1098
1506655019,1098
1506655029,1098
1506655039,1098
1506655049,1098
1506655059,1098
1506655069,1098
1506655079,1098
1506655089,1098
1506655099,1098
1506655109,1098
1506655119,1098
1506655129,1098
1506655139,1098
1506655149,1098
1506655159,1098
1506655169,1098
1506655179,1098
1506655189,1098
1506655199,1098
1506655209,1098
1506655219,1098
1506655229,1098
1506655239,1098
1506655249,1098
1506655259,1098
1506655269,1098
1506655279,1098
1506655289,1098
1506655299,1098
1506655309,1098
1506655319,1098
1506655329,1098
1506655339,1098
1506655349,1098
1506655359,1098
1506655369,1098
1506655379,1098
1506655389,1098
1506655399,1098
1506655409,1098
1506655419,1098
1506655429,1098
1506655439,1098
1506655449,1098
1506655459,1098
1506655469,1098
1506655479,1098
1506655489,1098
1506655499,1098
1506655509,1098
1506655519,1098
1506655529,1098
1506655539,1098
1506655549,1098
1506655559,1098
1506655569,1098
1506655579,1098
1506655589,1098
1506655599,1098
1506655609,1098
1506655619,1098
1506655629,1098
1506655639,1098
1506655649,1098
1506655659,1098
1506655669,1098
1506655679,1098
1506655689,1098
1506655699,1098
1506655709,1098
1506655719,1098
1506655729,1098
1506655739,1098
