BatchTime, SubmissionTime, SchedulingDelay, TotalDelay, NumberRecords, Scenario
1506653040000 ms, 2017-09-28T21:44:02, 5, 2318, 0,1_Producer_Count
1506653100000 ms, 2017-09-28T21:45:00, 1, 1542, 0,1_Producer_Count
1506653160000 ms, 2017-09-28T21:46:00, 0, 1292, 0,1_Producer_Count
1506653220000 ms, 2017-09-28T21:47:00, 0, 1408, 0,1_Producer_Count
1506653280000 ms, 2017-09-28T21:48:00, 1, 1361, 0,1_Producer_Count
1506653340000 ms, 2017-09-28T21:49:00, 1, 1244, 0,1_Producer_Count
1506653400000 ms, 2017-09-28T21:50:05, 1, 14889, 975,1_Producer_Count
1506653460000 ms, 2017-09-28T21:51:37, 0, 125937, 9039,1_Producer_Count
1506653520000 ms, 2017-09-28T21:52:38, 64478, 186945, 8722,1_Producer_Count
1506653580000 ms, 2017-09-28T21:53:49, 116064, 264622, 9969,1_Producer_Count
1506653640000 ms, 2017-09-28T21:54:55, 198966, 342316, 10040,1_Producer_Count
1506653700000 ms, 2017-09-28T21:55:55, 281855, 390627, 9994,1_Producer_Count
1506653760000 ms, 2017-09-28T21:56:53, 333259, 432698, 10085,1_Producer_Count
1506653820000 ms, 2017-09-28T21:58:00, 365763, 460091, 9951,1_Producer_Count
1506653880000 ms, 2017-09-28T21:58:51, 409135, 510295, 10097,1_Producer_Count
1506653940000 ms, 2017-09-28T21:59:54, 446820, 548109, 10361,1_Producer_Count
1506654000000 ms, 2017-09-28T22:00:46, 496346, 585549, 9076,1_Producer_Count
1506654060000 ms, 2017-09-28T22:01:26, 545027, 594160, 4642,1_Producer_Count
1506654120000 ms, 2017-09-28T22:02:11, 550014, 567692, 1495,1_Producer_Count
1506654180000 ms, 2017-09-28T22:03:04, 514262, 522023, 611,1_Producer_Count
1506654240000 ms, 2017-09-28T22:04:03, 462784, 470841, 637,1_Producer_Count
1506654300000 ms, 2017-09-28T22:05:04, 409721, 418691, 612,1_Producer_Count
1506654360000 ms, 2017-09-28T22:06:05, 358544, 366751, 615,1_Producer_Count
1506654420000 ms, 2017-09-28T22:07:05, 306034, 314629, 637,1_Producer_Count
1506654480000 ms, 2017-09-28T22:08:03, 256592, 264407, 647,1_Producer_Count
1506654540000 ms, 2017-09-28T22:09:03, 204558, 213883, 662,1_Producer_Count
1506654600000 ms, 2017-09-28T22:10:05, 151922, 161152, 658,1_Producer_Count
1506654660000 ms, 2017-09-28T22:11:04, 102002, 110231, 637,1_Producer_Count
1506654720000 ms, 2017-09-28T22:12:03, 51246, 59715, 613,1_Producer_Count
1506654780000 ms, 2017-09-28T22:13:02, 657, 5895, 329,1_Producer_Count
1506654840000 ms, 2017-09-28T22:14:00, 0, 1205, 0,1_Producer_Count
1506654900000 ms, 2017-09-28T22:15:00, 0, 1201, 0,1_Producer_Count
1506654960000 ms, 2017-09-28T22:16:00, 0, 1200, 0,1_Producer_Count
1506655020000 ms, 2017-09-28T22:17:00, 0, 1205, 0,1_Producer_Count
1506655080000 ms, 2017-09-28T22:18:00, 0, 1188, 0,1_Producer_Count
1506655140000 ms, 2017-09-28T22:19:00, 1, 1208, 0,1_Producer_Count
1506655200000 ms, 2017-09-28T22:20:00, 1, 1189, 0,1_Producer_Count
1506655260000 ms, 2017-09-28T22:21:00, 0, 1199, 0,1_Producer_Count
1506655320000 ms, 2017-09-28T22:22:00, 0, 1188, 0,1_Producer_Count
1506655380000 ms, 2017-09-28T22:23:00, 1, 1203, 0,1_Producer_Count
1506655440000 ms, 2017-09-28T22:24:00, 0, 1196, 0,1_Producer_Count
1506655500000 ms, 2017-09-28T22:25:00, 0, 1194, 0,1_Producer_Count
1506655560000 ms, 2017-09-28T22:26:00, 0, 1198, 0,1_Producer_Count
1506655620000 ms, 2017-09-28T22:27:00, 0, 1193, 0,1_Producer_Count
1506655680000 ms, 2017-09-28T22:28:00, 1, 1199, 0,1_Producer_Count
1506655740000 ms, 2017-09-28T22:29:00, 0, 1175, 0,1_Producer_Count
1506655800000 ms, 2017-09-28T22:30:00, 0, 1180, 0,1_Producer_Count
1506655860000 ms, 2017-09-28T22:31:00, 1, 1202, 0,1_Producer_Count
1506655920000 ms, 2017-09-28T22:32:00, 0, 1181, 0,1_Producer_Count
1506655980000 ms, 2017-09-28T22:33:00, 0, 1173, 0,1_Producer_Count
1506656040000 ms, 2017-09-28T22:34:00, 1, 1189, 0,1_Producer_Count
1506656100000 ms, 2017-09-28T22:35:00, 0, 1203, 0,1_Producer_Count
1506656160000 ms, 2017-09-28T22:36:00, 1, 1176, 0,1_Producer_Count
1506656220000 ms, 2017-09-28T22:37:00, 1, 1181, 0,1_Producer_Count
1506656280000 ms, 2017-09-28T22:38:00, 0, 1175, 0,1_Producer_Count
1506656340000 ms, 2017-09-28T22:39:00, 0, 1220, 0,1_Producer_Count
1506656400000 ms, 2017-09-28T22:40:00, 0, 1178, 0,1_Producer_Count
1506656460000 ms, 2017-09-28T22:41:00, 0, 1187, 0,1_Producer_Count
1506656520000 ms, 2017-09-28T22:42:00, 0, 1198, 0,1_Producer_Count
1506656580000 ms, 2017-09-28T22:43:00, 0, 1183, 0,1_Producer_Count
1506656640000 ms, 2017-09-28T22:44:00, 1, 1169, 0,1_Producer_Count
1506656700000 ms, 2017-09-28T22:45:00, 0, 1187, 0,1_Producer_Count
1506656760000 ms, 2017-09-28T22:46:00, 0, 1178, 0,1_Producer_Count
1506656820000 ms, 2017-09-28T22:47:00, 1, 1172, 0,1_Producer_Count
1506656880000 ms, 2017-09-28T22:48:00, 0, 1180, 0,1_Producer_Count
1506656940000 ms, 2017-09-28T22:49:00, 0, 1189, 0,1_Producer_Count
1506657000000 ms, 2017-09-28T22:50:00, 0, 1181, 0,1_Producer_Count
1506657060000 ms, 2017-09-28T22:51:00, 0, 1170, 0,1_Producer_Count
1506657120000 ms, 2017-09-28T22:52:00, 1, 1170, 0,1_Producer_Count
1506657180000 ms, 2017-09-28T22:53:00, 0, 1181, 0,1_Producer_Count
1506657240000 ms, 2017-09-28T22:54:00, 1, 1166, 0,1_Producer_Count
1506657300000 ms, 2017-09-28T22:55:00, 1, 1172, 0,1_Producer_Count
1506657360000 ms, 2017-09-28T22:56:00, 1, 1209, 0,1_Producer_Count
1506657420000 ms, 2017-09-28T22:57:00, 0, 1185, 0,1_Producer_Count
1506657480000 ms, 2017-09-28T22:58:00, 0, 1186, 0,1_Producer_Count
1506657540000 ms, 2017-09-28T22:59:00, 1, 1171, 0,1_Producer_Count
1506657600000 ms, 2017-09-28T23:00:00, 1, 1194, 0,1_Producer_Count
1506657660000 ms, 2017-09-28T23:01:00, 1, 1185, 0,1_Producer_Count
1506657720000 ms, 2017-09-28T23:02:00, 0, 1180, 0,1_Producer_Count
1506657780000 ms, 2017-09-28T23:03:00, 1, 1179, 0,1_Producer_Count
1506657840000 ms, 2017-09-28T23:04:00, 1, 1177, 0,1_Producer_Count
