Produce_batch,Num_Messages,Number_APoints/Msg,KB_Transfered,KB/sec
0,8000,0,8000,0.0,0.0
0,8000,1,8000,498.0,10084.4086362
8000,16000,2,8000,991.0,7188.61055595
16000,24000,3,8000,1491.0,6572.94190652
24000,32000,4,8000,1990.0,6300.55856577
32000,40000,5,8000,2486.0,6153.26495585
40000,48000,6,8000,2979.0,5976.29805843
48000,56000,7,8000,3477.0,5930.21918022
56000,64000,8,8000,3975.0,5904.51215159
64000,72000,9,8000,4478.0,6391.02569702
72000,80000,10,8000,4979.0,6799.39571403
80000,88000,11,8000,5475.0,7180.96734328
88000,96000,12,8000,5972.0,7524.37574081
0,8000,13,8000,6474.0,6601.32520284
8000,16000,14,8000,6967.0,6507.99029783
16000,24000,15,8000,7486.0,6654.60582241
24000,32000,16,8000,8003.0,6779.2785883
32000,40000,17,8000,8509.0,7048.65872241
40000,48000,18,8000,9010.0,7244.63439696
48000,56000,19,8000,9490.0,7389.59543376
56000,64000,20,8000,9971.0,7446.86323161
64000,72000,21,8000,10451.0,7503.44425037
72000,80000,22,8000,10938.0,7561.66418365
80000,88000,23,8000,11450.0,7462.18520195
88000,96000,24,8000,11951.0,7364.88579343
96000,104000,25,8000,12446.0,7279.98441204
104000,112000,26,8000,12935.0,7326.93485613
112000,120000,27,8000,13422.0,7242.6187242
120000,128000,28,8000,13916.0,7398.16040317
128000,136000,29,8000,14421.0,7555.81196907
136000,144000,30,8000,14907.0,7656.42997539
144000,152000,31,8000,15392.0,7778.9818476
152000,160000,32,8000,15882.0,7917.56803797
160000,168000,33,8000,16371.0,8033.14748034
168000,176000,34,8000,16887.0,8159.7954865
176000,184000,35,8000,17391.0,8288.07876585
184000,192000,36,8000,17889.0,8394.21728355
192000,200000,37,8000,18381.0,8495.55839561
200000,208000,38,8000,18859.0,8593.01317897
208000,216000,39,8000,19359.0,8697.94183899
216000,224000,40,8000,19863.0,8813.74903313
224000,232000,41,8000,20366.0,8911.61932499
232000,240000,42,8000,20867.0,8988.46102524
240000,248000,43,8000,21367.0,9091.49682116
248000,256000,44,8000,21869.0,9197.01322441
256000,264000,45,8000,22370.0,9280.52494295
264000,272000,46,8000,22861.0,9330.71967627
272000,280000,47,8000,23342.0,9316.30384013
280000,288000,48,8000,23822.0,9410.87418315
288000,296000,49,8000,24322.0,9493.46778923
296000,304000,50,8000,24825.0,9577.5312917
304000,312000,51,8000,25328.0,9654.9775435
312000,320000,52,8000,25831.0,9696.08429645
320000,328000,53,8000,26337.0,9745.59764113
328000,336000,54,8000,26844.0,9717.89715602
336000,344000,55,8000,27355.0,9767.63361443
344000,352000,56,8000,27859.0,9813.13459473
352000,360000,57,8000,28350.0,9847.94898648
360000,368000,58,8000,28834.0,9884.18929649
