t,value
1504800256,-1
1504800266,-1
1504800276,-1
1504800286,-1
1504800296,-1
1504800306,-1
1504800316,-1
1504800326,-1
1504800336,-1
1504800346,-1
1504800356,-1
1504800366,-1
1504800376,-1
1504800386,-1
1504800396,-1
1504800406,4
1504800416,4
1504800426,4
1504800436,4
1504800446,4
1504800456,4
1504800466,0
1504800476,0
1504800486,0
1504800496,0
1504800506,0
1504800516,0
1504800526,0
1504800536,0
1504800546,0
1504800556,0
1504800566,13088
1504800576,13088
1504800586,13088
1504800596,13088
1504800606,13088
1504800616,13088
1504800626,13088
1504800636,13088
1504800646,28984
1504800656,28984
1504800666,28984
1504800676,28984
1504800686,28984
1504800696,28984
1504800706,28984
1504800716,28984
1504800726,28984
1504800736,28984
1504800746,62538
1504800756,62538
1504800766,62538
1504800776,62538
1504800786,62538
1504800796,62538
1504800806,62538
1504800816,62538
1504800826,80037
1504800836,80037
1504800846,80037
1504800856,80037
1504800866,80037
1504800876,80037
1504800886,80037
1504800896,80037
1504800906,112553
1504800916,112553
1504800926,112553
1504800936,112553
1504800946,112553
1504800956,112553
1504800966,112553
1504800976,143030
1504800986,143030
1504800996,143030
1504801006,143030
1504801016,143030
1504801026,143030
1504801036,143030
1504801046,143030
1504801056,134209
1504801066,134209
1504801076,134209
1504801086,134209
1504801096,134209
1504801106,180076
1504801116,180076
1504801126,180076
1504801136,180076
1504801146,154070
1504801156,154070
1504801166,154070
1504801176,154070
1504801186,156860
1504801196,156860
1504801206,156860
1504801216,131141
1504801226,131141
1504801236,131141
1504801246,113175
1504801256,113175
1504801266,92068
1504801276,92068
1504801286,92068
1504801296,40062
1504801306,40062
1504801316,19998
1504801326,19998
1504801336,19998
1504801346,19998
1504801356,0
1504801366,0
1504801376,0
1504801386,0
1504801396,0
1504801406,0
1504801416,0
1504801426,1
1504801436,1
1504801446,1
1504801456,1
1504801466,1
1504801476,0
1504801486,0
1504801496,0
1504801506,0
1504801516,0
1504801526,0
1504801536,0
1504801546,0
1504801556,0
1504801566,0
1504801576,0
1504801586,0
1504801596,0
1504801606,0
1504801616,0
1504801626,0
1504801636,0
1504801646,0
1504801656,0
1504801666,0
1504801676,0
1504801686,0
1504801696,0
1504801706,0
1504801716,0
1504801726,0
1504801736,0
1504801746,1
1504801756,1
1504801766,1
1504801776,1
1504801786,1
1504801796,1
1504801806,0
1504801816,0
1504801826,0
1504801836,0
1504801846,0
1504801856,0
1504801866,1
1504801876,1
1504801886,1
1504801896,1
1504801906,1
1504801916,1
1504801926,0
1504801936,0
1504801946,0
1504801956,0
1504801966,0
1504801976,0
1504801986,0
1504801996,0
1504802006,0
1504802016,0
1504802026,0
1504802036,0
1504802046,1
1504802056,1
1504802066,1
1504802076,1
1504802086,1
1504802096,1
1504802106,0
1504802116,0
1504802126,0
1504802136,0
1504802146,0
1504802156,0
1504802166,0
1504802176,0
1504802186,0
1504802196,0
1504802206,0
1504802216,0
1504802226,0
1504802236,0
1504802246,0
1504802256,0
1504802266,0
