t,value
1504800256,0
1504800266,0
1504800276,0
1504800286,0
1504800296,0
1504800306,0
1504800316,0
1504800326,0
1504800336,0
1504800346,0
1504800356,0
1504800366,0
1504800376,0
1504800386,0
1504800396,0
1504800406,1
1504800416,1
1504800426,1
1504800436,1
1504800446,1
1504800456,1
1504800466,2
1504800476,2
1504800486,2
1504800496,2
1504800506,2
1504800516,2
1504800526,2
1504800536,2
1504800546,2
1504800556,2
1504800566,3
1504800576,3
1504800586,3
1504800596,3
1504800606,3
1504800616,3
1504800626,3
1504800636,3
1504800646,4
1504800656,4
1504800666,4
1504800676,4
1504800686,4
1504800696,4
1504800706,4
1504800716,4
1504800726,4
1504800736,4
1504800746,5
1504800756,5
1504800766,5
1504800776,5
1504800786,5
1504800796,5
1504800806,5
1504800816,5
1504800826,6
1504800836,6
1504800846,6
1504800856,6
1504800866,6
1504800876,6
1504800886,6
1504800896,6
1504800906,7
1504800916,7
1504800926,7
1504800936,7
1504800946,7
1504800956,7
1504800966,7
1504800976,8
1504800986,8
1504800996,8
1504801006,8
1504801016,8
1504801026,8
1504801036,8
1504801046,8
1504801056,9
1504801066,9
1504801076,9
1504801086,9
1504801096,9
1504801106,10
1504801116,10
1504801126,10
1504801136,10
1504801146,11
1504801156,11
1504801166,11
1504801176,11
1504801186,12
1504801196,12
1504801206,12
1504801216,13
1504801226,13
1504801236,13
1504801246,14
1504801256,14
1504801266,15
1504801276,15
1504801286,15
1504801296,16
1504801306,16
1504801316,17
1504801326,17
1504801336,17
1504801346,17
1504801356,18
1504801366,18
1504801376,18
1504801386,18
1504801396,18
1504801406,18
1504801416,18
1504801426,19
1504801436,19
1504801446,19
1504801456,19
1504801466,19
1504801476,20
1504801486,20
1504801496,20
1504801506,20
1504801516,21
1504801526,21
1504801536,21
1504801546,21
1504801556,21
1504801566,21
1504801576,22
1504801586,22
1504801596,22
1504801606,22
1504801616,22
1504801626,22
1504801636,23
1504801646,23
1504801656,23
1504801666,23
1504801676,23
1504801686,24
1504801696,24
1504801706,24
1504801716,24
1504801726,24
1504801736,24
1504801746,25
1504801756,25
1504801766,25
1504801776,25
1504801786,25
1504801796,25
1504801806,26
1504801816,26
1504801826,26
1504801836,26
1504801846,26
1504801856,26
1504801866,27
1504801876,27
1504801886,27
1504801896,27
1504801906,27
1504801916,27
1504801926,28
1504801936,28
1504801946,28
1504801956,28
1504801966,28
1504801976,28
1504801986,29
1504801996,29
1504802006,29
1504802016,29
1504802026,29
1504802036,29
1504802046,30
1504802056,30
1504802066,30
1504802076,30
1504802086,30
1504802096,30
1504802106,31
1504802116,31
1504802126,31
1504802136,31
1504802146,31
1504802156,31
1504802166,32
1504802176,32
1504802186,32
1504802196,32
1504802206,32
1504802216,32
1504802226,33
1504802236,33
1504802246,33
1504802256,33
1504802266,33
1504802276,33
1504802286,34
1504802296,34
1504802306,34
1504802316,34
1504802326,34
1504802336,34
1504802346,35
1504802356,35
1504802366,35
1504802376,35
1504802386,35
1504802396,35
1504802406,36
1504802416,36
1504802426,36
1504802436,36
1504802446,36
1504802456,36
1504802466,37
1504802476,37
1504802486,37
1504802496,37
1504802506,37
1504802516,37
1504802526,38
1504802536,38
1504802546,38
1504802556,38
1504802566,38
1504802576,38
1504802586,39
1504802596,39
1504802606,39
1504802616,39
1504802626,39
1504802636,39
1504802646,40
1504802656,40
1504802666,40
1504802676,40
1504802686,40
1504802696,40
1504802706,41
1504802716,41
1504802726,41
1504802736,41
1504802746,41
1504802756,41
1504802766,42
1504802776,42
1504802786,42
1504802796,42
1504802806,42
1504802816,42
1504802826,43
1504802836,43
1504802846,43
1504802856,43
1504802866,43
1504802876,43
1504802886,44
1504802896,44
1504802906,44
1504802916,44
1504802926,44
1504802936,44
1504802946,45
1504802956,45
1504802966,45
1504802976,45
1504802986,45
1504802996,45
1504803006,46
1504803016,46
1504803026,46
1504803036,46
1504803046,46
1504803056,46
1504803066,47
1504803076,47
1504803086,47
1504803096,47
1504803106,47
1504803116,47
1504803126,48
1504803136,48
1504803146,48
1504803156,48
1504803166,48
1504803176,48
1504803186,49
1504803196,49
1504803206,49
1504803216,49
1504803226,49
1504803236,49
1504803246,50
1504803256,50
1504803266,50
1504803276,50
1504803286,50
1504803296,50
