Produce_batch_Start,Produce_batch_Stop,Num_Messages,Number_APoints/Msg,KB_Transfered,KB/sec
0,5000,0,5000,0.0,0.0
5000,10000,1,5000,309.0,2132.47587629
0,5000,2,5000,619.0,2399.76464825
5000,10000,3,5000,932.0,3050.63858074
10000,15000,4,5000,1244.0,3422.11390138
15000,20000,5,5000,1551.0,3717.31348135
20000,25000,6,5000,1864.0,3577.85855021
25000,30000,7,5000,2173.0,3673.28865846
30000,35000,8,5000,2484.0,3575.8355946
35000,40000,9,5000,2799.0,3655.16403947
40000,45000,10,5000,3111.0,3525.86809123
45000,50000,11,5000,3426.0,3591.95621767
50000,55000,12,5000,3739.0,3650.67214863
55000,60000,13,5000,4047.0,3694.88870894
60000,65000,14,5000,4357.0,3736.33192552
65000,70000,15,5000,4665.0,3770.64150956
70000,75000,16,5000,4975.0,3804.00539974
75000,80000,17,5000,5290.0,3834.62554714
80000,85000,18,5000,5601.0,3860.97774657
85000,90000,19,5000,5911.0,3885.44680334
90000,95000,20,5000,6221.0,3907.44034432
95000,100000,21,5000,6531.0,3852.99506606
0,5000,22,5000,6842.0,3157.53993139
5000,10000,23,5000,7158.0,3149.31552708
10000,15000,24,5000,7473.0,3221.05822007
15000,20000,25,5000,7789.0,3293.33053787
20000,25000,26,5000,8104.0,3326.84709368
25000,30000,27,5000,8418.0,3316.86730042
30000,35000,28,5000,8732.0,3307.90423689
35000,40000,29,5000,9044.0,3247.74893693
40000,45000,30,5000,9356.0,3239.83229845
45000,50000,31,5000,9679.0,3236.21152466
50000,55000,32,5000,10002.0,3232.62715547
55000,60000,33,5000,10315.0,3227.00038801
60000,65000,34,5000,10627.0,3221.20023346
65000,70000,35,5000,10935.0,3214.19700988
70000,75000,36,5000,11244.0,3207.76635537
75000,80000,37,5000,11552.0,3250.67358514
80000,85000,38,5000,11860.0,3286.24453275
85000,90000,39,5000,12161.0,3276.74147954
90000,95000,40,5000,12462.0,3319.39555514
95000,100000,41,5000,12767.0,3351.56969165
100000,105000,42,5000,13072.0,3368.5357543
105000,110000,43,5000,13378.0,3385.57558189
110000,115000,44,5000,13684.0,3401.59653106
115000,120000,45,5000,13989.0,3417.11612476
120000,125000,46,5000,14294.0,3405.61200571
125000,130000,47,5000,14599.0,3420.60388821
