Produce_batch_Start,Produce_batch_Stop,Num_Messages,Number_APoints/Msg,KB_Transfered,KB/sec
0,8000,0,8000,0.0,0.0
0,8000,1,8000,495.0,856.473705944
8000,16000,2,8000,987.0,1306.5233563
16000,24000,3,8000,1478.0,1654.60195215
24000,32000,4,8000,1973.0,1932.02911902
32000,40000,5,8000,2463.0,2145.20841365
40000,48000,6,8000,2959.0,2382.98862685
48000,56000,7,8000,3457.0,2526.50160462
56000,64000,8,8000,3953.0,2642.11473158
64000,72000,9,8000,4450.0,2793.62541643
72000,80000,10,8000,4942.0,2926.87192195
80000,88000,11,8000,5430.0,3044.6791366
88000,96000,12,8000,5934.0,3103.65062538
0,8000,13,8000,6432.0,2659.66021039
8000,16000,14,8000,6936.0,2724.09683924
16000,24000,15,8000,7440.0,2783.7789307
24000,32000,16,8000,7944.0,2895.66295419
32000,40000,17,8000,8444.0,2996.78420502
40000,48000,18,8000,8939.0,3067.62671793
48000,56000,19,8000,9435.0,3101.24145554
56000,64000,20,8000,9933.0,3164.86342765
64000,72000,21,8000,10430.0,3192.81474721
72000,80000,22,8000,10927.0,3218.80220382
80000,88000,23,8000,11428.0,3273.10105105
88000,96000,24,8000,11939.0,3298.08986205
96000,104000,25,8000,12442.0,3344.77904865
104000,112000,26,8000,12946.0,3389.91210701
112000,120000,27,8000,13452.0,3458.85610662
120000,128000,28,8000,13957.0,3471.80573038
128000,136000,29,8000,14458.0,3527.54504214
136000,144000,30,8000,14964.0,3579.33995588
144000,152000,31,8000,15469.0,3630.93759113
152000,160000,32,8000,15971.0,3683.31471259
160000,168000,33,8000,16478.0,3717.86035362
168000,176000,34,8000,16957.0,3758.9626164
176000,184000,35,8000,17458.0,3811.38828475
184000,192000,36,8000,17959.0,3853.43102366
192000,200000,37,8000,18453.0,3883.51757702
200000,208000,38,8000,18946.0,3928.55350815
208000,216000,39,8000,19433.0,3971.09448636
216000,224000,40,8000,19933.0,3980.57092558
224000,232000,41,8000,20429.0,4021.99095335
232000,240000,42,8000,20914.0,4055.34061987
240000,248000,43,8000,21391.0,4086.28665797
248000,256000,44,8000,21885.0,4105.50539812
256000,264000,45,8000,22367.0,4098.47173702
264000,272000,46,8000,22858.0,4135.69288374
272000,280000,47,8000,23360.0,4159.08265895
