Produce_batch,Num_Messages,Number_APoints/Msg,KB_Transfered,KB/sec
0,8000,0,8000,0.0,0.0
0,8000,1,8000,497.0,3563.00661643
8000,16000,2,8000,991.0,4373.47986532
16000,24000,3,8000,1483.0,5841.98918789
24000,32000,4,8000,1983.0,6994.51008015
32000,40000,5,8000,2478.0,7875.34405152
40000,48000,6,8000,2975.0,8427.98012362
48000,56000,7,8000,3477.0,9041.03419805
56000,64000,8,8000,3975.0,9519.88666828
64000,72000,9,8000,4478.0,9934.26729298
72000,80000,10,8000,4975.0,10286.5777387
80000,88000,11,8000,5470.0,10689.4208254
88000,96000,12,8000,5964.0,10956.2696903
0,8000,13,8000,6461.0,8962.5466845
8000,16000,14,8000,6966.0,8611.07688971
16000,24000,15,8000,7463.0,8642.30236319
24000,32000,16,8000,7958.0,8666.90067783
32000,40000,17,8000,8452.0,8688.03689485
40000,48000,18,8000,8943.0,8879.34391021
48000,56000,19,8000,9422.0,9091.93508629
56000,64000,20,8000,9925.0,9318.47021035
64000,72000,21,8000,10428.0,9536.81366014
72000,80000,22,8000,10927.0,9505.58318233
80000,88000,23,8000,11436.0,9251.85921206
88000,96000,24,8000,11936.0,9025.57657294
96000,104000,25,8000,12442.0,8830.45734282
104000,112000,26,8000,12940.0,8833.07840246
112000,120000,27,8000,13427.0,8836.56463653
120000,128000,28,8000,13912.0,8837.83050301
128000,136000,29,8000,14406.0,8843.18555073
136000,144000,30,8000,14904.0,8808.46392966
144000,152000,31,8000,15408.0,8656.61240524
152000,160000,32,8000,15915.0,8526.20264212
160000,168000,33,8000,16417.0,8405.2762203
168000,176000,34,8000,16932.0,8434.06888655
176000,184000,35,8000,17424.0,8451.74580076
184000,192000,36,8000,17914.0,8339.33914338
192000,200000,37,8000,18410.0,8351.11914121
200000,208000,38,8000,18906.0,8367.82343486
208000,216000,39,8000,19384.0,8379.67930126
216000,224000,40,8000,19889.0,8398.9609049
224000,232000,41,8000,20394.0,8306.62437892
232000,240000,42,8000,20884.0,8304.69573818
240000,248000,43,8000,21363.0,8316.71665525
248000,256000,44,8000,21865.0,8236.51592119
256000,264000,45,8000,22349.0,8155.15008892
264000,272000,46,8000,22838.0,8078.56281918
272000,280000,47,8000,23337.0,8175.73617128
280000,288000,48,8000,23837.0,8262.81302386
288000,296000,49,8000,24349.0,8345.3434146
296000,304000,50,8000,24841.0,8399.06245075
304000,312000,51,8000,25335.0,8450.07827536
312000,320000,52,8000,25839.0,8462.75825617
320000,328000,53,8000,26342.0,8471.07995441
328000,336000,54,8000,26841.0,8509.7301749
336000,344000,55,8000,27346.0,8564.28962252
344000,352000,56,8000,27845.0,8616.57640134
352000,360000,57,8000,28334.0,8618.94062524
360000,368000,58,8000,28816.0,8666.62761529
368000,376000,59,8000,29309.0,8744.60399419
376000,384000,60,8000,29804.0,8811.5965655
384000,392000,61,8000,30306.0,8858.06745319
392000,400000,62,8000,30807.0,8899.00662994
400000,408000,63,8000,31291.0,8940.37767554
408000,416000,64,8000,31834.0,8996.0835624
416000,424000,65,8000,32349.0,9002.17754258
424000,432000,66,8000,32843.0,9043.23430246
432000,440000,67,8000,33332.0,9033.71592019
440000,448000,68,8000,33847.0,9077.78187085
448000,456000,69,8000,34348.0,9117.13180989
456000,464000,70,8000,34833.0,9038.23870458
464000,472000,71,8000,35325.0,8852.95759257
472000,480000,72,8000,35825.0,8785.51051179
480000,488000,73,8000,36311.0,8615.82167495
488000,496000,74,8000,36795.0,8555.41475486
496000,504000,75,8000,37289.0,8497.00802906
504000,512000,76,8000,37777.0,8441.79913343
512000,520000,77,8000,38259.0,8387.46275037
520000,528000,78,8000,38754.0,8395.2277391
528000,536000,79,8000,39254.0,8396.01713113
536000,544000,80,8000,39749.0,8344.96786365
544000,552000,81,8000,40244.0,8351.35643471
552000,560000,82,8000,40740.0,8305.1431461
560000,568000,83,8000,41231.0,8258.92538452
568000,576000,84,8000,41734.0,8217.97986456
576000,584000,85,8000,42231.0,8225.51602637
584000,592000,86,8000,42729.0,8183.93100559
592000,600000,87,8000,43229.0,8193.98544488
600000,608000,88,8000,43732.0,8248.65622689
608000,616000,89,8000,44249.0,8283.61358624
616000,624000,90,8000,44736.0,8291.07115395
624000,632000,91,8000,45228.0,8290.40406883
632000,640000,92,8000,45730.0,8300.51903668
640000,648000,93,8000,46222.0,8307.34333956
648000,656000,94,8000,46704.0,8313.90920622
656000,664000,95,8000,47213.0,8346.96844964
664000,672000,96,8000,47717.0,8355.15516131
672000,680000,97,8000,48207.0,8384.4080563
680000,688000,98,8000,48701.0,8430.37436756
688000,696000,99,8000,49183.0,8469.07480061
696000,704000,100,8000,49663.0,8508.51774234
704000,712000,101,8000,50155.0,8549.13433953
712000,720000,102,8000,50660.0,8590.4652813
720000,728000,103,8000,51162.0,8630.0180893
728000,736000,104,8000,51662.0,8667.35172252
736000,744000,105,8000,52158.0,8706.86271219
744000,752000,106,8000,52652.0,8751.35474574
752000,760000,107,8000,53146.0,8788.50845104
760000,768000,108,8000,53650.0,8815.33425982
768000,776000,109,8000,54154.0,8857.48381417
776000,784000,110,8000,54652.0,8893.26171074
784000,792000,111,8000,55147.0,8934.89465619
792000,800000,112,8000,55641.0,8958.84463587
800000,808000,113,8000,56136.0,8999.30380882
808000,816000,114,8000,56639.0,9035.40545518
816000,824000,115,8000,57138.0,9063.91863862
824000,832000,116,8000,57635.0,9098.54247678
832000,840000,117,8000,58133.0,9132.73665223
840000,848000,118,8000,58635.0,9165.24731386
848000,856000,119,8000,59117.0,9202.67647792
856000,864000,120,8000,59613.0,9234.03226953
864000,872000,121,8000,60113.0,9266.05175596
872000,880000,122,8000,60609.0,9301.97069578
880000,888000,123,8000,61098.0,9333.49506134
888000,896000,124,8000,61616.0,9355.23505005
896000,904000,125,8000,62125.0,9376.31278872
904000,912000,126,8000,62629.0,9399.00367101
