t,value
1504820328,-1
1504820338,-1
1504820348,-1
1504820358,-1
1504820368,-1
1504820378,-1
1504820388,-1
1504820398,-1
1504820408,-1
1504820418,-1
1504820428,1504820358616
1504820438,1504820358616
1504820448,1504820358616
1504820458,1504820358616
1504820468,1504820358616
1504820478,1504820358616
1504820488,1504820358616
1504820498,1504820358616
1504820508,1504820358616
1504820518,1504820358616
1504820528,1504820358616
1504820538,1504820358616
1504820548,1504820358616
1504820558,1504820358616
1504820568,1504820358616
1504820578,1504820358616
1504820588,1504820358616
1504820598,1504820358616
1504820608,1504820358616
1504820618,1504820358616
1504820628,1504820358616
1504820638,1504820358616
1504820648,1504820358616
1504820658,1504820358616
1504820668,1504820358616
1504820678,1504820358616
1504820688,1504820453506
1504820698,1504820453506
1504820708,1504820453506
1504820718,1504820453506
1504820728,1504820453506
1504820738,1504820453506
1504820748,1504820453506
1504820758,1504820453506
1504820768,1504820453506
1504820778,1504820453506
1504820788,1504820453506
1504820798,1504820453506
1504820808,1504820453506
1504820818,1504820453506
1504820828,1504820453506
1504820838,1504820453506
1504820848,1504820453506
1504820858,1504820453506
1504820868,1504820453506
1504820878,1504820453506
1504820888,1504820453506
1504820898,1504820453506
1504820908,1504820453506
1504820918,1504820453506
1504820928,1504820453506
1504820938,1504820453506
1504820948,1504820453506
1504820958,1504820453506
1504820968,1504820453506
1504820978,1504820453506
1504820988,1504820453506
1504820998,1504820453506
1504821008,1504820453506
1504821018,1504820453506
1504821028,1504820453506
1504821038,1504820453506
1504821048,1504820453506
1504821058,1504820453506
1504821068,1504820453506
1504821078,1504820453506
1504821088,1504820453506
1504821098,1504820679096
1504821108,1504820679096
1504821118,1504820679096
1504821128,1504820679096
1504821138,1504820679096
1504821148,1504820679096
1504821158,1504820679096
1504821168,1504820679096
1504821178,1504820679096
1504821188,1504820679096
1504821198,1504820679096
1504821208,1504820679096
1504821218,1504820679096
1504821228,1504820679096
1504821238,1504820679096
1504821248,1504820679096
1504821258,1504820679096
1504821268,1504820679096
1504821278,1504820679096
1504821288,1504820679096
1504821298,1504820679096
1504821308,1504820679096
1504821318,1504820679096
1504821328,1504820679096
1504821338,1504820679096
1504821348,1504820679096
1504821358,1504820679096
1504821368,1504820679096
1504821378,1504820679096
1504821388,1504820679096
1504821398,1504820679096
1504821408,1504820679096
1504821418,1504820679096
1504821428,1504820679096
1504821438,1504820679096
1504821448,1504820679096
1504821458,1504820679096
1504821468,1504820679096
1504821478,1504820679096
1504821488,1504820679096
1504821498,1504821097812
1504821508,1504821097812
1504821518,1504821097812
1504821528,1504821097812
1504821538,1504821097812
1504821548,1504821097812
1504821558,1504821097812
1504821568,1504821097812
1504821578,1504821097812
1504821588,1504821097812
1504821598,1504821097812
1504821608,1504821097812
1504821618,1504821097812
1504821628,1504821097812
1504821638,1504821097812
1504821648,1504821097812
1504821658,1504821097812
1504821668,1504821097812
1504821678,1504821097812
1504821688,1504821097812
1504821698,1504821097812
1504821708,1504821097812
1504821718,1504821097812
1504821728,1504821097812
1504821738,1504821097812
1504821748,1504821097812
1504821758,1504821097812
1504821768,1504821097812
1504821778,1504821097812
1504821788,1504821097812
1504821798,1504821097812
1504821808,1504821097812
1504821818,1504821097812
1504821828,1504821097812
1504821838,1504821097812
1504821848,1504821097812
1504821858,1504821097812
1504821868,1504821097812
1504821878,1504821097812
1504821888,1504821097812
1504821898,1504821097812
1504821908,1504821097812
1504821918,1504821097812
1504821928,1504821097812
1504821938,1504821097812
1504821948,1504821490681
1504821958,1504821490681
1504821968,1504821490681
1504821978,1504821490681
