t,value
1506035270,0
1506035280,0
1506035290,0
1506035300,0
1506035310,0
1506035320,0
1506035330,0
1506035340,0
1506035350,0
1506035360,401
1506035370,401
1506035380,401
1506035390,401
1506035400,401
1506035410,401
1506035420,401
1506035430,1388
1506035440,1388
1506035450,1388
1506035460,1388
1506035470,1388
1506035480,1388
1506035490,2471
1506035500,2471
1506035510,2471
1506035520,2471
1506035530,2471
1506035540,2471
1506035550,3409
1506035560,3409
1506035570,3409
1506035580,3409
1506035590,3409
1506035600,3409
1506035610,4563
1506035620,4563
1506035630,4563
1506035640,4563
1506035650,4563
1506035660,4563
1506035670,5800
1506035680,5800
1506035690,5800
1506035700,5800
1506035710,5800
1506035720,5800
1506035730,7008
1506035740,7008
1506035750,7008
1506035760,7008
1506035770,7008
1506035780,7008
1506035790,8230
1506035800,8230
1506035810,8230
1506035820,8230
1506035830,8230
1506035840,8230
1506035850,9360
1506035860,9360
1506035870,9360
1506035880,9360
1506035890,9360
1506035900,9360
1506035910,10509
1506035920,10509
1506035930,10509
1506035940,10509
1506035950,10509
1506035960,10509
1506035970,11652
1506035980,11652
1506035990,11652
1506036000,11652
1506036010,11652
1506036020,11652
1506036030,12776
1506036040,12776
1506036050,12776
1506036060,12776
1506036070,12776
1506036080,12776
1506036090,13804
1506036100,13804
1506036110,13804
1506036120,13804
1506036130,13888
1506036140,13888
1506036150,13888
1506036160,13888
1506036170,13888
1506036180,13888
1506036190,13888
1506036200,13888
1506036210,13888
1506036220,13888
1506036230,13888
1506036240,13888
1506036250,13888
1506036260,13888
1506036270,13888
1506036280,13888
1506036290,13888
1506036300,13888
1506036310,13888
1506036320,13888
1506036330,13888
1506036340,13888
1506036350,13888
1506036360,13888
1506036370,13888
1506036380,13888
1506036390,13888
1506036400,13888
1506036410,13888
1506036420,13888
1506036430,13888
1506036440,13888
1506036450,13888
1506036460,13888
1506036470,13888
1506036480,13888
1506036490,13888
1506036500,13888
1506036510,13888
1506036520,13888
1506036530,13888
1506036540,13888
1506036550,13888
1506036560,13888
1506036570,13888
1506036580,13888
1506036590,13888
1506036600,13888
1506036610,13888
1506036620,13888
1506036630,13888
1506036640,13888
1506036650,13888
1506036660,13888
1506036670,13888
1506036680,13888
1506036690,13888
1506036700,13888
1506036710,13888
1506036720,13888
1506036730,13888
1506036740,13888
1506036750,13888
1506036760,13888
1506036770,13888
1506036780,13888
1506036790,13888
1506036800,13888
1506036810,13888
1506036820,13888
1506036830,13888
1506036840,13888
1506036850,13888
1506036860,13888
1506036870,13888
1506036880,13888
1506036890,13888
1506036900,13888
1506036910,13888
1506036920,13888
1506036930,13888
1506036940,13888
1506036950,13888
1506036960,13888
1506036970,13888
1506036980,13888
1506036990,13888
1506037000,13888
1506037010,13888
1506037020,13888
1506037030,13888
1506037040,13888
1506037050,13888
1506037060,13888
1506037070,13888
1506037080,13888
1506037090,13888
1506037100,13888
1506037110,13888
1506037120,13888
1506037130,13888
1506037140,13888
1506037150,13888
1506037160,13888
1506037170,13888
1506037180,13888
