BatchTime, SubmissionTime, SchedulingDelay, TotalDelay, ProcessingDelay, NumberRecords, Scenario
1512605100000 ms, 2017-12-06T18:05:02, 5, 2827, 2822, 0,1_Producer_Count
1512605160000 ms, 2017-12-06T18:06:00, 1, 1978, 1977, 0,1_Producer_Count
1512605220000 ms, 2017-12-06T18:07:13, 1, 36389, 36388, 11678,1_Producer_Count
1512605280000 ms, 2017-12-06T18:08:14, 1, 44247, 44246, 14099,1_Producer_Count
1512605340000 ms, 2017-12-06T18:09:16, 0, 57613, 57613, 17131,1_Producer_Count
1512605400000 ms, 2017-12-06T18:10:20, 1, 61963, 61962, 18228,1_Producer_Count
1512605460000 ms, 2017-12-06T18:11:26, 0, 58283, 58283, 17495,1_Producer_Count
1512605520000 ms, 2017-12-06T18:12:29, 1, 60124, 60123, 17476,1_Producer_Count
1512605580000 ms, 2017-12-06T18:13:32, 0, 59995, 59995, 17889,1_Producer_Count
1512605640000 ms, 2017-12-06T18:14:38, 0, 61380, 61380, 16906,1_Producer_Count
1512605700000 ms, 2017-12-06T18:15:19, 20387, 80391, 60004, 18039,1_Producer_Count
1512605760000 ms, 2017-12-06T18:16:24, 16011, 72246, 56235, 16314,1_Producer_Count
1512605820000 ms, 2017-12-06T18:17:23, 12383, 62859, 50476, 16440,1_Producer_Count
1512605880000 ms, 2017-12-06T18:18:37, 0, 56076, 56076, 16358,1_Producer_Count
1512605940000 ms, 2017-12-06T18:19:17, 15934, 48177, 32243, 10089,1_Producer_Count
1512606000000 ms, 2017-12-06T18:20:05, 0, 13965, 13965, 4731,1_Producer_Count
1512606060000 ms, 2017-12-06T18:21:04, 0, 14254, 14254, 4755,1_Producer_Count
1512606120000 ms, 2017-12-06T18:22:04, 0, 13114, 13114, 4189,1_Producer_Count
1512606180000 ms, 2017-12-06T18:23:00, 0, 2652, 2652, 403,1_Producer_Count
1512606240000 ms, 2017-12-06T18:24:00, 1, 1522, 1521, 0,1_Producer_Count
1512606300000 ms, 2017-12-06T18:25:00, 1, 1511, 1510, 0,1_Producer_Count
1512606360000 ms, 2017-12-06T18:26:00, 2, 1520, 1518, 0,1_Producer_Count
1512606420000 ms, 2017-12-06T18:27:00, 1, 1504, 1503, 0,1_Producer_Count
1512606480000 ms, 2017-12-06T18:28:00, 2, 1500, 1498, 0,1_Producer_Count
1512606540000 ms, 2017-12-06T18:29:00, 1, 1507, 1506, 0,1_Producer_Count
1512606600000 ms, 2017-12-06T18:30:00, 1, 1516, 1515, 0,1_Producer_Count
1512606660000 ms, 2017-12-06T18:31:00, 1, 1499, 1498, 0,1_Producer_Count
1512606720000 ms, 2017-12-06T18:32:00, 1, 1497, 1496, 0,1_Producer_Count
1512606780000 ms, 2017-12-06T18:33:00, 1, 1516, 1515, 0,1_Producer_Count
1512606840000 ms, 2017-12-06T18:34:00, 1, 1525, 1524, 0,1_Producer_Count
1512606900000 ms, 2017-12-06T18:35:00, 1, 1519, 1518, 0,1_Producer_Count
