BatchTime, SubmissionTime, SchedulingDelay, TotalDelay, ProcessingDelay, NumberRecords, Scenario,Application,Centers
1512930900000 ms,2017-12-10T12:35:17,1,63860,63859,5213,3P-1B-1C,kmeans,10
1512930960000 ms,2017-12-10T12:36:27,1,59353,59352,5112,3P-1B-1C,kmeans,10
1512931020000 ms,2017-12-10T12:37:35,0,59420,59420,5221,3P-1B-1C,kmeans,10
1512931260000 ms,2017-12-10T12:41:18,0,63177,63177,5530,3P-1B-1C,kmeans,10
1512931320000 ms,2017-12-10T12:42:31,0,62634,62634,5440,3P-1B-1C,kmeans,10
1512931380000 ms,2017-12-10T12:43:44,0,55251,55251,5307,3P-1B-1C,kmeans,10
1512931620000 ms,2017-12-10T12:47:17,1,62731,62730,5416,3P-1B-1C,kmeans,10
1512931680000 ms,2017-12-10T12:48:27,1,57308,57307,5061,3P-1B-1C,kmeans,10
1512931740000 ms,2017-12-10T12:49:32,1,47167,47166,4442,3P-1B-1C,kmeans,10
1512933780000 ms,2017-12-10T13:23:18,1,65537,65536,10016,6P-1B-2C,kmeans,10
1512933840000 ms,2017-12-10T13:24:26,0,58229,58229,9464,6P-1B-2C,kmeans,10
1512933900000 ms,2017-12-10T13:25:31,1,54624,54623,9388,6P-1B-2C,kmeans,10
1512934200000 ms,2017-12-10T13:30:17,0,65347,65347,10350,6P-1B-2C,kmeans,10
1512934260000 ms,2017-12-10T13:31:29,0,62490,62490,10754,6P-1B-2C,kmeans,10
1512934320000 ms,2017-12-10T13:32:41,1,59632,59631,10569,6P-1B-2C,kmeans,10
1512934620000 ms,2017-12-10T13:37:18,1,67041,67040,11165,6P-1B-2C,kmeans,10
1512934680000 ms,2017-12-10T13:38:35,0,68768,68768,11018,6P-1B-2C,kmeans,10
1512934740000 ms,2017-12-10T13:39:24,19903,65035,45132,8229,6P-1B-2C,kmeans,10
1512949020000 ms,2017-12-10T17:37:17,1,59119,59118,16888,10P-1B-4C,kmeans,10
1512949080000 ms,2017-12-10T17:38:22,0,64671,64671,19454,10P-1B-4C,kmeans,10
1512949140000 ms,2017-12-10T17:39:32,0,61884,61884,19715,10P-1B-4C,kmeans,10
1512949200000 ms,2017-12-10T17:40:43,1,58642,58641,19596,10P-1B-4C,kmeans,10
1512949440000 ms,2017-12-10T17:44:19,0,67635,67635,19123,10P-1B-4C,kmeans,10
1512949500000 ms,2017-12-10T17:45:31,1,65364,65363,19993,10P-1B-4C,kmeans,10
1512949560000 ms,2017-12-10T17:46:42,0,64740,64740,20044,10P-1B-4C,kmeans,10
1512949620000 ms,2017-12-10T17:47:33,13885,64432,50547,17662,10P-1B-4C,kmeans,10
1512949920000 ms,2017-12-10T17:52:15,2,50782,50780,15247,10P-1B-4C,kmeans,10
1512949980000 ms,2017-12-10T17:53:19,2,67270,67268,20307,10P-1B-4C,kmeans,10
1512950040000 ms,2017-12-10T17:54:32,2,65071,65069,20474,10P-1B-4C,kmeans,10
1512950100000 ms,2017-12-10T17:55:45,0,60934,60934,20759,10P-1B-4C,kmeans,10
1512950340000 ms,2017-12-10T17:59:19,1,69025,69024,21082,10P-1B-4C,kmeans,10
1512950400000 ms,2017-12-10T18:00:34,2,70754,70752,20729,10P-1B-4C,kmeans,10
1512950460000 ms,2017-12-10T18:01:30,14548,75681,61133,19471,10P-1B-4C,kmeans,10
1512950700000 ms,2017-12-10T18:05:16,0,56897,56897,16560,10P-1B-4C,kmeans,10
1512950760000 ms,2017-12-10T18:06:21,0,71153,71153,21041,10P-1B-4C,kmeans,10
1512950820000 ms,2017-12-10T18:07:37,1,70081,70080,20542,10P-1B-4C,kmeans,10
1512950880000 ms,2017-12-10T18:08:33,13544,73611,60067,20251,10P-1B-4C,kmeans,10
1512950940000 ms,2017-12-10T18:09:09,38223,44449,6226,1606,10P-1B-4C,kmeans,10
1512951120000 ms,2017-12-10T18:12:20,0,69987,69987,20543,10P-1B-4C,kmeans,10
1512951180000 ms,2017-12-10T18:13:36,1,70657,70656,20428,10P-1B-4C,kmeans,10
1512951240000 ms,2017-12-10T18:14:30,16558,85109,68551,20791,10P-1B-4C,kmeans,10
1512951300000 ms,2017-12-10T18:15:37,18247,69846,51599,17570,10P-1B-4C,kmeans,10
1513299480000 ms,2017-12-14T18:58:04,0,11119,11119,3631,34P-1B-16C,kmeans,10
1513299540000 ms,2017-12-14T18:59:24,0,80133,80133,57423,34P-1B-16C,kmeans,10
1513299600000 ms,2017-12-14T19:00:27,17966,76002,58036,52210,34P-1B-16C,kmeans,10
1513299660000 ms,2017-12-14T19:01:29,13689,74999,61310,51617,34P-1B-16C,kmeans,10
1513299900000 ms,2017-12-14T19:05:19,1,66594,66593,54138,34P-1B-16C,kmeans,10
1513299960000 ms,2017-12-14T19:06:23,3407,58922,55515,51433,34P-1B-16C,kmeans,10
1513300020000 ms,2017-12-14T19:07:26,0,53393,53393,47439,34P-1B-16C,kmeans,10
1513300260000 ms,2017-12-14T19:11:32,0,92079,92079,31519,34P-1B-16C,kmeans,10
1513300320000 ms,2017-12-14T19:12:53,11018,73763,62745,27395,34P-1B-16C,kmeans,10
1513300380000 ms,2017-12-14T19:13:47,20348,21115,767,20802,34P-1B-16C,kmeans,10
