['watershed_multi-48a42282-67c1-4707-b42b-090e24e3883d', 'processing', 'memory', 'tcp://10.21.255.153:39071', 47734136534784, [['deserialize', 1527367090.431966, 1527367096.803443], ['compute', 1527367096.803855, 1527369434.911132]]]
['watershed_multi-706a498f-79c0-4c82-9271-c8971c0945ef', 'processing', 'memory', 'tcp://10.21.255.153:39089', 47735543703296, [['deserialize', 1527367090.432324, 1527367096.595536], ['compute', 1527367096.5963335, 1527369467.5526235]]]
['watershed_multi-316f848e-1605-4810-a01f-f69b7f438da0', 'processing', 'memory', 'tcp://10.21.255.153:33281', 47734941841152, [['deserialize', 1527367090.431129, 1527367097.269939], ['compute', 1527367097.292669, 1527369469.251887]]]
['watershed_multi-40c0d9d3-b3cf-4f67-9ab5-e282c215babc', 'processing', 'memory', 'tcp://10.21.255.153:36005', 47734740522752, [['deserialize', 1527367090.431658, 1527367099.471045], ['compute', 1527367099.4757164, 1527369470.5739424]]]
['watershed_multi-186f0444-a6e9-48e7-b629-19d5495b42ec', 'processing', 'memory', 'tcp://10.21.255.153:35818', 47734338123520, [['deserialize', 1527367090.430885, 1527367097.047025], ['compute', 1527367097.1053584, 1527369479.9102664]]]
['watershed_multi-3fe96c2b-8bad-4e2d-8776-b1fe0f525a89', 'processing', 'memory', 'tcp://10.21.255.153:35584', 47735143167744, [['deserialize', 1527367090.431508, 1527367096.704596], ['compute', 1527367096.7052314, 1527369479.9127054]]]
['watershed_multi-6367040b-a790-4cde-89aa-fa42ff451687', 'processing', 'memory', 'tcp://10.21.255.153:39076', 47735747151616, [['deserialize', 1527367090.432087, 1527367096.669032], ['compute', 1527367096.6697989, 1527369481.0984979]]]
['watershed_multi-12578853-d391-41b9-93ba-9b9435343cee', 'processing', 'memory', 'tcp://10.21.255.153:33839', 47731755763456, [['deserialize', 1527367090.430472, 1527367096.556143], ['compute', 1527367096.5571043, 1527369499.5168574]]]
['watershed_multi-9d7e0116-3663-4023-84f4-e2ae620fdb4f', 'processing', 'memory', 'tcp://10.21.255.153:41438', 47733331228416, [['deserialize', 1527367090.432926, 1527367096.653741], ['compute', 1527367096.6541898, 1527369510.92464]]]
['watershed_multi-cb0095f0-2ab4-44a9-94ef-2228ce224667', 'processing', 'memory', 'tcp://10.21.255.153:42681', 47732123268864, [['deserialize', 1527367090.433416, 1527367096.967514], ['compute', 1527367096.968007, 1527369531.574572]]]
['watershed_multi-9ae47696-a698-4d0a-9ff3-54856e49141a', 'processing', 'memory', 'tcp://10.21.255.153:41359', 47732324595456, [['deserialize', 1527367090.432781, 1527367096.857787], ['compute', 1527367096.8583126, 1527369537.7043555]]]
['watershed_multi-09c9217a-458b-406a-a353-e59aa9496c13', 'processing', 'memory', 'tcp://10.21.255.153:32877', 47732727248640, [['deserialize', 1527367090.430382, 1527367096.765863], ['compute', 1527367096.7662523, 1527369538.6745243]]]
['watershed_multi-fcf39da2-d5df-4f20-8723-269dee8b5854', 'processing', 'memory', 'tcp://10.21.255.153:46798', 47733532555008, [['deserialize', 1527367090.434035, 1527367098.4447], ['compute', 1527367098.472865, 1527369539.087594]]]
['watershed_multi-e94a47a1-11a6-4f9a-b1f6-1ba59139869b', 'processing', 'memory', 'tcp://10.21.255.153:43252', 47735546087168, [['deserialize', 1527367090.433733, 1527367096.584057], ['compute', 1527367096.584482, 1527369541.1547909]]]
['watershed_multi-7fe7cb71-a299-4852-9103-26aaad67ecdd', 'processing', 'memory', 'tcp://10.21.255.153:40634', 47734539187968, [['deserialize', 1527367090.432435, 1527367097.781871], ['compute', 1527367097.7867546, 1527369542.7065105]]]
['watershed_multi-b9cd7df2-a2c1-48f5-8117-098497861263', 'processing', 'memory', 'tcp://10.21.255.153:41449', 47733129901824, [['deserialize', 1527367090.433075, 1527367096.926652], ['compute', 1527367096.9273796, 1527369545.7654526]]]
['watershed_multi-da6a2b13-0c63-4ff7-b554-fd25e248eaef', 'processing', 'memory', 'tcp://10.21.255.153:43018', 47732525922048, [['deserialize', 1527367090.433577, 1527367097.955774], ['compute', 1527367097.9784348, 1527369547.1426878]]]
['watershed_multi-933816e8-3fd8-4f0d-8017-410281e7fd97', 'processing', 'memory', 'tcp://10.21.255.153:41285', 47733733881600, [['deserialize', 1527367090.432565, 1527367096.724085], ['compute', 1527367096.724805, 1527369549.5396001]]]
['watershed_multi-27d91a06-59cb-485a-9dd9-c2e65f6f30ce', 'processing', 'memory', 'tcp://10.21.255.153:36219', 47731921942272, [['deserialize', 1527367090.431022, 1527367096.570456], ['compute', 1527367096.571, 1527369550.349833]]]
['watershed_multi-344b1af7-516c-437e-9139-2e02aa481c30', 'processing', 'memory', 'tcp://10.21.255.153:34595', 47732928837376, [['deserialize', 1527367090.431345, 1527367096.83911], ['compute', 1527367096.839912, 1527369555.696697]]]
['watershed_multi-bb524aad-0760-4c8d-9d95-d2bae7369868', 'processing', 'memory', 'tcp://10.21.255.153:42361', 47731757864704, [['deserialize', 1527367090.433287, 1527367096.635949], ['compute', 1527367096.6369746, 1527369563.3747756]]]
['watershed_multi-1461a5c1-f495-43b8-b6be-f4eb8bbe93e0', 'processing', 'memory', 'tcp://10.21.255.153:35547', 47735948470016, [['deserialize', 1527367090.430725, 1527367096.617351], ['compute', 1527367096.6181245, 1527369563.8579867]]]
['watershed_multi-4149a2c7-8d93-4135-b794-815187eb9c5d', 'processing', 'memory', 'tcp://10.21.255.153:36771', 47733936256768, [['deserialize', 1527367090.431823, 1527367096.909418], ['compute', 1527367096.910017, 1527369565.79761]]]
['watershed_multi-f98b8100-c2b3-49cd-98c9-2f8c56da1401', 'processing', 'memory', 'tcp://10.21.255.153:44384', 47731919816448, [['deserialize', 1527367090.433828, 1527367096.692683], ['compute', 1527367096.6936164, 1527369567.0713255]]]
