['watershed_multi-9bb221b2-6d2e-4ee9-9be7-2e90697de875', 'processing', 'memory', 'tcp://10.21.250.156:39321', 47818070824704, [['deserialize', 1527418065.893399, 1527418071.202492], ['compute', 1527418071.2031133, 1527420391.4003782]]]
['watershed_multi-de2c3128-a608-4a3d-b762-4b3c45a48a90', 'processing', 'memory', 'tcp://10.21.250.156:45281', 47818068723456, [['deserialize', 1527418065.894558, 1527418071.121126], ['compute', 1527418071.1220927, 1527420424.7589047]]]
['watershed_multi-96c08d97-38e4-4a5d-a3cb-200051b0fc9b', 'processing', 'memory', 'tcp://10.21.250.156:38406', 47819834554112, [['deserialize', 1527418065.893101, 1527418071.231203], ['compute', 1527418071.231619, 1527420444.386349]]]
['watershed_multi-99233fbb-5ff8-4aaa-8e86-8fa931e16913', 'processing', 'memory', 'tcp://10.21.250.156:39214', 47821243848448, [['deserialize', 1527418065.893281, 1527418071.342562], ['compute', 1527418071.343591, 1527420451.81195]]]
['watershed_multi-28ce1a04-309b-4966-afa7-666d658bab66', 'processing', 'memory', 'tcp://10.21.250.156:36666', 47818425267968, [['deserialize', 1527418065.891678, 1527418071.186332], ['compute', 1527418071.186689, 1527420454.839999]]]
['watershed_multi-a7d09769-9bfb-4844-a38d-b54ec222d3ee', 'processing', 'memory', 'tcp://10.21.250.156:41612', 47820035880704, [['deserialize', 1527418065.893573, 1527418071.298514], ['compute', 1527418071.2989047, 1527420462.6030788]]]
['watershed_multi-d34490df-473f-45ac-ad82-edabf7803932', 'processing', 'memory', 'tcp://10.21.250.156:45243', 47819431900928, [['deserialize', 1527418065.894383, 1527418071.315494], ['compute', 1527418071.316239, 1527420466.842045]]]
['watershed_multi-261570f5-f31c-4417-afb5-5af69e019f09', 'processing', 'memory', 'tcp://10.21.250.156:35395', 47818223941376, [['deserialize', 1527418065.89134, 1527418071.093879], ['compute', 1527418071.0946412, 1527420473.259782]]]
['watershed_multi-94ca589e-92fc-4512-a503-aa2a04373bea', 'processing', 'memory', 'tcp://10.21.250.156:38272', 47818626594560, [['deserialize', 1527418065.892937, 1527418071.147608], ['compute', 1527418071.1479034, 1527420483.5242956]]]
['watershed_multi-26876deb-6a5e-4d64-9000-12e60c96ae85', 'processing', 'memory', 'tcp://10.21.250.156:35933', 47820438533888, [['deserialize', 1527418065.891465, 1527418071.328916], ['compute', 1527418071.329655, 1527420484.2263367]]]
['watershed_multi-b420a435-26cd-4075-a0dc-04384d833320', 'processing', 'memory', 'tcp://10.21.250.156:43284', 47819029247744, [['deserialize', 1527418065.893763, 1527418071.399873], ['compute', 1527418071.4080482, 1527420504.369662]]]
