['watershed_multi-fbaea71c-792b-426e-8fb5-5be611c4e89c', 'processing', 'memory', 'tcp://10.21.252.87:45088', 47379464062720, [['deserialize', 1527358970.667406, 1527358973.771219], ['compute', 1527358973.7726216, 1527361285.4314437]]]
['watershed_multi-ceced86d-fd80-4a22-9787-699e4e73570c', 'processing', 'memory', 'tcp://10.21.252.87:38716', 47382888736512, [['deserialize', 1527358970.666361, 1527358973.771218], ['compute', 1527358973.7732885, 1527361329.3305345]]]
['watershed_multi-c5baf5a4-a0b3-46ff-a0b6-4f2576458034', 'processing', 'memory', 'tcp://10.21.252.87:37516', 47381680781056, [['deserialize', 1527358970.66623, 1527358973.771222], ['compute', 1527358973.7722175, 1527361332.8846595]]]
['watershed_multi-45828fa8-9e53-4b68-9510-04b93837aeaa', 'processing', 'memory', 'tcp://10.21.252.87:35885', 47381076801280, [['deserialize', 1527358970.661638, 1527358973.77365], ['compute', 1527358973.7748518, 1527361335.1047826]]]
['watershed_multi-a5530f38-b159-4955-9177-13df53b42451', 'processing', 'memory', 'tcp://10.21.252.116:46183', 47269003142912, [['deserialize', 1527358970.666129, 1527358983.14889], ['compute', 1527358983.1656325, 1527361336.6496146]]]
['watershed_multi-7048b9e2-11e4-48a0-adec-132a2214356b', 'processing', 'memory', 'tcp://10.21.252.87:44989', 47379667515136, [['deserialize', 1527358970.663195, 1527358973.851058], ['compute', 1527358973.85199, 1527361337.8030741]]]
['watershed_multi-8ae4cb4d-58f2-41ef-ba03-2616bf2abcbb', 'processing', 'memory', 'tcp://10.21.252.116:33661', 47268801545984, [['deserialize', 1527358970.664979, 1527358979.050827], ['compute', 1527358979.0510688, 1527361338.214552]]]
['watershed_multi-96abd4ac-41af-4671-83d1-2628b7b31522', 'processing', 'memory', 'tcp://10.21.252.116:40111', 47265181894400, [['deserialize', 1527358970.66567, 1527358979.077918], ['compute', 1527358979.0785964, 1527361338.7430563]]]
['watershed_multi-8f3d4873-034b-4a3e-8683-f11eb16a7c60', 'processing', 'memory', 'tcp://10.21.252.116:36966', 47267190933248, [['deserialize', 1527358970.665282, 1527358979.390353], ['compute', 1527358979.3907256, 1527361341.2372587]]]
['watershed_multi-947213c4-c44a-4a1b-8c41-dc7848adb9c5', 'processing', 'memory', 'tcp://10.21.252.116:37532', 47267394385664, [['deserialize', 1527358970.665485, 1527358980.60565], ['compute', 1527358980.61022, 1527361341.262121]]]
['watershed_multi-8c8a9674-fb64-4de4-aa1b-eb0ee409801e', 'processing', 'memory', 'tcp://10.21.252.116:34298', 47265781647104, [['deserialize', 1527358970.665141, 1527358979.604646], ['compute', 1527358979.6053095, 1527361341.5460436]]]
['watershed_multi-b015f64a-7324-4eee-9780-3c31cf71fac9', 'processing', 'memory', 'tcp://10.21.252.87:34396', 47379272992512, [['deserialize', 1527358970.665822, 1527358973.771503], ['compute', 1527358973.772957, 1527361343.2838871]]]
['watershed_multi-18712bd0-af57-4761-b900-f502d47c753f', 'processing', 'memory', 'tcp://10.21.252.116:44707', 47269204211456, [['deserialize', 1527358970.661466, 1527358979.31184], ['compute', 1527358979.3122945, 1527361344.2154846]]]
