CU, New, StageIn, Allocate, Exec, StageOut, Done
unit.000000,-37.6869847775,5.79708719254,5.80503821373,154.452150106,289.913702011,290.898265123
unit.000001,-37.6866269112,19.4851031303,19.4887061119,430.243327141,569.896368027,572.417761087
unit.000002,-37.6862869263,20.5571820736,20.5608990192,430.275108099,563.777240038,564.357300997
unit.000003,-37.6859438419,21.628606081,21.6322081089,431.381693125,565.584032059,571.908623219
unit.000004,-37.6856060028,22.8914411068,22.8950049877,433.460726023,570.668358088,572.587877989
unit.000005,-37.6852679253,24.0596990585,24.0630540848,435.769677162,570.197451115,572.461770058
unit.000006,-37.684928894,25.2810931206,25.2862701416,439.179535151,570.899983168,572.599263191
unit.000007,-37.6845920086,26.4031860828,26.4081602097,445.238155127,589.108061075,591.329384089
unit.000008,-37.6842508316,5.88165402412,5.8846540451,288.312924147,425.550215006,427.264227152
unit.000009,-37.6839067936,5.88610816002,5.88912010193,289.91943717,430.26951313,431.661101103
unit.000010,-37.6835708618,5.94189715385,5.94470906258,290.222298145,423.948332071,424.871999025
unit.000011,-37.683221817,6.14723706245,6.15030503273,291.126389027,423.23130703,424.589668989
unit.000012,-37.6828849316,7.24990415573,7.2546081543,291.628580093,432.681335211,433.884002209
unit.000013,-37.6825459003,7.25299620628,7.25765609741,292.030951023,430.772128105,431.72322607
unit.000014,-37.6822090149,8.41389799118,8.41695213318,292.935778141,433.454749107,435.008771181
unit.000015,-37.6818687916,8.61920619011,8.62218618393,296.114678144,435.763953209,437.275546074
unit.000016,-37.6815328598,9.83666014671,9.91006112099,297.117841005,437.00009799,438.425581217
unit.000017,-37.6811928749,9.9084842205,9.91303706169,297.856278181,444.598014116,445.831780195
unit.000018,-37.6808569431,11.2224330902,11.2268621922,298.127770185,439.202438116,440.527387142
unit.000019,-37.6805188656,11.2253491879,11.229902029,298.861371994,431.375667095,432.822300196
unit.000020,-37.680177927,12.4392521381,12.4424841404,312.085720062,445.232592106,445.902266026
unit.000021,-37.6797308922,12.6445791721,12.6478509903,417.085605145,546.283253193,547.89380312
unit.000022,-37.6793248653,13.7470190525,13.75020504,417.418651104,548.594727993,550.095142126
unit.000023,-37.6789867878,13.9013941288,13.9041621685,418.091838121,556.451189995,557.6066401
unit.000024,-37.6786499023,14.7934260368,14.7963991165,421.105852127,565.220028162,571.840092182
unit.000025,-37.6783080101,15.0022361279,15.0050520897,423.208344221,562.057527065,564.196186066
unit.000026,-37.6779668331,15.9657711983,15.9687490463,423.647213221,556.017846107,557.537042141
unit.000027,-37.6776299477,16.1713111401,16.1742742062,423.956768036,561.038350105,562.555557013
unit.000028,-37.6772458553,17.0620770454,17.0653040409,423.96498704,558.326924086,561.663721085
unit.000029,-37.6769030094,17.267966032,17.3406569958,424.652151108,562.048465014,564.083739996
unit.000030,-37.6765677929,18.1496360302,18.1536002159,425.556451082,562.673740149,564.234297037
unit.000031,-37.6762318611,18.4124071598,18.4160060883,425.657009125,564.881401062,566.526887178
