CU, New, StageIn, Allocate, Exec, StageOut, Done
unit.000000,-40.5959649086,5.49585604668,5.50896501541,6.78404402733,545.94282198,547.096251011
unit.000001,-40.5956170559,5.52079296112,5.53530192375,6.79129695892,567.781845093,569.334655046
unit.000002,-40.5951659679,5.71271300316,5.71686911583,6.96167993546,525.409430027,526.417197943
unit.000003,-40.5946650505,5.54164600372,5.55254101753,6.79656791687,547.65161109,549.516017914
unit.000004,-40.5943078995,5.64135408401,5.64551210403,6.82678508759,548.254997015,549.622904062
unit.000005,-40.5939700603,5.59168696404,5.5963101387,6.81053590775,531.009948015,532.811669111
unit.000006,-40.5936338902,5.60317707062,5.60737299919,6.81451797485,553.47599411,554.148967028
unit.000007,-40.593296051,5.61961507797,5.62383508682,6.81979393959,548.528293133,549.711628914
unit.000008,-40.5929610729,5.63053607941,5.63469600677,6.82330012321,554.982012987,556.447303057
unit.000009,-40.5926239491,5.64676308632,5.65225601196,6.82852005959,546.249825954,547.171061993
unit.000010,-40.5922858715,5.66839194298,5.67269897461,6.86954307556,545.946887016,547.133984089
unit.000011,-40.5919520855,5.68468904495,5.68882012367,6.90240097046,550.365308046,550.845631123
unit.000012,-40.5916130543,5.70197892189,5.70609092712,6.93870997429,535.980952978,537.234215975
unit.000013,-40.5912768841,5.71810793877,5.72225308418,6.97415399551,535.742856979,537.148555994
unit.000014,-40.5909399986,5.73432993889,5.73847293854,7.01008105278,543.266537905,544.766830921
unit.000015,-40.5906050205,5.74918007851,5.75586009026,7.04793596268,542.186005116,543.645149946
unit.000016,-40.5902180672,5.49147510529,5.50230312347,5.51927900314,553.174618959,554.084284067
unit.000017,-40.5898759365,5.50571393967,5.52235794067,6.78776097298,558.058558941,559.65914011
unit.000018,-40.5894739628,5.52729010582,5.5401930809,6.79304003716,553.97841692,555.281083107
unit.000019,-40.5891339779,5.54957699776,5.55862402916,6.79834103584,582.513226032,584.10811305
unit.000020,-40.5887980461,5.57512998581,5.57936811447,6.80531907082,555.183459997,556.535435915
unit.000021,-40.5884580612,5.74511599541,5.75049209595,7.034979105,546.847398996,548.31437397
unit.000022,-40.58811903,5.58616304398,5.59041500092,6.8088080883,546.481648922,548.246689081
unit.000023,-40.5877828598,5.67932605743,5.68344306946,6.89164400101,553.81416297,555.213442087
unit.000024,-40.5874340534,5.49905800819,5.51556706429,6.78601408005,552.741840124,554.07804203
unit.000025,-40.5870358944,5.61415600777,5.61835312843,6.81804990768,544.634503126,545.983384132
unit.000026,-40.5866920948,5.55568909645,5.56321310997,6.80006504059,539.977706909,541.48278594
unit.000027,-40.586327076,5.51242208481,5.52885103226,6.7895219326,558.7919631,559.740034103
unit.000028,-40.5859909058,5.75456404686,5.75999903679,7.06068205833,546.948159933,548.319011927
unit.000029,-40.5856509209,5.72348999977,5.72762012482,6.98556995392,539.981760025,541.491738081
unit.000030,-40.5853149891,5.69006299973,5.69570398331,6.91381406784,568.783936977,570.442060947
unit.000031,-40.584966898,5.65094614029,5.6563949585,6.83604097366,545.408499956,547.029500008
unit.000032,-40.5846300125,5.5678191185,5.57385396957,6.8035941124,548.658774137,549.717006922
unit.000033,-40.5842940807,5.66302514076,5.66714096069,6.85789394379,535.738874912,537.070547104
unit.000034,-40.5839569569,5.53376293182,5.54642510414,6.79482603073,549.600929976,550.842402935
unit.000035,-40.5836150646,5.56175208092,5.56927108765,6.80185508728,554.079095125,555.298835993
unit.000036,-40.5832769871,5.58065295219,5.58489394188,6.80705308914,547.521121979,549.51500392
unit.000037,-40.5829069614,5.59759998322,5.60189414024,6.81267595291,547.752583027,549.62087512
unit.000038,-40.5825669765,5.60863494873,5.61289691925,6.81628012657,555.082718134,556.44867897
unit.000039,-40.5822069645,5.62509608269,5.62927103043,6.82153892517,560.207634926,561.897593975
unit.000040,-40.5818579197,5.63594508171,5.64008498192,6.82503795624,535.87220192,537.228640079
unit.000041,-40.5815119743,5.65764093399,5.66178107262,6.84765791893,565.276276112,567.205400944
unit.000042,-40.581125021,5.67394995689,5.67807412148,6.88051009178,559.135522127,560.814625025
unit.000043,-40.5806519985,5.69420194626,5.70073509216,6.92641496658,542.318081141,543.646358013
unit.000044,-40.5801808834,5.70733499527,5.71146798134,6.95057201385,524.883976936,526.336643934
unit.000045,-40.5798299313,5.7288749218,5.73304700851,6.99817490578,544.030791998,544.85471797
unit.000046,-40.5794930458,5.7397210598,5.74386405945,7.02190613747,543.728451014,544.767714977
unit.000047,-40.5791568756,5.76124405861,5.76539802551,7.0717189312,544.434097052,545.901478052

TTC,10.5119893471
