,Nodes,Framework,Duration,Json
0,1,RADICAL-Pilot,1224.345200061798,rp_watershed_192tasks_24cores_22/rp_watershed_192tasks_24cores_22.json
1,1,RADICAL-Pilot,1201.3315000534058,rp_watershed_192tasks_24cores_24/rp_watershed_192tasks_24cores_24.json
2,1,RADICAL-Pilot,1233.0811998844147,rp_watershed_192tasks_24cores_20/rp_watershed_192tasks_24cores_20.json
3,1,RADICAL-Pilot,1270.3959000110626,rp_watershed_192tasks_24cores_21/rp_watershed_192tasks_24cores_21.json
4,1,RADICAL-Pilot,1239.0138001441956,rp_watershed_192tasks_24cores_25/rp_watershed_192tasks_24cores_25.json
5,1,RADICAL-Pilot,1288.892699956894,rp_watershed_192tasks_24cores_23/rp_watershed_192tasks_24cores_23.json
6,2,RADICAL-Pilot,651.1144001483917,rp_watershed_192tasks_48cores_20/rp_watershed_192tasks_48cores_20.json
7,2,RADICAL-Pilot,720.4304001331329,rp_watershed_192tasks_48cores_21/rp_watershed_192tasks_48cores_21.json
8,2,RADICAL-Pilot,638.3608000278473,rp_watershed_192tasks_48cores_25/rp_watershed_192tasks_48cores_25.json
9,2,RADICAL-Pilot,658.1818001270294,rp_watershed_192tasks_48cores_24/rp_watershed_192tasks_48cores_24.json
10,2,RADICAL-Pilot,687.3957998752594,rp_watershed_192tasks_48cores_23/rp_watershed_192tasks_48cores_23.json
11,2,RADICAL-Pilot,632.9732999801636,rp_watershed_192tasks_48cores_22/rp_watershed_192tasks_48cores_22.json
12,4,RADICAL-Pilot,347.41009998321533,rp_watershed_192tasks_96cores_23/rp_watershed_192tasks_96cores_23.json
13,4,RADICAL-Pilot,366.62159991264343,rp_watershed_192tasks_96cores_21/rp_watershed_192tasks_96cores_21.json
14,4,RADICAL-Pilot,368.43969988822937,rp_watershed_192tasks_96cores_24/rp_watershed_192tasks_96cores_24.json
15,4,RADICAL-Pilot,323.8641002178192,rp_watershed_192tasks_96cores_25/rp_watershed_192tasks_96cores_25.json
16,4,RADICAL-Pilot,370.18210005760193,rp_watershed_192tasks_96cores_22/rp_watershed_192tasks_96cores_22.json
17,4,RADICAL-Pilot,330.23140001296997,rp_watershed_192tasks_96cores_20/rp_watershed_192tasks_96cores_20.json
18,8,RADICAL-Pilot,222.623300075531,rp_watershed_192tasks_192cores_24/rp_watershed_192tasks_192cores_24.json
19,8,RADICAL-Pilot,200.94400000572205,rp_watershed_192tasks_192cores_25/rp_watershed_192tasks_192cores_25.json
20,8,RADICAL-Pilot,216.73920011520386,rp_watershed_192tasks_192cores_20/rp_watershed_192tasks_192cores_20.json
21,8,RADICAL-Pilot,189.68670010566711,rp_watershed_192tasks_192cores_22/rp_watershed_192tasks_192cores_22.json
22,8,RADICAL-Pilot,218.24659991264343,rp_watershed_192tasks_192cores_21/rp_watershed_192tasks_192cores_21.json
23,8,RADICAL-Pilot,185.8404998779297,rp_watershed_192tasks_192cores_23/rp_watershed_192tasks_192cores_23.json
